,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.49,3.25,3.75,3.5,-12.3%,3.5,3.5,950998
1,3.92,3.75,4,4,-1.5%,3.75,4,1227694
2,3.25,3.25,3.25,3.25,-18.3%,3.25,3.25,961924
3,4.27,4,4.25,4.25,+7.3%,4,4.5,1195827
4,3.48,3.25,4.25,3.5,-12.6%,3.75,3.25,1229978
5,3.67,3.5,3.75,3.75,-7.8%,3.5,3.75,301408
6,3.73,3.5,3.75,3.75,-6.3%,3.75,3.75,1179583
7,3.73,4,4,3.75,-6.3%,3.5,3.75,736796
8,3.9,4,4.75,4.25,-2%,2.75,4.25,1205408
9,3.21,3,4,3.25,-19.3%,3,3.25,529495
10,3.81,3.75,4,3.75,-4.3%,3.5,4,1176491
11,4.18,4.25,4,4.25,+5%,4,4.25,1213985
12,3.59,3.5,3,3.5,-9.8%,4,3.5,1221546
13,3.95,4,4,3.75,-0.8%,4,4,642785
14,3.93,4,3.75,4,-1.3%,3.75,4,763332
15,3.58,3.5,3.5,3.5,-10.1%,3,4,1218276
16,3.25,3.25,3.25,3.25,-18.3%,3.25,3.25,1182030
17,3.85,3.75,3.75,3.75,-3.3%,3.75,4,1111368
18,3.56,3.75,4,3.5,-10.6%,3.5,3.5,1213569
19,4.01,3.75,4.5,4,+0.8%,4,4,1213070
20,3.55,3,2.75,3.5,-10.8%,3.25,4,1220473
21,3.54,3.75,3.75,3.5,-11.1%,3.5,3.5,877474
22,4.35,4.25,4.25,4.25,+9.3%,4.25,4.5,938210
23,3.91,4.25,4,4,-1.8%,3.5,4,319788
24,2.75,2.75,2.75,2.75,-30.9%,2.75,2.75,926497
25,2.13,1.75,2.75,1.75,-46.5%,3.5,1.5,1217774
26,3.81,3.75,3.75,3.75,-4.3%,4,3.75,993759
27,3.98,3.75,4,4,0%,4,4,1214432
28,4,4,4,4,+0.5%,4,4,1107926
29,4,4,4,4,+0.5%,4,4,969929
30,4.46,4.25,4.25,4.5,+12.1%,4.5,4.5,1213757
31,4,4,4,4,+0.5%,4,4,1213603
32,4.25,4.25,4.25,4.25,+6.8%,4.25,4.25,790089
