,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.1,4.25,4.5,4,+0.7%,3.75,4.25,453801
1,3.25,3.5,2.75,3.25,-20.1%,3.25,3.25,999030
2,4.2,4,3.75,4.25,+3.2%,4.25,4.25,764969
3,4.16,4.25,3.75,4.25,+2.2%,4,4.25,1043401
4,4.07,4.25,3.75,4,0%,4.25,4,939279
5,4.18,4.25,4,4.25,+2.7%,4,4.25,738688
6,4,4,4,4,-1.7%,4,4,285283
7,4.31,4.25,4.5,4.25,+5.9%,4,4.5,660525
8,4.38,4.5,3.5,4.5,+7.6%,4.25,4.5,591341
9,3.99,4,3.75,4,-2%,4,4,725212
10,3.98,3.75,4,4,-2.2%,4,4,761842
11,3.92,3.75,4,4,-3.7%,3.75,4,814461
12,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,1107926
13,3.95,4.25,3.75,4,-2.9%,3.75,4,787196
14,2.76,2.5,3,2.75,-32.2%,3.25,2.5,6719
15,4.24,4.25,4,4.25,+4.2%,4.25,4.25,515335
16,3.93,3.75,3.5,4,-3.4%,3.5,4.25,887567
17,3.5,3.5,3.5,3.5,-14%,3.5,3.5,773354
18,4.13,4.25,4,4,+1.5%,4,4.25,1111967
19,4.16,4,4,4,+2.2%,4.25,4.25,1183557
20,3.75,3.75,3.75,3.75,-7.9%,3.75,3.75,692655
21,3.61,3.75,4,3.75,-11.3%,3.5,3.5,297617
22,4,4,4,4,-1.7%,4,4,687991
23,3.92,3.75,4,4,-3.7%,3.75,4,212193
24,4.14,4.5,5,4.25,+1.7%,3.5,4.25,723104
25,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,491306
26,4.41,4.5,4,4.5,+8.4%,4.25,4.5,590858
27,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,187059
28,3.77,3.75,4,3.75,-7.4%,3.75,3.75,711948
29,4.29,4,4.5,4,+5.4%,4.25,4.5,747394
30,4,4,4,4,-1.7%,4,4,795075
31,3.68,4,3.75,3.75,-9.6%,3.75,3.5,706400
32,4.19,4,4.5,4,+2.9%,4.25,4.25,262075
33,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,790089
34,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,657597
35,4.28,4.25,4,4.25,+5.2%,4,4.5,789167
36,4,4,4,4,-1.7%,4,4,776849
37,4.76,4.75,4,5,+17%,4.75,4.75,971932
38,4.05,4,4,4.25,-0.5%,4,4,640220
39,3.94,4,4,4,-3.2%,3.75,4,993759
40,3.94,4,4,4,-3.2%,3.75,4,1107986
41,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,738632
42,4.41,4.25,4.25,4.25,+8.4%,4.5,4.5,326980
43,4.29,4,4.25,4.25,+5.4%,4.5,4.25,479298
44,3.91,3.75,3.75,3.75,-3.9%,4,4,419024
45,3.45,1,3,3.25,-15.2%,4.25,3.75,295975
46,2.86,3.5,3,2.75,-29.7%,3.25,2.5,897145
47,2.75,2.75,2.75,2.75,-32.4%,2.75,2.75,831668
48,4.1,4,4,4,+0.7%,4,4.25,691982
49,4,4,4,4,-1.7%,4,4,779746
50,4.18,4.25,4,4.25,+2.7%,4,4.25,1101859
51,4,4.25,3.5,4,-1.7%,4,4,638668
52,4.68,4.75,4.5,4.75,+15%,4.5,4.75,231766
53,4.5,4.5,4.5,4.5,+10.6%,4.5,4.5,662957
54,4,4,4,4,-1.7%,4,4,755234
55,4,4,4,4,-1.7%,4,4,431335
56,3.5,3.5,3.5,3.5,-14%,3.5,3.5,1070762
57,4,4,4,4,-1.7%,4,4,796686
58,4.16,4,4,4,+2.2%,4.25,4.25,884193
59,3.96,3.75,3.75,4,-2.7%,4,4,984560
60,3.94,4,4,4,-3.2%,3.75,4,762463
61,3.77,3.75,4,3.75,-7.4%,3.75,3.75,602350
62,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,1025815
63,3.43,3.75,4,3.25,-15.7%,4,3,711311
64,4.14,4.25,4,4.25,+1.7%,4.25,4,799455
65,3.9,4,4,4,-4.2%,4,3.75,689880
66,4.13,4.25,4,4,+1.5%,4,4.25,1138810
67,2.66,3,2.75,2.75,-34.6%,2.25,2.75,856145
68,4.07,4.5,3,4.5,0%,3.5,4.25,981264
69,5,5,5,5,+22.9%,5,5,1106523
70,4.02,4,4.25,4,-1.2%,4,4,867726
71,4.1,4,4,4,+0.7%,4,4.25,911019
72,4.41,5,4.25,4.75,+8.4%,3.75,4.5,784112
73,4.66,4.5,4.5,4.5,+14.5%,4.75,4.75,1065114
74,3.76,4,3.5,3.75,-7.6%,3.75,3.75,842796
75,4.24,4,4.5,4.25,+4.2%,4.25,4.25,1160166
76,3.22,3,3.75,3.25,-20.9%,3.5,3,145888
77,3.82,4.25,4,3.75,-6.1%,3.75,3.75,162568
78,4,4,4,4,-1.7%,4,4,511380
79,4.18,4,4.5,4.25,+2.7%,4,4.25,694399
