,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.81,4,3.5,4,-13.2%,3.75,3.75,786375
1,4.35,4.25,4.25,4.25,-0.9%,4.25,4.5,821008
2,4.75,4.75,4.75,4.75,+8.2%,4.75,4.75,1183503
3,4.75,4.75,4.75,4.75,+8.2%,4.75,4.75,1235951
4,3.03,3,3.5,3,-31%,3,3,1235415
5,4.52,4.25,4.25,4.5,+3%,4.75,4.5,935561
6,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,748212
7,3.67,4,4,3.75,-16.4%,3.25,3.75,1176267
8,4.73,4.5,4,4.5,+7.7%,4.75,5,947476
9,4.43,4.5,4.25,4.5,+0.9%,4.25,4.5,1189672
10,4.54,4.25,4.5,4.5,+3.4%,4.75,4.5,1218739
11,4.43,4.25,4.5,4.25,+0.9%,4.5,4.5,891945
12,4.59,4.25,4.75,4.5,+4.6%,4.5,4.75,1219846
13,4.38,3.75,4.75,4.5,-0.2%,4.25,4.5,209235
14,4.25,4.25,4.25,4.25,-3.2%,4.25,4.25,783936
15,4.24,4.25,4,4.25,-3.4%,4.25,4.25,673685
16,4.3,4.75,4.25,4.25,-2.1%,4.25,4.25,824776
17,4.29,4.25,4.25,4.25,-2.3%,4,4.5,931900
18,4.41,4.25,4.25,4.25,+0.5%,4.5,4.5,1010946
19,4.05,4,3.75,4,-7.7%,4.25,4,670785
20,4.21,4.25,4.5,4.25,-4.1%,4,4.25,186652
21,4.19,4.25,4.25,4.25,-4.6%,4,4.25,764778
22,4.49,5,5,4.25,+2.3%,4.75,4.25,1229562
23,4.28,4.5,4.25,4.25,-2.5%,4.25,4.25,471054
24,4.08,4,4.25,4,-7.1%,4.25,4,800557
25,4.18,4,4.5,4.25,-4.8%,4,4.25,1220307
26,2.66,4,4.25,3,-39.4%,2.5,2,1233305
27,4.01,3.75,4.25,4,-8.7%,4.5,3.75,1191506
28,4.03,4,3.75,4,-8.2%,3.75,4.25,1083326
29,4.02,4,4.25,4,-8.4%,4,4,1232018
30,4.08,4,4.25,4,-7.1%,4.25,4,655938
31,3,3,3,3,-31.7%,3,3,1201992
32,4.09,4.25,4,4,-6.8%,4.25,4,86799
33,4.03,4.25,4,4,-8.2%,4,4,334195
34,4.3,4.25,5,4.25,-2.1%,4.25,4.25,772586
35,4.25,4.5,4.75,4.25,-3.2%,4,4.25,1187997
36,4.29,4.25,4.25,4.25,-2.3%,4,4.5,1198136
37,4.27,4.25,4.5,4.25,-2.7%,4.25,4.25,1165709
38,4.35,4.25,4.25,4.25,-0.9%,4.25,4.5,5490
39,4.34,4,4.5,4.25,-1.1%,4.25,4.5,852661
40,4.15,4,3.75,4,-5.5%,4.25,4.25,1231701
41,4.26,4.5,4,4.25,-3%,4.25,4.25,1178465
42,4.28,4.5,4.25,4.25,-2.5%,4.25,4.25,685968
43,3.74,3.75,3.5,3.75,-14.8%,3.75,3.75,1177957
44,4.14,4,3.75,4.25,-5.7%,4,4.25,770598
45,4.47,4.75,4.5,4.5,+1.8%,4.25,4.5,848244
46,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,352574
47,4.54,4.5,4.5,4.5,+3.4%,4.25,4.75,660525
48,3.99,4,3.75,4,-9.1%,4,4,295975
49,4.12,4,4.5,4.25,-6.2%,3.75,4.25,702003
50,4.28,4.5,4.25,4.25,-2.5%,4.25,4.25,302204
51,4.38,4.25,4.5,4.5,-0.2%,4.5,4.25,1066881
52,4.04,4.25,4.25,4,-8%,4,4,1006685
53,4.21,4.25,4.5,4.25,-4.1%,4,4.25,360535
54,4.48,4.25,4.5,4.5,+2.1%,4.5,4.5,1230495
55,4.52,4.5,4.75,4.5,+3%,4.5,4.5,1230531
56,4.2,4.5,4.25,4.25,-4.3%,3.5,4.5,553862
57,4.05,3.75,4.25,4,-7.7%,4.25,4,321151
58,4.46,4.5,4.75,4.5,+1.6%,4.25,4.5,697017
59,3.77,3.75,4,3.75,-14.1%,3.75,3.75,268179
60,4.75,5,4.5,4.5,+8.2%,4.5,5,741705
61,4.14,4,4.25,4,-5.7%,4.5,4,130324
62,4.8,5,4.5,4.75,+9.3%,4.5,5,1230128
63,3.98,4.25,4.25,4,-9.3%,3.75,4,526
64,4,4,4,4,-8.9%,4,4,1203052
65,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,696364
66,4.24,4.25,4,4.25,-3.4%,4.25,4.25,270402
67,4.22,4.5,4.25,4.25,-3.9%,4,4.25,105194
68,4.18,4.25,4,4.25,-4.8%,4,4.25,991650
69,4.79,5,5,4.75,+9.1%,4.75,4.75,1057031
70,4.6,4.5,4.5,4.5,+4.8%,4.5,4.75,1120019
71,4.14,3.75,5,4,-5.7%,4,4.25,799578
72,4.24,4.5,4.25,4.25,-3.4%,4.5,4,1214949
73,4.26,3.75,4.5,4.25,-3%,4,4.5,850264
74,4.22,4,4.75,4.25,-3.9%,4.5,4,1173957
75,4.53,4.5,4.25,4.5,+3.2%,4.25,4.75,1224058
76,4.31,4.25,4.25,4.25,-1.8%,4.5,4.25,1212979
77,4.34,4.25,4.75,4.25,-1.1%,4.5,4.25,1213070
78,4.59,4.5,4.25,4.5,+4.6%,4.5,4.75,1216064
79,3.93,4,3.75,4,-10.5%,3.75,4,1174176
80,4.3,4.25,4.25,4.5,-2.1%,4.25,4.25,768988
81,4,4,4,4,-8.9%,4,4,818588
82,4.25,4.25,4.25,4.25,-3.2%,4.25,4.25,823429
83,4.38,4.5,5,4.25,-0.2%,4.5,4.25,1226062
84,4.28,4.5,4.25,4.25,-2.5%,4.25,4.25,1189140
85,4.36,4.5,4.75,4.5,-0.7%,4.25,4.25,787805
86,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,1180402
87,4.49,4.5,4.25,4.5,+2.3%,4.5,4.5,141862
88,4.72,4.75,4.25,4.75,+7.5%,4.75,4.75,943900
89,4.28,4.25,3.75,4.25,-2.5%,4.5,4.25,1212969
90,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,168137
91,4.24,4,4.5,4.25,-3.4%,4.25,4.25,1137115
92,4.17,4,4.25,4.25,-5%,4,4.25,1206090
93,4.37,4.25,4.5,4.25,-0.5%,4.25,4.5,6719
94,4.18,4.5,4.25,4.25,-4.8%,4.25,4,1225797
95,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,819173
96,4.52,4.5,4.75,4.5,+3%,4.5,4.5,809518
97,4.14,4.25,4,4.25,-5.7%,4.25,4,325640
98,4.84,4.5,4,4.75,+10.3%,5,5,1224337
99,3.95,4.25,3.75,4,-10%,3.75,4,1099962
100,4.18,4.25,4,4.25,-4.8%,4,4.25,1216293
101,3.83,3.5,3.5,3.75,-12.8%,4.25,3.75,1133465
102,3.98,4.25,4.25,4,-9.3%,3.75,4,747394
103,4.33,4.25,4,4.5,-1.4%,4,4.5,762606
104,4.24,4.25,4,4.25,-3.4%,4.25,4.25,1221946
105,4.22,4.5,4.25,4.25,-3.9%,4,4.25,884147
106,4.43,4.5,4.25,4.5,+0.9%,4.25,4.5,1212305
107,4.46,4.25,4.25,4.5,+1.6%,4.5,4.5,1221469
108,4.43,4.5,4.25,4.5,+0.9%,4.25,4.5,1208584
109,4.4,4.25,4,4.25,+0.2%,4.5,4.5,1183721
110,4.27,4.25,4.5,4.25,-2.7%,4.25,4.25,727004
111,4.54,4.25,4.5,4.5,+3.4%,4.75,4.5,1216874
112,4.26,3.75,4.5,4.25,-3%,4,4.5,549902
113,4.41,4.25,4.25,4.25,+0.5%,4.5,4.5,1159929
114,4.4,4.25,4.25,4.5,+0.2%,4.25,4.5,1051244
115,4.29,4.5,4.5,4.25,-2.3%,4.25,4.25,1203701
116,4.21,4,4,4.25,-4.1%,4.25,4.25,780840
117,4.53,4.5,4.25,4.5,+3.2%,4.25,4.75,1219087
118,4.41,4.5,4,4.5,+0.5%,4.25,4.5,1216939
119,4.71,4.5,4.5,4.75,+7.3%,4.75,4.75,1192995
120,4.45,4,4.5,4.5,+1.4%,4.5,4.5,1217354
121,4.74,4.75,4.5,4.75,+8%,4.75,4.75,1108933
122,4.35,4.25,4.25,4.25,-0.9%,4.25,4.5,773375
123,4.83,4.75,5,4.75,+10%,5,4.75,704408
124,4.11,4,5,4.25,-6.4%,4,4,1213116
125,4.37,4.25,4.5,4.25,-0.5%,4.25,4.5,771737
126,4.52,4.5,4.75,4.5,+3%,4.5,4.5,1213967
127,4.04,4,4,4,-8%,3.75,4.25,1206297
128,4.34,4.25,4,4.25,-1.1%,4.25,4.5,1212288
129,4.15,4.5,4.75,4.25,-5.5%,4,4,75888
130,3.83,3.75,4,3.75,-12.8%,4,3.75,1037059
131,4.08,4,4.25,4,-7.1%,4.25,4,737220
132,4.53,4.25,4.75,4.5,+3.2%,4.25,4.75,990726
133,4.42,4.5,4.25,4.75,+0.7%,4,4.5,1209090
134,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,1213974
135,4.14,4.25,4,4.25,-5.7%,4.25,4,1138974
136,4.41,4.5,4,4.5,+0.5%,4.25,4.5,968355
137,4.27,4,4,4.25,-2.7%,4.5,4.25,1213798
138,4.69,4.25,4.5,4.75,+6.8%,4.75,4.75,832582
139,4.65,4.5,4.25,4.5,+5.9%,4.75,4.75,1213604
140,4.47,4.25,4.5,4.75,+1.8%,4.25,4.5,1211886
141,4.9,4.75,4.75,5,+11.6%,4.75,5,1212773
142,4.25,4.25,4.25,4.25,-3.2%,4.25,4.25,1205310
143,4.33,4.25,4.5,4.25,-1.4%,4.5,4.25,1170717
144,4.54,4.75,4.75,4.5,+3.4%,4.5,4.5,913198
145,4.78,4.75,4.5,4.75,+8.9%,4.5,5,1002564
146,4.43,4.75,4.5,4.5,+0.9%,4.5,4.25,1191994
147,3.88,3.75,4,4,-11.6%,4,3.75,980651
148,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,1210650
149,4.49,4.5,4.25,4.5,+2.3%,4.5,4.5,893823
150,3.63,3.75,4,3.75,-17.3%,4,3.25,1211467
151,4.15,4.25,4.25,4.25,-5.5%,4.25,4,1211271
152,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,638875
153,4.51,4.75,4.25,4.5,+2.7%,4.5,4.5,814562
154,4.34,4.5,4.25,4.25,-1.1%,4.5,4.25,1192933
155,4.66,4.5,4.5,4.5,+6.2%,4.75,4.75,1209480
156,4.49,4.5,4.25,4.5,+2.3%,4.5,4.5,1198107
157,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,795883
158,4.08,4,4.25,4,-7.1%,4.25,4,1122399
159,4.37,4.25,4.5,4.25,-0.5%,4.25,4.5,396605
160,4.2,4,3.75,4.25,-4.3%,4.25,4.25,732932
161,4.34,4.25,4,4.25,-1.1%,4.25,4.5,613851
162,4.26,4.5,5,4.75,-3%,4,4,1179364
163,4.06,4.25,4.5,4,-7.5%,4,4,1187115
164,3.5,3.5,3.5,3.5,-20.3%,3.5,3.5,785748
165,3.49,3.5,3.25,3.5,-20.5%,3.5,3.5,856145
166,4.06,4.25,4.5,4,-7.5%,4,4,735085
167,4,4,4,4,-8.9%,4,4,403838
168,4.29,4.5,4.5,4.25,-2.3%,4.25,4.25,1184584
169,4.31,4.25,4.5,4.25,-1.8%,4,4.5,731736
170,4.51,4.75,4.5,4.5,+2.7%,4,4.75,885205
171,4.6,4.5,4.5,4.5,+4.8%,4.5,4.75,1111967
172,4.35,4.25,4.25,4.25,-0.9%,4.25,4.5,1178893
173,4.29,4.5,4.5,4.25,-2.3%,4.25,4.25,1172101
174,4.47,4.5,5,4.5,+1.8%,4.25,4.5,1041454
175,3.91,3.75,3.75,3.75,-10.9%,4,4,1206879
176,4.12,4.5,4.25,4.25,-6.2%,4,4,898176
177,4.48,4.25,4.5,4.5,+2.1%,4.5,4.5,868867
178,4.25,4.25,4.25,4.25,-3.2%,4.25,4.25,1180421
179,4.44,4.5,4.5,4.5,+1.1%,4.25,4.5,884283
180,3.82,4.25,4,3.75,-13%,3.75,3.75,823867
181,4.43,4.5,4.5,4.25,+0.9%,4,4.75,498124
182,5,5,5,5,+13.9%,5,5,704104
183,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,1172163
184,4.65,4.75,4.75,4.75,+5.9%,4.75,4.5,1201214
185,4.15,4,4,4.25,-5.5%,4,4.25,609228
186,4.21,4,4,4.25,-4.1%,4.25,4.25,972842
187,3.62,3.5,3.75,3.5,-17.5%,3.5,3.75,859474
188,4.43,5,4.5,4.5,+0.9%,4,4.5,109993
189,5,5,5,5,+13.9%,5,5,1207828
190,4.56,4.5,4.5,4.5,+3.9%,4.75,4.5,1207803
191,4.48,4.75,4.75,4.5,+2.1%,4.25,4.5,956792
192,4.43,4.5,4.25,4.5,+0.9%,4.25,4.5,559856
193,4.23,4,4.25,4.25,-3.6%,4.25,4.25,107963
194,4.63,4.5,5,4.5,+5.5%,4.5,4.75,891882
195,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,1205389
196,4.21,4.25,4.25,4.25,-4.1%,4.5,4,1045661
197,4.32,4,4,4,-1.6%,4.5,4.5,1112171
198,4.3,4.5,4.75,4.5,-2.1%,4,4.25,1206794
199,4.19,4.25,4.25,4.25,-4.6%,4,4.25,654941
200,3.92,4,4.25,4,-10.7%,4,3.75,1194317
201,4.99,5,4.75,5,+13.7%,5,5,1206149
202,3.95,4,4.75,4,-10%,4,3.75,441101
203,4.24,4,4.5,4.25,-3.4%,4.25,4.25,818473
204,4.29,4,4.25,4.25,-2.3%,4.5,4.25,1185643
205,4.5,4.5,4.5,4.5,+2.5%,4.5,4.5,718288
206,4.39,4,4.25,4.25,0%,4.5,4.5,990707
207,4.46,4.25,4.25,4.5,+1.6%,4.5,4.5,824885
