,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.94,4,4,4,-3.2%,3.75,4,809875
1,3.74,3.5,4,3.75,-8.1%,3.75,3.75,724445
2,3.6,3.5,3.5,3.5,-11.5%,3.5,3.75,1180402
3,4.14,3.75,4,4,+1.7%,4.25,4.25,1216064
4,3.62,3.75,3.5,3.75,-11.1%,3.25,3.75,661956
5,3.7,3.5,3.5,3.5,-9.1%,3.5,4,1216899
6,3.53,3.5,4,3.5,-13.3%,3.5,3.5,1222057
7,3.85,3.75,3.75,3.75,-5.4%,3.75,4,268866
8,4.02,4,4.25,4,-1.2%,4,4,757862
9,3.81,4,4.25,3.75,-6.4%,3.75,3.75,764815
10,4.3,4.25,4.25,4.5,+5.7%,4.25,4.25,691982
11,4.48,4.5,4.5,4.5,+10.1%,4,4.75,267747
12,4,4.25,4.5,4,-1.7%,3.75,4,305814
13,4.31,4.5,4.25,4.5,+5.9%,3.75,4.5,215811
14,4,4,4,4,-1.7%,4,4,571365
15,4.21,4.5,4.25,4.5,+3.4%,3.75,4.25,870321
16,4.28,4.25,4.75,4.25,+5.2%,4.25,4.25,1036404
17,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,973715
18,4,4,4,4,-1.7%,4,4,141862
19,4.25,4.25,4.25,4.25,+4.4%,4.25,4.25,1191399
20,4.24,4.25,4,4.25,+4.2%,4.25,4.25,748677
21,4.02,4,4.25,4,-1.2%,4,4,884839
22,4.52,4.25,4.25,4.5,+11.1%,4.75,4.5,585980
23,4,4,4,4,-1.7%,4,4,983554
24,4.48,4.25,4.5,4.5,+10.1%,4.5,4.5,1177443
25,4.11,4.5,4,4,+1%,4.25,4,1183951
26,4.32,4,4.25,4.5,+6.1%,4,4.5,1191633
27,4.42,4.25,4.5,4.5,+8.6%,4.25,4.5,1072582
28,3.87,3.75,4,3.75,-4.9%,3.75,4,662397
29,4.68,4.5,4.75,4.5,+15%,4.75,4.75,1191440
30,4.12,4,4.25,4,+1.2%,4,4.25,704078
31,4.5,4.5,4.5,4.5,+10.6%,4.5,4.5,1162554
32,4.24,4.25,4,4.25,+4.2%,4.25,4.25,1170852
33,4.05,4,3.75,4,-0.5%,4.25,4,809673
34,1.08,1.25,1,1.25,-73.5%,1,1,1018730
35,4.05,4,4,4.25,-0.5%,4,4,160100
36,3.69,3.75,3.75,3.75,-9.3%,3.5,3.75,749641
37,4.09,4,3.75,4,+0.5%,4,4.25,876987
38,4.19,4.25,4.5,4.25,+2.9%,3.5,4.5,871686
