,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.77,3.75,4,3.75,-7.8%,3.75,3.75,6719
1,4.42,4,3.75,4.25,+8.1%,4.75,4.5,1227429
2,3.5,3.5,3.5,3.5,-14.4%,3.5,3.5,495359
3,4.25,3.25,4.25,4.25,+3.9%,4.25,4.5,1208383
4,3.49,3.25,3.75,3.5,-14.7%,3.5,3.5,1214360
5,3.86,4,3.5,3.75,-5.6%,3.75,4,1231882
6,3.25,3.25,3.25,3.25,-20.5%,3.25,3.25,686536
7,4.18,4.25,4,4.25,+2.2%,4,4.25,1224502
8,3.92,3.75,4,4,-4.2%,3.75,4,1227694
9,3.19,3.25,3.75,3,-22%,3.5,3,114355
10,4.12,5,4.5,4.25,+0.7%,3.75,4,1234282
11,4.13,4.25,4,4,+1%,4,4.25,1210241
12,4.06,4,4.25,4,-0.7%,3.75,4.25,702895
13,4.14,3.75,4,4,+1.2%,4.25,4.25,669727
14,4.13,4,4.25,4.25,+1%,4.25,4,295746
15,3.54,3.75,3.75,3.5,-13.4%,3.5,3.5,520731
16,3.8,3.75,3.5,3.75,-7.1%,4,3.75,734833
17,4,4.25,4.5,4,-2.2%,3.75,4,724390
18,4.09,4.25,4.25,4.25,0%,4,4,1229789
19,5,5,5,5,+22.2%,5,5,1162527
20,4.16,4,4,4,+1.7%,4.25,4.25,822543
21,4.02,4,4.25,4,-1.7%,4,4,1232073
22,3.75,3.75,3.75,3.75,-8.3%,3.75,3.75,733243
23,4,3.75,5,4,-2.2%,4.25,3.75,1082745
24,3.93,4,3.75,4,-3.9%,3.75,4,1020960
25,4.02,4,4.25,4,-1.7%,4,4,1224060
26,4,4,4,4,-2.2%,4,4,1204913
27,3.36,3.25,3.25,3.5,-17.8%,3.5,3.25,820239
28,4.01,4.25,3.75,4,-2%,4,4,42977
29,4.24,4,4.5,4.25,+3.7%,4.25,4.25,1181381
30,4.21,3.25,4.5,4.25,+2.9%,4,4.5,1227226
31,4.05,4.25,3.75,4,-1%,3.75,4.25,584357
32,3.96,4,4,4,-3.2%,4.25,3.75,1163911
33,3.4,3.5,3.5,3.5,-16.9%,3.5,3.25,790423
34,3.33,3.5,3.25,3.5,-18.6%,3.25,3.25,725212
35,3.5,3.5,3.5,3.5,-14.4%,3.5,3.5,674144
36,4.33,4,4.5,4.5,+5.9%,4,4.5,1177787
37,3.79,5,4,3.75,-7.3%,3.75,3.5,1219702
38,4.18,4,4.25,4,+2.2%,4.25,4.25,1211693
39,4.06,4,4,4,-0.7%,4.25,4,761842
40,4.2,4,4.5,4.25,+2.7%,4.5,4,786015
41,4,4,4,4,-2.2%,4,4,779746
42,4.12,4,4.25,4,+0.7%,4,4.25,163304
43,4.85,4.75,4.75,4.75,+18.6%,4.75,5,1226355
44,4.08,4,4.25,4,-0.2%,4.25,4,698188
45,3.78,4,3.75,3.75,-7.6%,3.75,3.75,1218739
46,3.32,3.25,3.5,3.5,-18.8%,3.25,3.25,1201777
47,4,4,4,4,-2.2%,4,4,1225975
48,4.15,4.5,4,4,+1.5%,4,4.25,679476
49,3.85,3.75,3.75,3.75,-5.9%,3.75,4,938210
50,4,4,4,4,-2.2%,4,4,451922
51,4,4,4,4,-2.2%,4,4,1092857
52,4,4,4,4,-2.2%,4,4,1219716
53,4.24,4.25,4,4.25,+3.7%,4.25,4.25,1219243
54,4.99,5,4.75,5,+22%,5,5,958390
55,3.25,3.25,3.25,3.25,-20.5%,3.25,3.25,831668
56,4,4,4,4,-2.2%,4,4,268866
57,4.75,4.75,4.75,4.75,+16.1%,4.75,4.75,1220932
58,3.72,3.5,4.25,3.75,-9%,4,3.5,638473
59,3.9,3.75,3.75,4,-4.6%,3.75,4,912132
60,4.13,4.25,4,4,+1%,4,4.25,1179594
61,4.14,4.25,4.25,4,+1.2%,4,4.25,968112
62,4.5,4.5,4.5,4.5,+10%,4.5,4.5,1192519
63,4.75,4.75,4.75,4.75,+16.1%,4.75,4.75,1209118
64,3.94,4,4,4,-3.7%,3.75,4,1123433
65,3.96,4,4.25,4,-3.2%,3.75,4,1207392
66,3.5,3.5,3.5,3.5,-14.4%,3.5,3.5,806869
67,3.75,3.75,3.75,3.75,-8.3%,3.75,3.75,1202198
68,1.6,2,2.25,1.5,-60.9%,1.5,1.5,1198427
69,3.87,3.75,4,3.75,-5.4%,3.75,4,462879
70,3.98,5,5,4.5,-2.7%,2,4.5,442140
71,4,4,4,4,-2.2%,4,4,334195
72,4.12,4,4.25,4,+0.7%,4,4.25,974455
73,4.09,4.75,4,4.25,0%,4.25,3.75,106332
74,4.02,4,4.25,4,-1.7%,4,4,1168435
75,3.73,3.5,3.75,3.75,-8.8%,3.75,3.75,693193
76,4.07,4.25,4,4,-0.5%,3.75,4.25,686537
77,3.78,4,3.75,3.75,-7.6%,3.75,3.75,786774
78,3.25,3.25,3.25,3.25,-20.5%,3.25,3.25,764506
