,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,1.74,2,2.5,1.75,-51.4%,1,2,260531
1,3.69,3.75,3.75,3.75,+3.1%,3.5,3.75,591569
2,3.71,3.75,4,3.75,+3.6%,3.5,3.75,1191506
3,3.64,3.5,3.75,3.5,+1.7%,4,3.5,687482
4,4.11,4.5,4.5,4.25,+14.8%,3.5,4.25,1057674
5,2.33,2.5,3,2.5,-34.9%,2.5,2,1225255
6,3.55,3.25,3.25,3.25,-0.8%,3.25,4,553862
7,4.28,4.5,4,4.25,+19.6%,3.5,4.75,1230133
8,3.7,3,3.5,3.75,+3.4%,3.5,4,1007133
9,3.68,3.75,3.5,3.75,+2.8%,3.5,3.75,1183958
10,3.56,3.5,3.5,3.5,-0.6%,3.75,3.5,820345
11,3.63,3.5,4,3.5,+1.4%,3.5,3.75,781226
12,4.55,4,4.5,4.5,+27.1%,4.5,4.75,1221398
13,3.25,3.25,3.25,3.25,-9.2%,3.25,3.25,1121439
14,4.05,4,4,4.25,+13.1%,4,4,1216727
15,3.47,3.75,3.5,3.5,-3.1%,3.25,3.5,970902
16,3,3,3,3,-16.2%,3,3,833893
17,3.56,4,4.25,3.5,-0.6%,3.75,3.25,756934
18,3.97,3.5,4.25,4,+10.9%,4,4,904404
19,3.69,3.75,3.75,3.75,+3.1%,3.5,3.75,462879
20,4.27,4,4,4.25,+19.3%,4.5,4.25,986618
21,3.63,3.75,3.75,3.75,+1.4%,3.25,3.75,1217717
22,4.21,4,4,4.25,+17.6%,4.25,4.25,1216511
23,3.91,4,4.5,4,+9.2%,3.5,4,1195628
24,3.78,3.75,4.25,3.75,+5.6%,3.75,3.75,311215
25,4.02,4.5,4,3.75,+12.3%,4.5,3.75,466824
26,3.62,3.5,3.75,3.5,+1.1%,3.5,3.75,691240
27,3.73,4,4,3.75,+4.2%,3.5,3.75,715754
28,3.98,3.75,4,4,+11.2%,4,4,907599
29,3.57,3.25,3,3.5,-0.3%,4,3.5,1111368
30,3.78,4,3.75,3.75,+5.6%,3.75,3.75,848244
31,3,3,3,3,-16.2%,3,3,820220
32,4.57,4.5,4.5,4.75,+27.7%,5,4.25,477516
33,2.45,1.75,2.5,2,-31.6%,3,2.5,1193757
34,3.33,3.25,3.5,3.25,-7%,3.5,3.25,656809
35,3.87,4,3.75,4,+8.1%,3.5,4,707248
36,3.67,3.5,3.75,3.75,+2.5%,3.5,3.75,1144120
