,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.92,3.75,4,4,+0.8%,3.75,4,1187997
1,3.75,3.75,3.75,3.75,-3.6%,3.75,3.75,1170725
2,3.87,3.75,4,3.75,-0.5%,3.75,4,1179592
3,3.74,3.5,4,3.75,-3.9%,3.75,3.75,5490
4,3.61,3.75,3.75,3.75,-7.2%,4,3.25,1231448
5,5,5,5,5,+28.5%,5,5,1117255
6,3.83,3.75,4,3.75,-1.5%,4,3.75,1201922
7,4.07,4,4.5,4,+4.6%,3.75,4.25,1192832
8,3.85,3.75,3.75,3.75,-1%,3.75,4,1216064
9,3.85,3.75,3.75,3.75,-1%,3.75,4,1208211
10,4,4,4,4,+2.8%,4,4,1229478
11,4.87,4.5,4.5,4.75,+25.2%,5,5,1217897
12,3.03,3,3.5,3,-22.1%,3,3,803864
13,3.77,3.75,4,3.75,-3.1%,3.75,3.75,1143612
14,4.63,4.75,4.5,4.5,+19%,4.5,4.75,1113636
15,4,4,4,4,+2.8%,4,4,123204
16,3.9,4,4,4,+0.3%,4,3.75,1088878
17,3.3,3.25,3.5,3.5,-15.2%,2.75,3.5,1072558
18,4.48,4.25,5,4.25,+15.2%,5,4.25,1217774
19,3,3,3,3,-22.9%,3,3,1222909
20,3.64,3.25,4.5,3.5,-6.4%,3.5,3.75,839463
21,3.9,4,4,4,+0.3%,4,3.75,981264
22,3.64,3.5,3.5,3.5,-6.4%,3.25,4,1220307
23,4.03,4.25,4,4,+3.6%,4,4,1217948
24,4,4,4,4,+2.8%,4,4,121146
25,4.04,4,4,4,+3.9%,3.75,4.25,923470
26,3.99,4,3.75,4,+2.6%,4,4,1049207
27,3.62,3.75,4,3.5,-6.9%,3.75,3.5,897145
28,3.9,3,4,4,+0.3%,4,4,1218358
29,3.79,4,4,3.75,-2.6%,3.75,3.75,378529
30,3,3,3,3,-22.9%,3,3,1178754
31,3.67,4.25,3.25,3.75,-5.7%,3.75,3.5,1192036
32,3.02,3,3.25,3,-22.4%,3,3,1094570
33,3.99,4,3.75,4,+2.6%,4,4,48493
