,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,2.1,1.75,3,2,+18%,2.25,2,950998
1,1.6,3,2.25,1.5,-10.1%,1.5,1.25,1194825
2,1.88,2,2,2,+5.6%,1.5,2,1231577
3,1.75,1.75,1.75,1.75,-1.7%,1.75,1.75,1227733
4,2.31,2.25,2.5,2.25,+29.8%,2,2.5,1215820
5,2.24,2.5,2.25,2.25,+25.8%,2.5,2,691874
6,2.7,3,2,3,+51.7%,2,3,1232826
7,1,1,1,1,-43.8%,1,1,710935
8,1.09,1.25,1,1,-38.8%,1.25,1,1220307
9,1.56,1.5,1.75,1.5,-12.4%,1.25,1.75,1218030
10,1.43,1.5,1.25,1.5,-19.7%,1.25,1.5,1216064
11,1.29,1.5,1.25,1.5,-27.5%,1.5,1,869485
12,2,1.75,3,2.5,+12.4%,1,2.25,1223102
13,1.81,1.5,1.5,1.75,+1.7%,1.75,2,1070836
14,3,3,3,3,+68.5%,3,3,1201502
15,1.75,1.75,1.75,1.75,-1.7%,1.75,1.75,703181
16,5,5,5,5,+180.9%,5,5,1223996
17,2,2,2,2,+12.4%,2,2,123204
18,2,4,4,2,+12.4%,1.5,1.5,1219702
19,1.75,1.75,1.75,1.75,-1.7%,1.75,1.75,1186224
20,1,1,1,1,-43.8%,1,1,1223538
21,1.75,1.75,1.75,1.75,-1.7%,1.75,1.75,881994
22,1.38,1.75,4,1,-22.5%,1.5,1,228702
23,3,3,3,3,+68.5%,3,3,48908
24,2.22,2.5,2.25,2.25,+24.7%,2,2.25,1206790
25,2.88,3.5,2,3.25,+61.8%,1.5,3.5,1089554
26,1.54,1.75,1.75,1.5,-13.5%,1.5,1.5,1182030
27,1.38,1.25,1.75,1.25,-22.5%,1.25,1.5,1217948
28,3.39,3.5,2,5,+90.4%,3,3,1201243
29,1.56,4,4.5,1.25,-12.4%,1,1,762066
30,2.04,1.5,1.75,2,+14.6%,2,2.25,1208460
31,3.51,4,3,3.75,+97.2%,2,4.25,1219530
32,1.91,1.5,3.25,2,+7.3%,1.5,2,1178465
33,1.93,2.25,3,2,+8.4%,1.75,1.75,811627
34,1.45,1.25,1.75,1.5,-18.5%,1.75,1.25,933004
35,2.05,2.25,1.75,2,+15.2%,1.75,2.25,1217774
36,2.2,2,2,2,+23.6%,2,2.5,123826
37,1.25,1.25,1.25,1.25,-29.8%,1.25,1.25,640208
38,4.6,4.75,5,5,+158.4%,4.25,4.5,1213406
39,1,1,1,1,-43.8%,1,1,1211677
40,1.25,1.25,1.25,1.25,-29.8%,1.25,1.25,1036651
41,1.65,2,3,1.25,-7.3%,1.75,1.5,708
42,2.49,2.75,2.25,2.5,+39.9%,2,2.75,1173058
43,3.03,3.75,2,3.25,+70.2%,2,3.5,1208562
44,2,2,2,2,+12.4%,2,2,571365
45,2.06,3.5,3.5,1.5,+15.7%,2.5,1.5,439438
