,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,2.74,2.5,3,2.75,+1.5%,2.75,2.75,56472
1,2.63,3,2.25,2.75,-2.6%,2.25,2.75,1236470
2,2.69,3,2.25,2.75,-0.4%,2.5,2.75,1116849
3,2.65,2.5,2.5,2.75,-1.9%,2.5,2.75,1082117
4,2.26,2.25,2.75,2.25,-16.3%,1.75,2.5,1188179
5,2.43,2.5,2.25,2.5,-10%,2.25,2.5,580124
6,3,3,3,3,+11.1%,3,3,280840
7,2.64,2.5,2.5,2.5,-2.2%,2.25,3,798170
8,2.81,2.75,3,2.75,+4.1%,2.5,3,1232253
9,2.86,3,3.5,2.75,+5.9%,2.5,3,1206493
10,1.79,1,1.5,1.5,-33.7%,2.5,1.75,1231422
11,2.36,2.5,2,2.25,-12.6%,2.25,2.5,1220307
12,2.46,2.25,2.25,2.5,-8.9%,2.5,2.5,757592
13,1,1,1,1,-63%,1,1,748049
14,2.88,3,2.75,2.75,+6.7%,2.75,3,1216064
15,3.75,3.5,3.5,3.75,+38.9%,3.5,4,834073
16,2.16,2.25,2.75,2.25,-20%,1.75,2.25,1221296
17,2.5,2.5,2.5,2.5,-7.4%,2.5,2.5,1213538
18,3.5,3.5,3.5,3.5,+29.6%,3.5,3.5,1165709
19,4,4,4,4,+48.1%,4,4,513752
20,3.25,3.25,3.25,3.25,+20.4%,3.25,3.25,1201502
21,3.04,4,2.75,3.25,+12.6%,3,2.75,1222761
22,2.53,3,2.75,2.5,-6.3%,2.75,2.25,1219157
23,2.38,2,2.25,3,-11.9%,2.25,2.25,1220917
24,3.25,3.25,3.25,3.25,+20.4%,3.25,3.25,268866
25,3.02,2.75,3,3,+11.9%,2.75,3.25,1206790
26,3.5,3.5,3.5,3.5,+29.6%,3.5,3.5,689719
27,2.63,2.5,3,2.5,-2.6%,2.5,2.75,1191860
28,3,2.75,2.75,3,+11.1%,2.75,3.25,1119995
29,3.25,3.25,3.25,3.25,+20.4%,3.25,3.25,1219102
30,2.9,2.75,2.75,3,+7.4%,2.75,3,933004
31,2.93,2.75,3,2.75,+8.5%,3,3,833893
32,3.56,4.75,3,3.5,+31.9%,2.5,4,1218226
33,3.75,3.75,3.75,3.75,+38.9%,3.75,3.75,906969
34,2.75,2.75,2.75,2.75,+1.9%,2.75,2.75,750036
35,3.33,3.25,3,3.5,+23.3%,3,3.5,865585
36,5,5,5,5,+85.2%,5,5,640208
37,2.6,2.5,2.5,2.5,-3.7%,2.5,2.75,777490
38,2.53,2.5,2.25,2.5,-6.3%,2.25,2.75,310357
39,2.5,2.5,2.5,2.5,-7.4%,2.5,2.5,876621
40,3.25,3.25,3.25,3.25,+20.4%,3.25,3.25,619119
41,3.7,4,4,4,+37%,2.75,4,960014
42,3.35,3.5,3.5,3.25,+24.1%,3.5,3.25,1198137
43,2.59,2.25,2.75,2.5,-4.1%,2.5,2.75,1208913
44,3.25,3.25,3.25,3.25,+20.4%,3.25,3.25,545285
45,1.55,2,2.25,1.75,-42.6%,1.5,1.25,1207557
46,2.75,2.75,2.75,2.75,+1.9%,2.75,2.75,694409
47,3.34,3,3.5,3.25,+23.7%,3.25,3.5,1036404
48,2.78,2.5,3,2.75,+3%,2.5,3,445428
49,3.1,3,3,3,+14.8%,3,3.25,111710
50,2.96,2.75,3.75,3,+9.6%,2.75,3,706574
51,2.16,2,3,2.5,-20%,2,2,1205046
52,3.52,3,2.5,3.75,+30.4%,3,4,1162355
53,2.25,2.25,2.25,2.25,-16.7%,2.25,2.25,806541
54,2.55,2.25,1.5,2.75,-5.6%,2,3,1203260
