,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.49,3.5,3.25,3.5,+3.9%,3.5,3.5,1136299
1,3.24,3,3.5,3.25,-3.6%,3.25,3.25,1221883
2,3.5,3.5,3.5,3.5,+4.2%,3.5,3.5,20976
3,3.5,3.5,3.5,3.5,+4.2%,3.5,3.5,1222909
4,3.88,4,4,4,+15.5%,3.5,4,1200107
5,2.97,3.25,3.75,3,-11.6%,3,2.75,145888
6,3.18,3.25,4,3.25,-5.4%,2.75,3.25,332060
7,2.75,2.75,2.75,2.75,-18.2%,2.75,2.75,1217774
8,3.39,3.25,3.75,3.5,+0.9%,3.5,3.25,946287
9,2.88,3,3,3,-14.3%,2.5,3,1211892
10,3.53,3.5,4,3.5,+5.1%,3.5,3.5,844
11,2.58,2.5,2.75,2.5,-23.2%,2.75,2.5,733310
12,3.48,3.75,3.75,3.5,+3.6%,3.25,3.5,905211
13,3.27,3.25,3.5,3.25,-2.7%,3.25,3.25,1204913
14,1.93,2.25,1,1,-42.6%,2.25,2.25,640208
15,3.28,3.25,4.25,3,-2.4%,3.75,3,1195221
16,3.32,3.75,2.75,3.5,-1.2%,3.25,3.25,139277
17,3.92,3.75,4,4,+16.7%,3.75,4,1183958
18,3.25,3.25,3.25,3.25,-3.3%,3.25,3.25,1121439
19,3.42,3.25,3.5,3.5,+1.8%,3.25,3.5,413924
20,3.68,3.75,3.5,3.75,+9.5%,3.5,3.75,6910
21,3.68,3.5,4,3.75,+9.5%,3.5,3.75,747806
22,4.52,4.25,4.5,4.5,+34.5%,4.25,4.75,1188179
23,3.4,3.5,3.5,3.5,+1.2%,3.5,3.25,860225
24,3.4,3.5,3.5,3.5,+1.2%,3.5,3.25,1191967
25,3.5,3.5,3.5,3.5,+4.2%,3.5,3.5,1143612
26,3.69,3.75,3.75,3.75,+9.8%,3.5,3.75,795631
27,2.82,2.5,3.75,2.5,-16.1%,3.5,2.5,1198137
28,3.81,4.25,4,4,+13.4%,3.5,3.75,209154
29,3.04,3.25,3.25,3,-9.5%,3,3,1189140
30,4.44,4.25,4,4.25,+32.1%,4.25,4.75,1201387
31,3.65,4,3,3.75,+8.6%,3,4,1209891
32,4.33,4,4.25,4.25,+28.9%,4.25,4.5,1209274
33,3.18,2.75,3.5,3.25,-5.4%,3.5,3,896854
34,3.35,3.5,3,3.5,-0.3%,3,3.5,1092559
35,4.53,4,4.75,4.5,+34.8%,4.75,4.5,294804
36,5,5,5,5,+48.8%,5,5,604237
37,3.35,3.5,3,3.5,-0.3%,3,3.5,1185025
38,3.93,4,3.75,4,+17%,3.75,4,1206331
39,3.98,3.75,4,4,+18.5%,4,4,1200923
40,4.4,4.25,4.25,4.5,+31%,4.25,4.5,1113707
41,3.66,3.75,4.25,3.75,+8.9%,3.25,3.75,1194424
42,3.79,3.5,3.75,3.75,+12.8%,4,3.75,991681
43,3.76,4,4,4,+11.9%,3,4,808914
44,4,4,4,4,+19%,4,4,545285
45,4.5,4.5,4.5,4.5,+33.9%,4.5,4.5,1192519
46,2.5,2.5,2.5,2.5,-25.6%,2.5,2.5,1157630
47,3.54,3.5,3.5,3.5,+5.4%,3.25,3.75,1133465
48,1.42,1,2.5,1.75,-57.7%,1.75,1,817832
49,4.5,4.5,4.5,4.5,+33.9%,4.5,4.5,1080855
50,4.07,4,4.25,4.25,+21.1%,4,4,1186730
