,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.25,4.25,4.25,4.25,+9.8%,4.25,4.25,774123
1,4.25,4.25,4.25,4.25,+9.8%,4.25,4.25,1162527
2,4.28,4,4.5,4.25,+10.6%,4,4.5,1219243
3,3.84,3.75,4.25,3.75,-0.8%,4,3.75,115942
4,3.91,3.75,3.75,3.75,+1%,4,4,1036195
5,3.71,3.25,3.5,3.75,-4.1%,4.25,3.5,1043113
6,3.97,4.25,5,4,+2.6%,3.5,4,1224742
7,3.66,3.5,3.5,3.5,-5.4%,3.75,3.75,152599
8,3.77,3.75,4,3.75,-2.6%,3.75,3.75,875210
9,3.88,3.75,4,4,+0.3%,4,3.75,946850
10,4.06,3.75,3.75,4,+4.9%,4,4.25,1218955
11,3.79,3.75,3.75,3.75,-2.1%,3.5,4,777490
12,4.06,4,4,4,+4.9%,4.25,4,256
13,3.5,4,3.5,3.25,-9.6%,3.5,3.5,1211279
14,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,1220932
15,3.66,3.75,3.25,3.75,-5.4%,3.5,3.75,1169410
16,3.68,3.75,3.5,3.75,-4.9%,3.5,3.75,910390
17,3.92,4,4.25,4,+1.3%,4,3.75,1206805
18,3.39,3,3.25,3.25,-12.4%,3.5,3.5,1001673
19,4,4,4,4,+3.4%,4,4,838259
20,2.87,2.75,3.25,3,-25.8%,3.75,2.25,1082797
21,3.5,3.5,3.5,3.5,-9.6%,3.5,3.5,656809
22,4.05,4,3.5,4,+4.7%,3.5,4.5,1201777
23,3.77,3.75,4,3.75,-2.6%,3.75,3.75,1210915
24,3.22,4.25,4,3.25,-16.8%,2.5,3.25,363871
25,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,25570
26,3,3,3,3,-22.5%,3,3,1123433
27,3.74,3.5,4,3.75,-3.4%,3.75,3.75,1168435
28,4.12,3.75,3.75,4,+6.5%,4.25,4.25,767767
29,4.45,4.25,4.25,4.25,+15%,4.25,4.75,1155237
30,3.97,4.25,4.25,4.25,+2.6%,3.5,4,71664
31,4,4,4,4,+3.4%,4,4,831854
32,4.17,4,4,4.25,+7.8%,4.5,4,1173841
33,4,4,4,4,+3.4%,4,4,1201781
34,4.24,4.25,4,4.25,+9.6%,4.25,4.25,1187837
35,3.54,3.75,3.75,3.5,-8.5%,3.5,3.5,674078
36,3.85,3.75,3.75,3.75,-0.5%,3.75,4,1202198
37,4,4,4,4,+3.4%,4,4,1201020
38,3.94,4,4,4,+1.8%,3.75,4,767570
39,3.68,3.5,4,3.75,-4.9%,3.5,3.75,858552
40,4,4,4,4,+3.4%,4,4,881994
41,3.92,3.75,4,4,+1.3%,3.75,4,924561
42,4.5,4.5,4.5,4.5,+16.3%,4.5,4.5,847893
43,4.31,3.75,4,4.25,+11.4%,4.75,4.25,1196340
44,3.7,3.5,4,3.75,-4.4%,4,3.5,1166423
45,4.06,3.75,3.75,4,+4.9%,4,4.25,5708
46,4.19,4,4.25,4.25,+8.3%,4.5,4,663721
47,4.04,3.75,4,4,+4.4%,4.25,4,544594
48,4.19,4,3.75,4.5,+8.3%,4,4.25,981271
49,3.62,3.75,4,3.5,-6.5%,3.75,3.5,945867
50,3.83,3.75,4,3.75,-1%,4,3.75,809652
51,4,4,4,4,+3.4%,4,4,489156
52,3.46,3.5,3.75,3.5,-10.6%,3.25,3.5,743384
53,3.59,3.75,3.5,3.5,-7.2%,3.75,3.5,276070
54,4.25,4.25,4.25,4.25,+9.8%,4.25,4.25,642785
55,4.17,4,4.25,4.25,+7.8%,4,4.25,1013583
56,3.69,3.75,3.5,3.5,-4.7%,3.75,3.75,808419
57,3.64,4,4,3.5,-5.9%,3.75,3.5,1074900
58,3.83,3.75,4,3.75,-1%,4,3.75,1124853
59,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,776849
60,3.99,3.75,4,3.75,+3.1%,4.25,4,839628
61,4.01,3.5,3.25,4,+3.6%,4,4.25,1193725
62,4.26,4,3.75,4.25,+10.1%,4.5,4.25,1170852
63,3.63,3.75,3.75,3.75,-6.2%,3.25,3.75,813467
64,3.65,3.75,3.75,3.75,-5.7%,3.75,3.5,805851
65,3.97,3.5,4.25,4,+2.6%,4,4,542573
66,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,694409
67,4.1,4,4,4,+5.9%,4,4.25,874368
68,4.18,4.25,4,4.25,+8%,4,4.25,897864
69,3.71,3.75,4,3.75,-4.1%,3.5,3.75,281887
70,4.43,4.5,4.25,4.5,+14.5%,4.25,4.5,1184297
71,3.52,3.5,3.75,3.5,-9%,3.5,3.5,58158
72,4.82,4.75,5,5,+24.5%,4.75,4.75,1190425
73,3.75,4,4.25,3.75,-3.1%,3.5,3.75,935118
74,4.1,4.25,4.25,4,+5.9%,4.25,4,697383
75,4,4,4,4,+3.4%,4,4,720717
76,3.31,3,4,3.75,-14.5%,3,3.25,1187992
77,3.94,4,4,4,+1.8%,3.75,4,1124663
78,3.58,3.75,3.5,3.75,-7.5%,3.5,3.5,673923
79,3.78,3.5,4,3.75,-2.3%,3.5,4,95214
80,3.94,4.25,3.5,4,+1.8%,3.75,4,982488
