,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.76,4.5,4.25,3.75,-3.3%,3.75,3.5,472006
1,3.96,3,5,4,+1.8%,4,4,1233900
2,4.55,5,4.5,4.5,+17%,4.5,4.5,655814
3,3.7,4.25,4,3.75,-4.9%,3.25,3.75,1192392
4,4.03,4.5,4.25,4,+3.6%,4.25,3.75,1233021
5,4.02,4,4.25,4,+3.3%,4,4,732424
6,3.94,4,4,4,+1.3%,3.75,4,906571
7,3.95,4,4,3.75,+1.5%,4,4,960
8,4.03,4,3.5,4,+3.6%,4.25,4,197884
9,3.83,3.75,4,3.75,-1.5%,4,3.75,861487
10,4.1,4,4,4,+5.4%,4,4.25,1230227
11,4.13,3.75,4,4.25,+6.2%,4,4.25,1216064
12,3.81,4,4.25,3.75,-2.1%,3.75,3.75,1045661
13,4.15,4,3.75,4,+6.7%,4.25,4.25,811627
14,3.94,3.75,3.5,3.75,+1.3%,3.75,4.25,1178465
15,4.5,4.5,4.5,4.5,+15.7%,4.5,4.5,1189990
16,4,4,4,4,+2.8%,4,4,1200107
17,3.84,4,4,4,-1.3%,3.75,3.75,1198137
18,4.14,4.25,4.25,4,+6.4%,4,4.25,831910
19,3.22,3.5,3.25,3.25,-17.2%,3,3.25,340066
20,3.84,3.5,4,3.75,-1.3%,3.75,4,1192848
21,3.79,3.75,4.25,4,-2.6%,4,3.5,1165293
22,4.21,4.25,4.25,4.25,+8.2%,4.5,4,963601
23,4.09,4,3.75,4,+5.1%,4,4.25,1224488
24,3.31,3.5,4.5,3.25,-14.9%,3.5,3,897145
25,3.67,3.5,3.75,3.75,-5.7%,3.5,3.75,1144120
26,3.96,3.75,3.75,4,+1.8%,4,4,997595
27,4.49,4.25,4.75,4.5,+15.4%,4.5,4.5,1199747
28,3.92,3.75,4,4,+0.8%,3.75,4,921248
29,4.86,4.75,5,5,+24.9%,4.5,5,1218262
30,3.96,4.25,3.75,3.75,+1.8%,4,4,863359
31,4.03,4,4.5,4,+3.6%,4,4,1113707
32,4.25,4.25,4.25,4.25,+9.3%,4.25,4.25,386602
33,3.75,3.75,3.75,3.75,-3.6%,3.75,3.75,427592
34,4,4,4,4,+2.8%,4,4,1216659
35,3.9,3.75,3.75,4,+0.3%,3.75,4,523243
36,3.91,3.5,3.25,4,+0.5%,4,4,1206020
37,3.44,3.5,4,3.25,-11.6%,3.75,3.25,949526
