,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.03,4.25,4,4,-0.7%,4,4,910969
1,4.68,4.5,4.25,4.75,+15.3%,4.25,5,1229089
2,3.69,3.5,3.75,3.75,-9.1%,4,3.5,1236004
3,4,4,4,4,-1.5%,4,4,1080352
4,4.06,4,4,4,0%,4.25,4,1136299
5,4.06,4,4,4,0%,4.25,4,1173883
6,4.04,4,4,4,-0.5%,3.75,4.25,1212170
7,3.84,4,4,4,-5.4%,3.75,3.75,1088878
8,4.03,4.25,4,4,-0.7%,4,4,591360
9,4.14,4,3,4,+2%,4,4.5,1232393
10,4.09,4.25,4.5,4.25,+0.7%,3.5,4.25,1107073
11,4.82,5,4.5,4.75,+18.7%,5,4.75,1229001
12,3.79,4,4,3.75,-6.7%,3.75,3.75,779364
13,4.24,4.25,4,4.25,+4.4%,4.25,4.25,321858
14,4.16,4,4,4,+2.5%,4.25,4.25,5490
15,4.51,5,4.25,4.75,+11.1%,3.75,4.75,985764
16,4.25,4.25,4.25,4.25,+4.7%,4.25,4.25,44033
17,4,4,4,4,-1.5%,4,4,672577
18,3.78,3.75,4.25,3.75,-6.9%,3.75,3.75,1225104
19,4.15,3.75,4.25,4,+2.2%,4.25,4.25,1216064
20,4.06,4,4,4,0%,4.25,4,759660
21,3.88,4,3.75,3.75,-4.4%,3.75,4,932976
22,3.62,3.75,4,3.5,-10.8%,3.75,3.5,490473
23,4.17,3.75,4.5,4,+2.7%,4.25,4.25,1228553
24,2.75,2.75,2.75,2.75,-32.3%,2.75,2.75,1182030
25,3.66,3.75,4,3.5,-9.9%,3.5,3.75,1213070
26,4.55,4.5,4.25,4.5,+12.1%,4.75,4.5,1215844
27,3.54,3.25,3.5,3.5,-12.8%,3.75,3.5,1226220
28,4,4,4,4,-1.5%,4,4,1073862
29,4,4,4,4,-1.5%,4,4,819173
30,3.5,3.5,3.5,3.5,-13.8%,3.5,3.5,814461
