,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.02,4,4.25,4,-0.5%,4,4,1234664
1,4.61,4.5,4.75,4.75,+14.1%,4.25,4.75,1235811
2,3.4,4,3.5,3.25,-15.8%,3.5,3.25,1215183
3,3.93,4,3.75,4,-2.7%,3.75,4,1037584
4,4.15,4,4,4.25,+2.7%,4,4.25,1227694
5,4.36,4,4,4,+7.9%,4.25,4.75,1233797
6,3.94,3.75,4.75,4,-2.5%,3.25,4.25,959968
7,4.19,4.25,4.25,4.25,+3.7%,4,4.25,869066
8,3.61,4.25,3.25,3.75,-10.6%,3.5,3.5,1221901
9,4.28,4.25,4,4.25,+5.9%,4,4.5,1167705
10,3.71,3.75,4,3.75,-8.2%,3.5,3.75,743013
11,4.5,4.5,4.5,4.5,+11.4%,4.5,4.5,1162527
12,3.93,4,3.75,4,-2.7%,3.75,4,1231080
13,4.49,4.25,4.75,4.5,+11.1%,4.5,4.5,1231031
14,4.04,4,4,4,0%,3.75,4.25,1208866
15,4.13,4.25,4,4,+2.2%,4,4.25,950847
16,3.94,4,4,4,-2.5%,3.75,4,981264
17,4.21,4,4,4.25,+4.2%,4.25,4.25,317455
18,4.39,4,4.25,4.25,+8.7%,4.5,4.5,899426
19,3.73,3.75,3.5,4,-7.7%,3.5,3.75,1111967
20,4.06,4.25,4.5,4,+0.5%,4,4,1213478
21,4,4,4,4,-1%,4,4,123204
22,3.5,3.5,3.5,3.5,-13.4%,3.5,3.5,1222909
23,4,4,4,4,-1%,4,4,132348
24,3.84,3.75,4.25,3.75,-5%,4,3.75,1217774
25,3.78,3.75,3.25,3.75,-6.4%,4,3.75,1205551
26,3.65,3.5,3.5,3.75,-9.7%,3.5,3.75,688307
27,3.82,4,3.75,3.75,-5.4%,3.5,4,1220307
28,3.67,3.5,3.75,3.75,-9.2%,3.5,3.75,1185632
29,3.15,3,3,3.25,-22%,3,3.25,1058694
30,3.69,3.75,3.75,3.75,-8.7%,3.5,3.75,1192832
31,3.83,3.75,4,3.75,-5.2%,4,3.75,1218739
32,3.69,3.75,3.75,3.75,-8.7%,3.5,3.75,861134
33,4.15,3.75,4,4.25,+2.7%,4.5,4,1214927
34,4.75,4.75,4.75,4.75,+17.6%,4.75,4.75,1219102
