,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.86,3.75,4,4,-1.8%,3.5,4,620428
1,4,4,4,4,+1.8%,4,4,738688
2,4,4,4,4,+1.8%,4,4,1036195
3,3.67,3.75,4,3.75,-6.6%,3.75,3.5,736144
4,3.84,4,3.75,3.75,-2.3%,4,3.75,779364
5,4.39,4.5,4.25,4.5,+11.7%,4.5,4.25,542703
6,3.79,4,4,3.75,-3.6%,3.75,3.75,925954
7,4.05,3.75,3.75,4.25,+3.1%,3.75,4.25,1095082
8,3.82,4,3,4,-2.8%,3.5,4,1072558
9,3.9,4,4,4,-0.8%,4,3.75,1098533
10,4.02,3.75,3.75,4,+2.3%,4.25,4,1133465
11,4.12,4.25,4,4.25,+4.8%,3.75,4.25,1002275
12,3.99,3.75,4.25,4,+1.5%,4,4,1144649
13,3.21,3.5,3.75,3.25,-18.3%,3.25,3,1150917
14,3.73,3.75,4,3.75,-5.1%,4,3.5,886152
15,4,4,4,4,+1.8%,4,4,1025815
16,1.45,3.25,3,1.5,-63.1%,1,1,1104302
17,2.62,2,2.5,2.75,-33.3%,3,2.5,1099657
18,4.54,4.25,4.5,4.5,+15.5%,4.75,4.5,854929
19,3.78,4,3.75,3.75,-3.8%,3.75,3.75,1109348
20,3.9,4,4,4,-0.8%,4,3.75,1073239
21,4.13,4.25,4,4,+5.1%,4,4.25,638668
22,4.33,4,4.5,4.5,+10.2%,4,4.5,792732
23,4,4,4,4,+1.8%,4,4,725284
24,3.75,3.75,3.75,3.75,-4.6%,3.75,3.75,712111
25,3,3,3,3,-23.7%,3,3,77285
26,4.22,4.25,3.75,4.25,+7.4%,4.25,4.25,860682
27,4.04,3.5,4.5,4,+2.8%,4.25,4,320731
28,4.12,4,4.25,4,+4.8%,4,4.25,893347
29,4,4,4,4,+1.8%,4,4,823429
30,4.92,4.75,5,5,+25.2%,4.75,5,1023120
31,3.9,3.75,3.75,4,-0.8%,3.75,4,778897
32,3.94,4,4,4,+0.3%,3.75,4,738632
33,4.21,4,4,4.25,+7.1%,4.25,4.25,752164
34,3.73,3.5,3.75,3.75,-5.1%,3.75,3.75,778290
35,3.83,3.75,4,3.75,-2.5%,4,3.75,269038
36,3,3,3,3,-23.7%,3,3,1003907
37,4.32,4.5,4.25,4.75,+9.9%,4,4.25,822721
38,3.15,3,3,3.25,-19.8%,3,3.25,800982
39,4.44,4.5,4.25,4.25,+13%,4.5,4.5,687335
40,3.94,4,4,4,+0.3%,3.75,4,519152
41,4.21,4.25,4.5,4.25,+7.1%,4,4.25,877474
42,3.68,3.75,3.5,3.75,-6.4%,3.5,3.75,401113
43,4.29,4,4.25,4.25,+9.2%,4.5,4.25,807965
44,4.38,4.25,4.5,4.5,+11.5%,4.5,4.25,818897
45,3.9,4,4,4,-0.8%,4,3.75,434646
46,4,4,4,4,+1.8%,4,4,121146
47,3.77,3.75,4,3.75,-4.1%,3.75,3.75,691181
48,4.15,4,3.75,4,+5.6%,4.25,4.25,935092
49,3.68,4,3.75,3.75,-6.4%,3.75,3.5,800935
50,3.58,5,5,3.5,-8.9%,4.5,2.5,980022
51,4,4,4,4,+1.8%,4,4,715929
52,3.48,3.25,3.5,3.5,-11.5%,3.5,3.5,844859
53,3.68,3.5,4,3.75,-6.4%,3.5,3.75,912570
54,4.5,4.5,4.5,4.5,+14.5%,4.5,4.5,545285
55,3.96,3.75,3.75,4,+0.8%,4,4,845619
56,4,4,4,4,+1.8%,4,4,870152
57,3.68,3.75,3.5,3.75,-6.4%,3.5,3.75,941602
58,3.93,4,3.75,4,0%,3.75,4,963253
59,3.88,4,3.75,3.75,-1.3%,3.75,4,963036
60,3.56,3.5,3.5,3.5,-9.4%,3.75,3.5,783112
61,3.75,3.75,3.75,3.75,-4.6%,3.75,3.75,603945
62,3.23,3,3.75,3,-17.8%,3.75,3,774776
63,4.04,3.75,4,4,+2.8%,4.25,4,749050
64,4.25,4,4,4.25,+8.1%,4,4.5,805054
65,4.25,4.25,4.25,4.25,+8.1%,4.25,4.25,610738
66,4.48,4.5,4.5,4.5,+14%,4,4.75,186039
67,3.4,3,4,3.5,-13.5%,4,3,877009
68,3.77,3.75,4,3.75,-4.1%,3.75,3.75,792840
69,4.03,4,4,4.25,+2.5%,3.5,4.25,780726
70,3.33,3.25,3.5,3.25,-15.3%,3.5,3.25,571148
71,2.44,2.75,3,2.5,-37.9%,2,2.5,851925
72,3.85,4.5,3.25,4,-2%,3.75,3.75,832250
73,4.24,4,4.5,4.25,+7.9%,4.25,4.25,838800
74,4.75,4.75,4.75,4.75,+20.9%,4.75,4.75,767573
75,4,4,4,4,+1.8%,4,4,378545
76,4.81,5,4.5,4.5,+22.4%,4.75,5,889285
77,4.71,4.5,4.5,4.75,+19.8%,4.75,4.75,827202
78,4.91,4.75,4.75,4.75,+24.9%,5,5,791896
79,3.9,4,4,4,-0.8%,4,3.75,276274
80,4.1,4,3.75,4.25,+4.3%,4.25,4,914820
81,4.29,4,4.25,4.25,+9.2%,4.5,4.25,566415
82,4.25,N/A,N/A,N/A,+8.1%,N/A,N/A,45592
83,3.12,N/A,N/A,N/A,-20.6%,N/A,N/A,908762
84,3.44,N/A,N/A,N/A,-12.5%,N/A,N/A,847357
85,4.55,N/A,N/A,N/A,+15.8%,N/A,N/A,891656
86,3,N/A,N/A,N/A,-23.7%,N/A,N/A,626844
87,3.52,N/A,N/A,N/A,-10.4%,N/A,N/A,906137
88,4.25,N/A,N/A,N/A,+8.1%,N/A,N/A,429844
89,4.5,N/A,N/A,N/A,+14.5%,N/A,N/A,804308
90,4.12,N/A,N/A,N/A,+4.8%,N/A,N/A,903569
91,4.5,N/A,N/A,N/A,+14.5%,N/A,N/A,798833
92,3.5,N/A,N/A,N/A,-10.9%,N/A,N/A,770195
93,4,N/A,N/A,N/A,+1.8%,N/A,N/A,524922
94,3.41,N/A,N/A,N/A,-13.2%,N/A,N/A,878117
95,3.64,N/A,N/A,N/A,-7.4%,N/A,N/A,786800
96,4.25,N/A,N/A,N/A,+8.1%,N/A,N/A,726062
97,4.25,N/A,N/A,N/A,+8.1%,N/A,N/A,762066
98,4.08,N/A,N/A,N/A,+3.8%,N/A,N/A,195695
99,4.46,4.25,4.25,4.5,+13.5%,4.5,4.5,863359
100,4,N/A,N/A,N/A,+1.8%,N/A,N/A,898920
101,3.54,N/A,N/A,N/A,-9.9%,N/A,N/A,677363
102,4.04,N/A,N/A,N/A,+2.8%,N/A,N/A,855617
103,3.5,N/A,N/A,N/A,-10.9%,N/A,N/A,765942
104,4,N/A,N/A,N/A,+1.8%,N/A,N/A,362562
105,3.9,N/A,N/A,N/A,-0.8%,N/A,N/A,800177
106,4.44,N/A,N/A,N/A,+13%,N/A,N/A,854303
107,4,N/A,N/A,N/A,+1.8%,N/A,N/A,892706
108,4,N/A,N/A,N/A,+1.8%,N/A,N/A,836257
109,4,N/A,N/A,N/A,+1.8%,N/A,N/A,726253
