,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.66,5,5,5,+19.5%,4,4.75,215811
1,4,4,4,4,+2.6%,4,4,803117
2,4.79,5,5,4.75,+22.8%,4.75,4.75,697017
3,3.96,3.75,3.75,4,+1.5%,4,4,48493
4,3.65,3.5,4,3.5,-6.4%,4,3.5,188701
5,4.24,4.25,4,4.25,+8.7%,4.25,4.25,1216064
6,3.99,4,3.75,4,+2.3%,4,4,921964
7,3.76,3.5,3.75,4,-3.6%,3.25,4,1228797
8,4,4,4,4,+2.6%,4,4,1224787
9,3.68,3.5,3.5,3.5,-5.6%,4.25,3.5,989627
10,4.12,4,4.25,4,+5.6%,4,4.25,1210960
11,3.93,4,4,4.25,+0.8%,3.5,4,802867
12,4,4,4,4,+2.6%,4,4,779746
13,3.72,3.75,4.25,3.75,-4.6%,3.5,3.75,935118
14,4.09,4.25,4,4,+4.9%,4.25,4,1161367
15,3.75,3.75,3.75,3.75,-3.8%,3.75,3.75,673072
16,3.89,3.75,4,3.75,-0.3%,4.25,3.75,805578
17,4.55,4.5,4.5,4.75,+16.7%,4.5,4.5,1066571
18,3.56,4.25,4,3.75,-8.7%,3.5,3.25,1214738
19,4.55,4,4.5,4.5,+16.7%,4.5,4.75,1195221
20,3.75,3.75,3.75,3.75,-3.8%,3.75,3.75,761225
21,3.99,4,3.75,4,+2.3%,4,4,300837
22,3.49,3.5,4.25,3.5,-10.5%,3.25,3.5,685878
23,4,4,4,4,+2.6%,4,4,1207740
24,4.08,4,4.25,4,+4.6%,4.25,4,1207948
25,3.76,4,3.5,3.75,-3.6%,3.75,3.75,749633
26,3.98,3.75,4,4,+2.1%,4,4,820528
27,4.21,4,4,4.25,+7.9%,4.25,4.25,1023548
28,4.08,4,4.25,4,+4.6%,4.25,4,75749
29,3.73,4,4,3.75,-4.4%,3.5,3.75,827859
30,4.12,4,4,4,+5.6%,4.5,4,1185236
31,3.42,3.25,3.5,3.5,-12.3%,3.25,3.5,1202198
32,4,4,4,4,+2.6%,4,4,512580
33,3.84,3.75,4.25,3.75,-1.5%,4,3.75,17949
34,4.23,5,5,4.25,+8.5%,4.5,3.75,442140
35,4.09,4,4.5,4,+4.9%,4.25,4,752565
36,3.81,3.75,3.75,3.75,-2.3%,4,3.75,673749
37,3.69,3.5,3.75,3.75,-5.4%,4,3.5,749253
38,4.88,4.75,5,5,+25.1%,5,4.75,1198137
39,2.99,2.75,3.25,3,-23.3%,3,3,674078
40,3.81,3.5,3.5,3.75,-2.3%,3.75,4,726249
41,3.39,3.25,4,3.5,-13.1%,3,3.5,1171922
42,3.5,4,4,3.5,-10.3%,4,3,952043
43,4,4,4,4,+2.6%,4,4,662957
44,3.91,4,4,3.75,+0.3%,4.25,3.75,747806
45,3.62,3.25,4,3.75,-7.2%,3.75,3.5,1179583
46,3.9,4,4,4,0%,4,3.75,766181
47,4.39,4.75,4.25,4.5,+12.6%,4,4.5,1195466
48,4.75,4.75,4.75,4.75,+21.8%,4.75,4.75,1189812
49,4.17,4.25,4.5,4.25,+6.9%,4.25,4,1024981
50,4.03,4,3.75,4,+3.3%,3.75,4.25,779531
51,3.49,3.5,3.25,3.5,-10.5%,3.5,3.5,1106370
52,3.74,3.25,3.75,3.75,-4.1%,3.5,4,1037584
53,3.5,3.5,3.5,3.5,-10.3%,3.5,3.5,75704
54,4.37,4,4,4.25,+12.1%,4.5,4.5,1150422
55,3.69,3.75,3.5,3.5,-5.4%,3.75,3.75,1141192
56,3.89,4,3.75,4,-0.3%,4,3.75,1187524
57,4.03,4,4.5,4,+3.3%,4,4,586045
58,3.5,3.5,3.5,3.5,-10.3%,3.5,3.5,770495
59,3.75,3.75,3.75,3.75,-3.8%,3.75,3.75,520731
60,4.07,4.25,4,4.5,+4.4%,3.75,4,1038295
61,3.38,3.5,4,3.25,-13.3%,3.5,3.25,706522
62,3.54,3.75,3.75,3.5,-9.2%,3.5,3.5,1183503
63,4.1,4,4,4,+5.1%,4,4.25,815523
64,4,4,4,4,+2.6%,4,4,447549
65,4.12,4,4.25,4,+5.6%,4,4.25,1061637
66,4.25,4.25,4.25,4.25,+9%,4.25,4.25,553862
67,4.04,3.75,4,4,+3.6%,4.25,4,1124853
68,3.74,3.75,5,3.5,-4.1%,4,3.5,935733
69,3.32,3.5,3.5,3.5,-14.9%,2.75,3.5,838259
70,3.87,3.75,4,3.75,-0.8%,3.75,4,321186
71,4.43,4.5,4.25,4.5,+13.6%,4.25,4.5,811533
72,3.5,3.5,3.5,3.5,-10.3%,3.5,3.5,733123
73,3.25,3.25,3.25,3.25,-16.7%,3.25,3.25,1164624
74,4,4,4,4,+2.6%,4,4,435592
75,3.73,3.5,3.75,3.75,-4.4%,3.75,3.75,981264
76,4.3,4.25,5,4.25,+10.3%,4.25,4.25,1069757
77,4.54,4.5,4.5,4.5,+16.4%,4.25,4.75,766589
78,4,4,4,4,+2.6%,4,4,500698
79,3.82,3.5,3.5,4,-2.1%,4,3.75,753873
80,3.94,4,4,4,+1%,3.75,4,848244
81,4.12,4.25,4,4.25,+5.6%,3.75,4.25,789167
82,3.95,3.75,4.5,4,+1.3%,3.75,4,787350
83,2.94,3.5,3.5,3.5,-24.6%,2,3,1164000
84,4.28,4,4.25,4.5,+9.7%,4.25,4.25,1162554
85,4.34,4.25,4,4.25,+11.3%,4.25,4.5,1078131
86,4.29,4.5,4.5,4.25,+10%,4.25,4.25,231918
87,4,4,4,4,+2.6%,4,4,1082979
88,4.43,4.5,4.25,4.5,+13.6%,4.25,4.5,1165236
89,3.96,4,4.25,4,+1.5%,3.75,4,710984
90,3.49,4,3.5,3.5,-10.5%,3.25,3.5,686827
91,4.13,4.25,4,4,+5.9%,4,4.25,898176
92,4.3,4.25,4.25,4.5,+10.3%,4.25,4.25,663552
93,4.56,4,4.5,4.25,+16.9%,4.75,4.75,717642
94,3.84,3.75,3.5,3.75,-1.5%,3.75,4,809740
95,3.16,3,2.75,3.25,-19%,3.5,3,1155922
96,4.59,4,3.5,4.5,+17.7%,4.5,5,797573
97,3.88,4,4,4,-0.5%,3.5,4,962669
98,3.59,3.75,3,3.75,-7.9%,3.25,3.75,1154999
99,3.93,3,4.5,4,+0.8%,4,4,582260
100,4.45,4.5,5,4.5,+14.1%,5,4,1113707
101,3.89,4,4,3.75,-0.3%,3.75,4,597640
102,4.16,4,4,4,+6.7%,4.25,4.25,1000026
103,3.15,4.25,4.25,3.25,-19.2%,3,2.75,1145501
104,3.77,3.75,4,3.75,-3.3%,3.75,3.75,1042137
105,3.55,3.5,3.5,3.75,-9%,3.5,3.5,435990
106,3.84,4.75,4.5,3.75,-1.5%,3.5,3.75,662249
107,3.94,3.75,4.25,4.25,+1%,4,3.75,1146565
108,4.13,4,4.5,4,+5.9%,4,4.25,638269
109,3.65,3.5,4,3.5,-6.4%,4,3.5,887305
110,3.69,4,4.25,3.75,-5.4%,3.25,3.75,954678
111,3.77,3.75,4,3.75,-3.3%,3.75,3.75,659309
112,3.33,3,4.75,3.5,-14.6%,3.5,3,1073239
113,3.99,4,4,4.25,+2.3%,3.75,4,1102557
114,3.68,3.5,4,3.75,-5.6%,3.5,3.75,1099999
115,3.27,4.25,3.75,3.5,-16.2%,3,3,1021163
116,3.54,3.5,3.5,3.5,-9.2%,3.25,3.75,1005634
117,2.63,2.25,2.5,2.75,-32.6%,2.5,2.75,992892
118,3.69,3,4.5,4,-5.4%,3,4,1129650
119,2.89,4,4,3.25,-25.9%,2.5,2.5,749149
120,4.21,4,4,4.25,+7.9%,4.25,4.25,530428
121,3.34,3,3.5,3.25,-14.4%,3.25,3.5,638668
122,4.24,4.25,4,4.25,+8.7%,4.25,4.25,683233
123,3.85,4,3.25,3.75,-1.3%,3.75,4,820845
124,3.91,4.25,4,4,+0.3%,3.5,4,974243
125,3.09,2.5,4,3,-20.8%,3.75,2.75,989912
126,3.56,3.75,4,3.5,-8.7%,3.5,3.5,489997
127,4.05,4,3.75,4,+3.8%,4.25,4,714017
128,3.79,3.5,4,4,-2.8%,3.75,3.75,863359
129,3.79,3.5,3.75,3.75,-2.8%,4,3.75,1021636
130,4.37,4.5,4.25,4.5,+12.1%,4,4.5,958590
131,4,4.25,4.25,4,+2.6%,4.25,3.75,1103018
132,5,5,5,5,+28.2%,5,5,933670
133,5,5,5,5,+28.2%,5,5,971932
134,4.4,4.25,4.25,4.5,+12.8%,4.25,4.5,1096643
135,4.41,4.5,4,4.5,+13.1%,4.25,4.5,1096263
136,4.21,4,4,4.25,+7.9%,4.25,4.25,791933
137,3.63,3.25,4,3.5,-6.9%,4,3.5,1007133
138,3.75,3.75,3.75,3.75,-3.8%,3.75,3.75,121146
139,4.31,4,4,4.25,+10.5%,4.25,4.5,927620
140,4.23,4.25,4,4.5,+8.5%,4,4.25,923715
141,3.52,3.5,3.75,3.5,-9.7%,3.5,3.5,795883
142,4,4,4,4,+2.6%,4,4,906148
143,4.06,4,4,4,+4.1%,4.25,4,979834
144,3.64,3.5,3.75,3.5,-6.7%,4,3.5,1049226
145,3.69,3.75,4.5,3.5,-5.4%,3.5,3.75,1056266
146,3.67,4,4.25,3.75,-5.9%,4,3.25,128778
147,3.4,3.5,3.75,3.5,-12.8%,3,3.5,932006
148,3.44,3.5,4,3.25,-11.8%,3.75,3.25,1067900
149,3.63,3.5,3.75,3.75,-6.9%,3.75,3.5,961291
150,3.16,3.25,3.75,3.25,-19%,2.75,3.25,862757
151,4,4,4,4,+2.6%,4,4,764726
152,4.42,4.25,4.5,4.5,+13.3%,4.25,4.5,1047740
153,3.65,3.75,3.75,3.75,-6.4%,3.75,3.5,1051387
154,4.39,4.5,4.5,4.25,+12.6%,4.25,4.5,943349
155,4.01,3.75,4.5,4,+2.8%,4,4,906571
156,3.83,3.75,4,3.75,-1.8%,4,3.75,721414
157,2.72,3,2.5,2.75,-30.3%,3,2.5,1037245
158,4.49,4.5,4.25,4.5,+15.1%,4.5,4.5,485269
159,3.5,3.5,3.5,3.5,-10.3%,3.5,3.5,773354
160,4.08,4.25,3.75,4.25,+4.6%,3.25,4.5,773751
161,3.81,3.75,3.75,3.75,-2.3%,4,3.75,1013358
162,4.76,4.25,5,4.75,+22.1%,4.5,5,1045843
163,3.9,4,4.25,4,0%,3.5,4,481246
164,3.25,3,3,3.25,-16.7%,3,3.5,147743
165,5,5,5,5,+28.2%,5,5,930191
166,4.52,4.25,4.25,4.5,+15.9%,4.75,4.5,848595
167,4,4,4,4,+2.6%,4,4,1032957
168,3.81,3,4,3.75,-2.3%,4.25,3.75,973219
169,3.66,4,3.75,3.75,-6.2%,3.25,3.75,660363
170,4.13,4.25,4,4,+5.9%,4,4.25,1035603
171,3.94,4,4,4,+1%,3.75,4,934461
172,3.71,3.75,4,3.75,-4.9%,3.5,3.75,732424
173,3.32,3,3.75,3.25,-14.9%,3.5,3.25,289047
174,3.88,3.75,4.25,3.75,-0.5%,3.75,4,515021
175,3.79,4,4,3.75,-2.8%,3.75,3.75,737070
176,3.6,3.5,3.5,3.5,-7.7%,3.5,3.75,1033239
177,3.47,3.25,4,3.5,-11%,3.75,3.25,780649
178,4.06,4.25,4.5,4,+4.1%,4,4,237852
179,3.91,4.25,4,4,+0.3%,3.5,4,661956
180,3.95,4,3.5,4,+1.3%,3.5,4.25,779523
181,3.84,3.75,3.5,3.75,-1.5%,3.75,4,735163
