,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,2.93,3.5,3,3,-24.3%,2.5,3,440420
1,3.94,3.75,4,4,+1.8%,4.25,3.75,294582
2,4.25,4.25,4.25,4.25,+9.8%,4.25,4.25,1165236
3,3.71,3.75,3.75,3.75,-4.1%,4,3.5,962669
4,3.72,3.75,3.25,3.75,-3.9%,3.75,3.75,780649
5,4.1,4,4,4,+5.9%,4,4.25,1198162
6,4.44,4.5,4.5,4.5,+14.7%,4.25,4.5,1060743
7,3.92,3.75,4,4,+1.3%,3.75,4,1229739
8,3.98,3.75,4,4,+2.8%,4,4,1042862
9,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,725212
10,2.93,3.25,3,3,-24.3%,3,2.75,932976
11,4.06,4.5,3.5,4,+4.9%,3.75,4.25,1226480
12,3.56,3.75,4,3.5,-8%,3.5,3.5,1179714
13,3.48,3.25,3.5,3.5,-10.1%,3.5,3.5,1213574
14,3.36,3.5,3.75,3.5,-13.2%,3.25,3.25,1204913
15,4.41,4.5,4,4.5,+14%,4.25,4.5,1227646
16,4.49,4,3.5,4.5,+16%,4.5,4.75,986618
17,3.68,3.5,3.75,3.5,-4.9%,3.75,3.75,125029
18,3.69,4,4,3.75,-4.7%,3.75,3.5,1181381
19,3.93,4,3.75,4,+1.6%,3.75,4,764775
20,3.86,3.5,4,3.75,-0.3%,4.25,3.75,1216091
21,3.94,4,4,4,+1.8%,3.75,4,1216378
22,3.57,3.5,3.25,3.5,-7.8%,4.25,3.25,1220801
23,4.69,4.5,4.75,4.75,+21.2%,5,4.5,380242
24,4,4,4,4,+3.4%,4,4,617268
25,4.04,4,4,4,+4.4%,3.75,4.25,1180876
26,3.13,3,2.75,3,-19.1%,2.75,3.5,613245
27,3.94,3.75,4,4,+1.8%,4.25,3.75,1219511
28,4.24,4.5,4,4.25,+9.6%,3.75,4.5,495187
29,3.8,3.5,4,3.75,-1.8%,4,3.75,1205153
30,3.79,4,4,3.75,-2.1%,3.75,3.75,1198152
31,3.92,4.25,3.25,4,+1.3%,3.75,4,372086
32,4,4,4,4,+3.4%,4,4,733619
33,4,4,4,4,+3.4%,4,4,657890
34,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,780981
35,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,527236
36,3.5,3.5,3.5,3.5,-9.6%,3.5,3.5,743023
37,3.81,4,4.25,3.75,-1.6%,3.75,3.75,819632
38,3.66,3.5,3.5,3.5,-5.4%,3.75,3.75,726784
39,3.82,4,4.5,3.75,-1.3%,3.75,3.75,799578
40,4.26,4,3.5,4.25,+10.1%,3.75,4.75,1172997
41,3.9,4,4,4,+0.8%,4,3.75,563156
42,3.91,4,4,3.75,+1%,4.25,3.75,1172273
43,4.5,4.5,3.75,4.5,+16.3%,4.25,4.75,1158718
44,3.74,3.75,3.5,3.75,-3.4%,3.75,3.75,673685
45,4.58,4.5,5,4.75,+18.3%,4.5,4.5,1205414
46,4.81,4.75,4.75,4.75,+24.3%,5,4.75,753142
47,3.73,4.25,3.5,3.75,-3.6%,3.5,3.75,980310
48,4.12,4,4,4,+6.5%,4.5,4,1204691
49,3.96,3.75,3.75,4,+2.3%,4,4,481626
50,4.33,4,5,4.25,+11.9%,4.5,4.25,1203511
51,3.59,3.75,3.75,3.75,-7.2%,3.5,3.5,1202198
52,3.85,4,4,3.75,-0.5%,4,3.75,397706
53,4.07,4.25,3.75,4,+5.2%,4.25,4,1202662
54,3.85,4,4,3.75,-0.5%,4,3.75,1123122
55,3.52,3.5,3.75,3.5,-9%,3.5,3.5,179930
56,3.86,4.5,4.25,3.75,-0.3%,3.75,3.75,1170634
57,4,4,4,4,+3.4%,4,4,1001673
58,4.44,4,4.5,4.75,+14.7%,4.25,4.5,1187170
59,3.73,3.5,3.75,3.75,-3.6%,3.75,3.75,1179583
60,4,4,4,4,+3.4%,4,4,1193317
61,3.69,3.5,3.75,3.75,-4.7%,4,3.5,1183241
62,3.56,3.5,3.5,3.5,-8%,3.75,3.5,1189140
63,3.85,3.75,3.75,3.75,-0.5%,3.75,4,672423
64,3.53,3.5,4,3.5,-8.8%,3.5,3.5,1194268
65,3.68,4,3.75,3.75,-4.9%,3.75,3.5,1111160
66,4.15,4,3.75,4,+7.2%,4.25,4.25,309315
67,4.54,4.5,4.25,4.75,+17.3%,4.5,4.5,1192848
68,4.35,4.5,4,4.5,+12.4%,4,4.5,1112171
69,3.46,4.25,3.5,3.5,-10.6%,3,3.5,1193288
70,4.16,4,4,4,+7.5%,4.25,4.25,5708
71,4.09,4,3.75,4,+5.7%,4,4.25,1058792
72,3.91,3.75,3.75,3.75,+1%,4,4,522764
73,3.5,3.5,3.75,3.5,-9.6%,3,3.75,553862
74,4.03,4,3.75,4,+4.1%,3.75,4.25,906571
75,4,4,4,4,+3.4%,4,4,663013
76,3.65,3.75,3.5,3.5,-5.7%,4,3.5,1178465
77,4.25,4.25,4.25,4.25,+9.8%,4.25,4.25,20976
78,3.97,4.25,4,4,+2.6%,3.75,4,720032
79,3.56,3.5,3.5,3.5,-8%,3.75,3.5,811627
80,4.15,4.25,4.25,4.25,+7.2%,4.25,4,759857
81,4.38,4.75,4,4.5,+13.2%,4,4.5,1123447
82,4,4,4,4,+3.4%,4,4,764450
83,3.75,3.75,3.75,3.75,-3.1%,3.75,3.75,157496
84,3.65,4,3,3.75,-5.7%,3,4,419024
85,4.01,4.5,4,4,+3.6%,4.25,3.75,1165884
86,3.79,3.75,5,3.75,-2.1%,4,3.5,996176
