,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.93,4,3.75,4,+7.1%,3.75,4,1236514
1,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,1236082
2,3.52,3.5,3.75,3.5,-4.1%,3.5,3.5,784089
3,3.78,3.75,4.25,3.75,+3%,3.75,3.75,950998
4,3.12,3,3.5,4.25,-15%,2.75,2.75,1186578
5,3,3,3,3,-18.3%,3,3,817513
6,3,3,3,3,-18.3%,3,3,1228039
7,4,4,4,4,+9%,4,4,708933
8,3.59,3.75,3.5,3.5,-2.2%,3.75,3.5,844802
9,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1082117
10,3.52,3.5,3.75,3.5,-4.1%,3.5,3.5,5490
11,3.65,3.5,3.5,3.75,-0.5%,3.5,3.75,955415
12,3.43,4,4,3.25,-6.5%,3.5,3.25,765524
13,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,227228
14,3.98,3.75,4,4,+8.4%,4,4,1216064
15,4,4,4,4,+9%,4,4,1056605
16,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1229478
17,3.65,3.5,3.5,3.75,-0.5%,3.5,3.75,1070836
18,4,4,4,4,+9%,4,4,1229361
19,3.67,3.5,3.75,3.75,0%,3.5,3.75,1152162
20,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1180402
21,3.77,3.5,3.5,3.75,+2.7%,4,3.75,1228070
22,3.64,3.5,4,3.75,-0.8%,3.75,3.5,1227999
23,3.41,3.25,4,3.5,-7.1%,3.5,3.25,1226791
24,3.6,3.5,3.5,3.5,-1.9%,3.5,3.75,572853
25,3.37,3,3.5,3.5,-8.2%,4,3,1227464
26,3.6,3.5,3.5,3.5,-1.9%,3.5,3.75,1217370
27,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,1216689
28,4.02,4,4.25,4,+9.5%,4,4,1224383
29,4.37,4.25,4.5,4.25,+19.1%,4.25,4.5,1220716
30,3.44,3.5,3.5,3.5,-6.3%,3.25,3.5,1224164
31,4.25,4.25,4.25,4.25,+15.8%,4.25,4.25,1225552
32,3.55,3.5,4.25,3.5,-3.3%,3.5,3.5,772855
33,4.55,4.75,5,4.75,+24%,4.25,4.5,1225104
34,4.37,4.5,4.25,4.5,+19.1%,4,4.5,1224407
35,3.92,3.75,4,4,+6.8%,3.75,4,688313
36,3.86,4,4,3.5,+5.2%,4.25,3.75,1224237
37,3.73,3.75,3.75,3.75,+1.6%,3.25,4,1220917
38,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1222909
39,4.25,4,4.25,4.25,+15.8%,3.5,4.75,1221398
40,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1219428
41,4.02,4,4.25,4,+9.5%,4,4,1170693
42,4,4,4,4,+9%,4,4,1172723
43,3.65,3.75,3.75,3.75,-0.5%,3.75,3.5,763332
44,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,268866
45,4.83,4.75,4.5,5,+31.6%,4.5,5,1221477
46,2.67,2.5,2.75,2.75,-27.2%,2.5,2.75,1182030
47,2.29,2.25,2.25,2.25,-37.6%,2,2.5,1220307
48,4.31,4,4,4.25,+17.4%,4.25,4.5,1221024
49,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,1206645
50,4.12,3.25,4.25,4,+12.3%,4.75,4,1217948
51,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1201502
52,3.05,3.5,4,3,-16.9%,2.75,3,1007133
53,3.73,3.5,3.75,3.75,+1.6%,3.75,3.75,923470
54,4.04,4,4,4,+10.1%,3.75,4.25,1203865
55,5,5,5,5,+36.2%,5,5,1219662
56,3.9,4,4,4,+6.3%,4,3.75,1219290
57,3.7,3.5,4,3.75,+0.8%,4,3.5,1219328
58,3.68,3.75,3.5,3.75,+0.3%,3.5,3.75,1191029
59,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,1219102
60,3.58,3.5,3.75,3.5,-2.5%,3.75,3.5,280282
61,3.91,3.75,3.75,3.75,+6.5%,4,4,1049207
62,3.88,3.75,4.25,3.75,+5.7%,3.75,4,1016745
63,3.62,3.5,3.75,3.5,-1.4%,3.5,3.75,1218872
64,3.74,3.5,4.5,3.5,+1.9%,4.25,3.5,1217774
65,2.84,2.5,2.75,2.5,-22.6%,3,3,1218650
66,3.52,2.5,3,3.25,-4.1%,3.5,4,1218301
67,3.73,4.25,3.5,3.75,+1.6%,3.5,3.75,1202797
68,3.17,3.25,4,3,-13.6%,3.75,2.75,938003
69,4,4,4,4,+9%,4,4,1186224
70,3.89,4,4,3.75,+6%,3.75,4,1217920
71,3.84,3.75,3.5,3.75,+4.6%,3.75,4,1217646
72,3.78,3.5,4,3.75,+3%,3.5,4,1198187
73,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,828964
74,3.35,3.75,4,3.25,-8.7%,3.25,3.25,1217088
75,3.58,3.5,3.75,3.5,-2.5%,3.75,3.5,1212398
76,3.88,4.25,4.25,4,+5.7%,3.75,3.75,1212777
77,3.84,4,3.75,3.75,+4.6%,4,3.75,858552
78,3,3,3,3,-18.3%,3,3,1195827
79,3.52,3.5,3.75,3.5,-4.1%,3.5,3.5,687335
80,4.18,4.25,4,4.25,+13.9%,4,4.25,615000
81,3.89,4.5,3.5,3.75,+6%,3.25,4.25,1215945
82,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1213538
83,3.41,3,3.75,3.5,-7.1%,3.25,3.5,1180876
84,4.19,4.25,5,4.5,+14.2%,4,4,1215899
85,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,17949
86,3.89,3.5,4,4,+6%,3.75,4,1212131
87,3.58,4.5,4.25,3.25,-2.5%,3,3.75,1215795
88,3.39,3.75,3.75,3.25,-7.6%,3.5,3.25,838179
89,4.18,4.5,4.5,4,+13.9%,4,4.25,1215735
90,4,4,4,4,+9%,4,4,1187524
91,3.73,3.5,4.5,3.75,+1.6%,4,3.5,1215555
92,3.77,3.5,3.75,3.75,+2.7%,3.5,4,1214505
93,3,3,3,3,-18.3%,3,3,753941
94,4.16,4,4.25,4,+13.4%,3.75,4.5,943550
95,2.93,3,3.5,3,-20.2%,3,2.75,802182
96,3.49,3.75,3.5,3.5,-4.9%,3.75,3.25,995404
97,3.74,3.5,4,3.75,+1.9%,3.75,3.75,1144120
98,3,3,3,3,-18.3%,3,3,146985
99,4,4,4,4,+9%,4,4,1151846
100,4.16,4.25,4,4.25,+13.4%,3.5,4.5,601271
101,3.12,2.75,2.75,3,-15%,3.25,3.25,1209863
102,3.65,3.5,3.25,3.5,-0.5%,3.75,3.75,1057045
103,2.62,2.5,3.5,2.5,-28.6%,2.75,2.5,1214124
