,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.94,4,4,4,+2.9%,3.75,4,1092559
1,4.03,4.25,4,4,+5.2%,4,4,1177580
2,3.52,3,3,3,-8.1%,3.5,4,1214096
3,3.94,4,4,4,+2.9%,3.75,4,673685
4,2.91,3,3.5,3,-24%,2.5,3,831910
5,3.75,3.75,3.75,3.75,-2.1%,3.75,3.75,1202198
6,3.85,3.75,3.75,3.75,+0.5%,3.75,4,819576
7,4.04,4,4,4,+5.5%,3.75,4.25,737297
8,3.61,3.75,3.25,3.5,-5.7%,3.5,3.75,419024
9,3.81,3.75,3.75,3.75,-0.5%,4,3.75,822032
10,4.2,4,4.5,4.25,+9.7%,4.5,4,719140
11,4.39,4.5,4.5,4.25,+14.6%,4.25,4.5,553862
12,3.87,4,3.75,4,+1%,3.5,4,657368
13,3.7,3.5,4.25,3.75,-3.4%,3.5,3.75,163304
14,4.08,3.75,4,4,+6.5%,4,4.25,374759
15,3.97,4,4.5,4,+3.7%,3.75,4,1085994
16,4.5,4.5,4.5,4.5,+17.5%,4.5,4.5,71856
17,4.13,4.25,4,4,+7.8%,4,4.25,700730
18,3.73,4,4,3.75,-2.6%,3.5,3.75,131231
19,3.91,3.75,3.75,3.75,+2.1%,4,4,25570
20,3.84,4,4,4,+0.3%,3.75,3.75,764775
21,4.2,4.5,4,4.25,+9.7%,4,4.25,843091
22,3.67,3.5,3.75,3.75,-4.2%,3.5,3.75,809740
23,3.9,3.75,3.75,4,+1.8%,3.75,4,688077
24,4,4,4,4,+4.4%,4,4,844802
25,3.69,3.75,3.75,3.75,-3.7%,3.5,3.75,709853
26,3.78,3.75,4.25,3.75,-1.3%,3.75,3.75,757498
27,3.89,4,4,3.75,+1.6%,3.75,4,700694
28,3.86,3.75,3.75,4,+0.8%,4,3.75,1147412
29,4.5,4.5,4.5,4.5,+17.5%,4.5,4.5,656306
30,3.93,4,3.75,4,+2.6%,3.75,4,751078
31,3.57,3.5,3.75,3.25,-6.8%,3.5,3.75,508539
32,3.81,4,4.25,3.75,-0.5%,3.75,3.75,401113
33,3.74,3.75,3.5,3.75,-2.3%,3.75,3.75,762463
34,2.22,2.25,2.5,2.5,-42%,1,2.75,887454
35,3.92,3.75,4,4,+2.3%,3.75,4,517274
36,3.25,3.25,3.25,3.25,-15.1%,3.25,3.25,691882
37,3.63,3.75,3.5,3.5,-5.2%,3.5,3.75,562734
38,3.95,4.25,4.25,3.75,+3.1%,4.25,3.75,660542
39,3.9,4,4,4,+1.8%,4,3.75,968595
40,3.94,4,4,4,+2.9%,3.75,4,596144
41,3.83,3.5,4,4,0%,3.5,4,949100
42,4.23,4,3.5,4.5,+10.4%,4.25,4.25,1026846
43,3.74,3.75,3.5,3.75,-2.3%,3.75,3.75,698218
44,3.91,3.75,3.75,3.75,+2.1%,4,4,320731
45,3.41,4,4.25,3.25,-11%,3.75,3,1075972
46,4.21,4,4,4.25,+9.9%,4.25,4.25,970902
47,4,4,4,4,+4.4%,4,4,705906
48,2.59,2.5,4,2.5,-32.4%,2.5,2.5,893347
49,2.42,2.5,4,2.25,-36.8%,2,2.5,604467
50,3.6,4,3.5,3.75,-6%,3.5,3.5,489215
51,3.62,3.5,4,3.75,-5.5%,3.25,3.75,877077
52,3.83,3.75,3.75,3.75,0%,3.25,4.25,690737
53,3.65,3.75,3.75,3.75,-4.7%,3.75,3.5,302
54,3.25,3.25,3.25,3.25,-15.1%,3.25,3.25,938727
55,3.64,3.25,3.5,3.5,-5%,3.75,3.75,446903
56,3.59,3.5,4,3.5,-6.3%,3.75,3.5,613851
57,3.85,4,4,3.75,+0.5%,4,3.75,662121
58,3.75,3.75,3.75,3.75,-2.1%,3.75,3.75,260506
59,3.31,3.5,3.5,3.25,-13.6%,3.75,3,13444
60,3.74,3.75,4.5,3.75,-2.3%,3.5,3.75,19578
