,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4,4,4,4,+13%,4,4,1168222
1,3.81,3.75,3.75,3.75,+7.6%,4,3.75,1043550
2,3.76,3.5,4.25,3.75,+6.2%,3.75,3.75,782297
3,3.71,3.75,4,3.75,+4.8%,3.5,3.75,1218965
4,3.75,3,4,3.25,+5.9%,4,4,1233910
5,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1233659
6,3.08,3,3.5,3.25,-13%,3,3,1192611
7,4.46,4.5,4.75,4.5,+26%,4.25,4.5,1232714
8,3.53,3.5,4,3.5,-0.3%,3.5,3.5,716317
9,2,2,2,2,-43.5%,2,2,1208878
10,4.31,4,4,4.25,+21.8%,4.25,4.5,1231031
11,4.42,4,4,4.5,+24.9%,4.5,4.5,828019
12,3.21,4,3.75,3,-9.3%,3.25,3,1230894
13,3.67,3.25,4,3.5,+3.7%,3.75,3.75,1212339
14,4.5,4.5,4.5,4.5,+27.1%,4.5,4.5,1199747
15,2.98,3.25,3,2.75,-15.8%,3,3,1082117
16,3,3,3,3,-15.3%,3,3,1198047
17,3.64,3.5,4,3.75,+2.8%,3.75,3.5,1227699
18,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1228279
19,3.15,3.75,3.75,3.25,-11%,2.5,3.25,519375
20,3.18,3,3.25,3,-10.2%,3.25,3.25,1050630
21,3.64,3.5,3.5,3.5,+2.8%,3.25,4,1185133
22,5,5,5,5,+41.2%,5,5,1224585
23,3.25,3.25,3.25,3.25,-8.2%,3.25,3.25,1061637
24,3.9,3.75,3.5,3.75,+10.2%,4,4,1223712
25,3,3,3,3,-15.3%,3,3,1222398
26,4.84,4.5,5,4.75,+36.7%,4.75,5,1222301
27,5,5,5,5,+41.2%,5,5,1222377
28,3,3,3,3,-15.3%,3,3,1209601
29,3.6,3.5,3.5,3.5,+1.7%,3.5,3.75,1207392
30,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1219102
31,3.52,3.5,3.75,3.5,-0.6%,3.5,3.5,441101
32,3.66,3.5,3.5,3.5,+3.4%,3.75,3.75,962334
33,4.17,4,4.75,4,+17.8%,4.5,4,1217774
34,3.47,3.5,4,3.5,-2%,3.25,3.5,1028282
35,3.95,4.25,3.75,4,+11.6%,3.75,4,1207895
36,4,4,4,4,+13%,4,4,838259
37,4.25,4.25,4.25,4.25,+20.1%,4.25,4.25,906969
38,3.34,3.5,3.5,3.5,-5.6%,3.25,3.25,947934
39,3.63,3.5,4,3.5,+2.5%,3.5,3.75,921248
40,3.78,4,4,4,+6.8%,3.5,3.75,1197183
41,3.75,3.75,3.75,3.75,+5.9%,3.75,3.75,1165236
42,3.96,4,4.25,4,+11.9%,3.75,4,1215079
43,3.77,3.75,4,3.75,+6.5%,3.75,3.75,1188523
44,3.53,3.75,3.5,3.5,-0.3%,3.5,3.5,1213350
45,2.76,2.5,3,2.75,-22%,3.25,2.5,8105
46,3.96,4,4.25,4,+11.9%,3.75,4,4293
47,3.42,4,3.75,3.75,-3.4%,3.5,3,1212777
48,3.2,4,3,3.5,-9.6%,3,3,1212255
49,3.65,3.5,4.25,3.5,+3.1%,3.5,3.75,1192036
50,4.14,4.25,3.5,4,+16.9%,3.75,4.5,1154317
51,3.74,3.75,3.5,3.75,+5.6%,3.75,3.75,572952
52,4.09,4,4.5,4,+15.5%,4.25,4,204323
53,3,3,3,3,-15.3%,3,3,991004
54,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,728473
55,3.79,4,4,3.75,+7.1%,3.75,3.75,827418
56,3.82,4.25,3.5,4,+7.9%,3.25,4,1208293
57,3.84,4,4.75,3.75,+8.5%,3.75,3.75,778786
58,3.79,4,4,3.75,+7.1%,3.75,3.75,213734
59,3.71,3.75,4,3.75,+4.8%,3.5,3.75,793168
60,4.82,5,4.5,4.75,+36.2%,5,4.75,1205215
61,4.24,4.25,4,4.25,+19.8%,4.25,4.25,1202198
62,3.59,3.75,3.75,3.75,+1.4%,3.5,3.5,775724
63,2.86,2.75,3.5,2.75,-19.2%,3,2.75,614224
64,3.59,3.5,4.5,3.75,+1.4%,3,3.75,1136861
65,3.74,4,3.75,3.75,+5.6%,4,3.5,1183557
66,4.02,4,3.5,4.25,+13.6%,4,4,1182657
67,3.48,3.75,3.75,3.5,-1.7%,3.25,3.5,1069919
68,3.9,4.25,4.5,4,+10.2%,3.75,3.75,1174435
69,3.61,4,3.75,3.5,+2%,3.25,3.75,4440
70,3.75,4,3.5,3.5,+5.9%,3.5,4,790285
71,3.52,3.5,3.75,3.5,-0.6%,3.5,3.5,1197536
72,4,4,4,4,+13%,4,4,512580
73,3.68,4,3.75,3.75,+4%,3.75,3.5,158894
74,3.52,3.5,3.75,3.5,-0.6%,3.5,3.5,770375
75,3.49,3.25,3.75,3.5,-1.4%,3.5,3.5,668298
76,3.78,4.5,4,3.75,+6.8%,3.5,3.75,757447
77,4.27,4.5,4,4.5,+20.6%,4.5,4,1198137
78,3.75,3.75,3.75,3.75,+5.9%,3.75,3.75,1200571
79,3.8,3.75,3.75,4,+7.3%,3.75,3.75,1012065
80,3.69,3.5,3.75,3.75,+4.2%,4,3.5,1189672
81,3.27,3.25,3.5,3.25,-7.6%,3.25,3.25,1194516
82,3.63,3.5,4,3.5,+2.5%,3.5,3.75,1199646
83,3.64,3.5,4,3.75,+2.8%,3.75,3.5,1171133
84,3.62,3.5,3.75,3.5,+2.3%,3.5,3.75,1088275
85,3,3,3,3,-15.3%,3,3,952043
86,3.39,3.25,3.5,3.25,-4.2%,3.75,3.25,749253
87,3.14,3.25,4,3.25,-11.3%,3,3,1193069
88,3.35,3,4,3.25,-5.4%,4,3,1197890
89,3.06,3.25,2.75,3.25,-13.6%,3,3,1176957
90,3.62,4,3.75,3.75,+2.3%,3.5,3.5,1057045
91,3.73,3.75,4,3.75,+5.4%,4,3.5,758709
92,3.19,3.25,3,3,-9.9%,3.25,3.25,1004166
93,3.75,3.75,3.75,3.75,+5.9%,3.75,3.75,662397
94,3.48,3.25,3.5,3.5,-1.7%,3.5,3.5,726249
95,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,733520
96,3.73,3.5,3.75,3.75,+5.4%,3.75,3.75,144305
97,3.45,3.75,4.25,3.5,-2.5%,3,3.5,949100
98,3.39,3.5,3.25,3.5,-4.2%,3.5,3.25,1187524
99,4,4,4,4,+13%,4,4,1194716
100,3.26,3,3.75,3.25,-7.9%,3.25,3.25,1193961
101,4.29,4.5,4.5,4.25,+21.2%,4.25,4.25,1186522
102,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,386360
103,3.22,3.25,3.75,3.25,-9%,3,3.25,165821
104,3.71,3.75,3.75,3.75,+4.8%,4,3.5,1191860
105,4.61,4.5,4.5,4.75,+30.2%,4.75,4.5,1190894
106,2.8,2.75,2.5,2.75,-20.9%,3,2.75,579458
107,3.79,4,4,3.75,+7.1%,3.75,3.75,722139
108,2.55,4,4,3.75,-28%,1.5,2,903997
109,4.19,4.75,5,4.25,+18.4%,4,4,1185902
110,3.84,3.75,3.5,3.75,+8.5%,3.75,4,1185236
111,3.85,3.75,4.5,4,+8.8%,3.75,3.75,1179826
112,3.3,3,3.5,3.25,-6.8%,3.5,3.25,1184260
113,3.58,3.5,3.75,3.5,+1.1%,3.75,3.5,1181755
114,4,4,4,4,+13%,4,4,762070
115,3.68,4,3.75,3.75,+4%,3.75,3.5,1109289
116,2.75,2.75,2.75,2.75,-22.3%,2.75,2.75,1147387
117,3,3.75,2.75,3,-15.3%,2.75,3,988388
118,3.24,3,3.75,3.25,-8.5%,2.75,3.5,1025820
119,3.36,3.5,3.75,3.5,-5.1%,3.25,3.25,1043324
120,3.42,3.25,3.5,3.5,-3.4%,3.25,3.5,1021636
121,3.71,3.75,4,3.75,+4.8%,3.5,3.75,554008
122,3.69,3.75,3.75,3.75,+4.2%,3.5,3.75,779531
123,4.06,4,4,4,+14.7%,4.25,4,1164165
124,2,2,2,2,-43.5%,2,2,602673
125,4.04,3.75,4,4,+14.1%,4.25,4,1177205
126,4.06,4,4,4,+14.7%,4.25,4,1060073
127,3.71,3.75,3.75,3.75,+4.8%,4,3.5,950649
128,3.21,3.75,3.5,3.5,-9.3%,3,3,1133749
129,3.48,3.25,3.5,3.5,-1.7%,3.5,3.5,392397
130,4.26,5,5,4.5,+20.3%,4,4,1165583
131,4.47,4.25,3.75,4.5,+26.3%,4.25,4.75,1156685
132,3.59,3.5,3.25,3.5,+1.4%,3.5,3.75,928999
133,3.53,3.75,3.75,3.75,-0.3%,3.25,3.5,1116849
134,3.98,4,4,4,+12.4%,3.5,4.25,771355
135,3.79,4,4.5,4,+7.1%,3,4,1151994
136,4.7,4.75,4.75,4.5,+32.8%,4.75,4.75,944784
137,4.4,4.5,4.5,4.5,+24.3%,4.5,4.25,1173104
138,3.73,4,4,3.75,+5.4%,3.5,3.75,1009901
139,3.83,3.75,4,3.75,+8.2%,4,3.75,968112
140,3.25,3.25,3.25,3.25,-8.2%,3.25,3.25,536693
141,4.34,4.25,4,4.25,+22.6%,4.25,4.5,1172334
142,4.56,4,5,4.5,+28.8%,4,5,1172298
143,3.53,2.75,3.25,3.5,-0.3%,4,3.5,1136546
144,3.75,3.75,3.75,3.75,+5.9%,3.75,3.75,850530
145,3.51,3.75,3.25,3.5,-0.8%,3.5,3.5,856916
146,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,168208
147,3.63,3.5,3.75,3.75,+2.5%,3.75,3.5,1157553
148,3.55,3.5,4.25,3.5,+0.3%,3.5,3.5,976933
149,3.35,3.75,4,3.25,-5.4%,3.25,3.25,776811
150,3.87,4.25,4,4,+9.3%,3.75,3.75,1102971
151,3.5,3.5,4,3.75,-1.1%,4,3,1164205
152,3.38,3.5,3.5,3.5,-4.5%,3,3.5,1158079
153,3.69,3.75,3.75,3.75,+4.2%,3.5,3.75,417825
154,3.76,3.5,4.25,3.75,+6.2%,3.75,3.75,881522
155,3.43,3.5,4,3.5,-3.1%,3.5,3.25,689763
156,3.13,3.25,3.25,3.25,-11.6%,2.75,3.25,798319
157,3.63,3.75,3.5,3.5,+2.5%,3.5,3.75,1087572
158,2.89,3,4.5,3,-18.4%,3,2.5,440420
159,3.61,3.5,3.25,3.5,+2%,4,3.5,1107762
160,4.94,5,5,5,+39.5%,4.75,5,1163523
161,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1153294
162,3.83,3.5,4,4,+8.2%,3.5,4,1052636
163,3.28,3.75,3.5,3.25,-7.3%,3.5,3,742108
164,3.29,3.5,3.5,3.25,-7.1%,3.25,3.25,706227
165,3.59,3.5,4,3.5,+1.4%,3.75,3.5,1155965
166,3.55,3.5,3.5,3.75,+0.3%,3.5,3.5,802435
167,3.66,4,2.75,3.75,+3.4%,3.5,3.75,1153717
168,2.49,2.5,2.25,2.5,-29.7%,2.5,2.5,1149762
169,3.93,4,3.75,4,+11%,3.75,4,1096104
170,3.56,2.75,3.5,3.75,+0.6%,3,4,1133921
171,3.75,3.75,3.75,3.75,+5.9%,3.75,3.75,597640
172,3.46,3.5,3.75,3.5,-2.3%,3.25,3.5,481246
173,4.52,4,4,4.5,+27.7%,4.5,4.75,1150064
174,3.27,3.5,3.5,3.25,-7.6%,2.75,3.5,717142
175,3.52,3.5,3.75,3.5,-0.6%,3.5,3.5,743384
176,3.53,3.5,3.25,3.5,-0.3%,3.25,3.75,1015020
177,3.6,3.5,3.5,3.5,+1.7%,3.5,3.75,1125993
178,3.81,3.75,3,3.75,+7.6%,3.75,4,1079612
179,4.29,4.25,4.25,4.25,+21.2%,4,4.5,1040691
180,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,404775
181,3.8,3.75,3.75,4,+7.3%,3.75,3.75,877474
182,3.53,3.75,3.5,3.5,-0.3%,3.5,3.5,1141192
183,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1108675
184,3.68,3.25,3.5,4,+4%,3.5,3.75,870321
185,3.81,4,4.25,3.75,+7.6%,3.75,3.75,1000026
186,3.6,2.75,1.75,4.5,+1.7%,3,4,1092719
187,4.13,4.25,4,4,+16.7%,4,4.25,948605
188,3.56,3.5,3.5,3.5,+0.6%,3.75,3.5,1064700
189,3.42,3.25,3.5,3.5,-3.4%,3.25,3.5,762463
190,3.49,4,3.5,3.5,-1.4%,3.25,3.5,471054
191,3.63,3.5,3.75,3.75,+2.5%,3.75,3.5,93706
192,4,4,4,4,+13%,4,4,1135312
193,3.97,3.75,5,4.25,+12.1%,3.5,4,955857
194,4.62,4.5,4.75,4.5,+30.5%,4.5,4.75,707197
195,3.56,3.5,3.75,3.5,+0.6%,3.25,3.75,302
196,3.83,3.75,4,3.75,+8.2%,4,3.75,982660
197,4.58,5,5,4.5,+29.4%,4.5,4.5,1131875
198,3.6,4,3.5,3.75,+1.7%,3.5,3.5,305814
199,4.51,4.5,4,4.5,+27.4%,4.25,4.75,947157
200,2.8,3,3,3,-20.9%,3,2.5,1129650
201,3.18,3.25,4.5,3,-10.2%,3.25,3,406749
202,3.3,3.5,2.75,3.5,-6.8%,3.25,3.25,1129549
203,3.5,3.5,3.5,3.5,-1.1%,3.5,3.5,1037584
204,3.63,4.75,4.5,3.5,+2.5%,3.25,3.5,741623
205,3.25,3.25,3.25,3.25,-8.2%,3.25,3.25,495359
206,3.8,3.75,3.5,3.75,+7.3%,4,3.75,298592
207,3.53,3.5,4.5,3.75,-0.3%,4,3,705425
208,3,3,3,3,-15.3%,3,3,1056979
209,3.68,3.75,3.5,3.75,+4%,3.5,3.75,1032603
210,3.29,3.5,3.5,3.25,-7.1%,3.25,3.25,1025089
