,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.58,3.5,3.75,3.5,-2.5%,3.75,3.5,1227694
1,4.24,4.25,4,4.25,+15.5%,4.25,4.25,1235265
2,3.84,3.75,3.5,3.75,+4.6%,3.75,4,1148707
3,2.5,2.5,2.5,2.5,-31.9%,2.5,2.5,1222909
4,3.31,3.5,3.75,3.25,-9.8%,3.25,3.25,1210406
5,4.04,4,4,4,+10.1%,3.75,4.25,1207392
6,3.64,3.75,3.75,3.5,-0.8%,3.5,3.75,1202198
7,3.71,3.5,3.5,3.75,+1.1%,3.75,3.75,652469
8,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,774288
9,3.79,4,4,3.75,+3.3%,3.75,3.75,1013583
10,4.1,3.75,3.5,4.25,+11.7%,4,4.25,1192832
11,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,974455
12,3,3,3,3,-18.3%,3,3,1157630
13,3.62,3,4,4,-1.4%,3.25,3.75,1182066
14,3.46,3.5,3.75,3.5,-5.7%,3.25,3.5,1182923
15,3.67,3.75,4,3.75,0%,3.75,3.5,379327
16,3.42,3.25,3.5,3.5,-6.8%,3.25,3.5,808582
17,3.27,3.25,3.5,3.25,-10.9%,3.25,3.25,801049
18,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,692655
19,3.66,3.75,3.75,3.5,-0.3%,4,3.5,947934
20,4.08,4,4.25,4,+11.2%,4.25,4,839568
21,4,4,4,4,+9%,4,4,489997
22,3.87,3.5,4.25,4,+5.4%,4,3.75,1175436
23,3.93,3.75,4,3.75,+7.1%,4,4,75749
24,3.66,3.75,4,3.5,-0.3%,3.5,3.75,732424
25,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,961247
26,3.6,3.5,3.5,3.5,-1.9%,3.5,3.75,1173376
27,4.35,4.25,4.25,4.25,+18.5%,4.25,4.5,1172161
28,4.21,4,4,4.25,+14.7%,4.25,4.25,1157298
29,3.43,3.5,3.5,3.25,-6.5%,3,3.75,870321
30,4.1,4,4,4,+11.7%,4,4.25,1028282
31,3.96,3.5,3,3.75,+7.9%,4.5,4,1168425
32,3.77,3.5,3.75,3.75,+2.7%,3.5,4,478737
33,3.28,3.25,3.75,3.25,-10.6%,3.25,3.25,1168411
34,3.68,3.5,3.75,3.5,+0.3%,3.75,3.75,819017
35,3.44,3.5,3.5,3.5,-6.3%,3.25,3.5,824019
36,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,748961
37,3.78,4,3.75,3.75,+3%,3.75,3.75,542573
38,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,637484
39,4.1,4.25,3.75,4.25,+11.7%,3.75,4.25,550418
40,2.97,3.5,3.25,3,-19.1%,3,2.75,776811
41,2.09,2.25,3,2,-43.1%,2,2,1165171
42,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,777927
43,3.54,3.5,3.5,3.5,-3.5%,3.25,3.75,1072074
44,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,495359
45,4.48,4,4.5,4.75,+22.1%,4,4.75,1160553
46,3.96,3.75,4.75,4,+7.9%,3.75,4,780308
47,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,764874
48,3.59,3.75,3.75,3.75,-2.2%,3.5,3.5,1144714
49,4.1,4,4,4,+11.7%,4,4.25,1150487
50,3.48,3,4.5,3.75,-5.2%,4,3,355045
51,3.89,3.75,4.25,4,+6%,4,3.75,860225
52,4.21,4.25,4.5,4.25,+14.7%,4,4.25,778273
53,3.14,3.75,3.25,3.25,-14.4%,3,3,870417
54,3.63,3.5,3.75,3.75,-1.1%,3.75,3.5,854929
55,4.6,4.5,4.5,4.5,+25.3%,4.5,4.75,686246
56,3.77,3.75,4,3.75,+2.7%,3.75,3.75,567313
57,4.69,4.75,4.75,4.75,+27.8%,4.5,4.75,930191
58,3.9,3.75,3.75,4,+6.3%,3.75,4,505619
59,3.98,3.75,4,4,+8.4%,4,4,810901
60,3.85,3.75,3.75,3.75,+4.9%,3.75,4,638668
61,4.45,4.25,4.25,4.25,+21.3%,4.25,4.75,920996
62,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,1108675
63,4.92,4.75,4,5,+34.1%,5,5,273302
64,3.69,3.75,3.75,3.75,+0.5%,3.5,3.75,945867
65,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,798054
66,4,4,4,4,+9%,4,4,179422
67,3.85,3.25,3.5,3.75,+4.9%,4,4,981264
68,3.39,3.75,3.25,3.5,-7.6%,3,3.5,1097111
69,4.09,4.25,4,4,+11.4%,4.25,4,727667
70,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,858038
71,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,390058
72,3.9,4,3.5,3.75,+6.3%,3.5,4.25,971212
73,3.17,3.25,3.5,3.25,-13.6%,3.25,3,1005634
74,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,762463
75,4.13,4.25,4,4,+12.5%,4,4.25,9691
76,4.01,4.5,4,4,+9.3%,3,4.5,1125657
77,3.97,4,3.75,4,+8.2%,3.5,4.25,965881
78,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,157496
79,4.74,4.5,5,4.75,+29.2%,4.75,4.75,834244
80,4.02,4,4.25,4,+9.5%,4,4,381612
81,3.88,3.75,4,4,+5.7%,4,3.75,289047
82,3.63,3.75,3.5,3.5,-1.1%,3.5,3.75,497589
83,3.47,3,3.75,3.5,-5.4%,3.5,3.5,679476
84,3.85,3.75,3.75,3.75,+4.9%,3.75,4,419802
85,4.11,4.5,4,4,+12%,4.25,4,868336
86,3.85,3.75,3.75,3.75,+4.9%,3.75,4,728511
87,3.92,3.75,4,4,+6.8%,3.75,4,654191
88,4.12,4.25,3.75,4.25,+12.3%,4.25,4,1102695
89,4.1,4,4,4,+11.7%,4,4.25,653268
90,3.75,4,4,3.75,+2.2%,4,3.5,719140
91,3.53,3.5,3,3.5,-3.8%,3.75,3.5,1112957
92,4.03,4.25,4,4,+9.8%,4,4,1095061
93,3.7,3.75,3.5,3.75,+0.8%,4,3.5,824781
94,3.84,3.75,3.5,3.75,+4.6%,3.75,4,767353
95,3.85,3.75,3.75,3.75,+4.9%,3.75,4,977979
96,3.92,3.75,4,4,+6.8%,3.75,4,766653
97,3.66,3.5,3.5,3.5,-0.3%,3.75,3.75,1102513
98,4,4,4,4,+9%,4,4,952885
99,3.6,3.75,3.75,3.5,-1.9%,3.75,3.5,924561
100,4.04,4,4,4,+10.1%,3.75,4.25,903241
101,3.59,3.25,4,3.5,-2.2%,4.25,3.25,1107732
102,3.42,3.25,3.25,3.5,-6.8%,3.75,3.25,1073239
103,5,5,5,5,+36.2%,5,5,1076759
104,3.89,4.25,3,4,+6%,3.25,4.25,1105145
105,4.05,3.75,3.5,4,+10.4%,4,4.25,813181
106,4.58,4.75,4.5,4.25,+24.8%,4.5,4.75,700307
107,4,4,4,4,+9%,4,4,817279
108,3.81,3.75,3.75,3.75,+3.8%,4,3.75,888111
109,3.39,3.5,3.25,3.5,-7.6%,3.5,3.25,930972
110,3.73,3.5,4,4,+1.6%,3.5,3.75,1071668
111,3.17,3.25,3,3,-13.6%,2.75,3.5,909540
112,3.52,3.5,3.75,3.5,-4.1%,3.5,3.5,950688
113,4.27,4.25,4.5,4.25,+16.3%,4.25,4.25,786083
114,4,4,4,4,+9%,4,4,847097
115,3.26,3.5,3,3.25,-11.2%,3.25,3.25,1086099
116,3.94,4,4,4,+7.4%,3.75,4,697014
117,3.88,3.25,3,3.75,+5.7%,4.25,4,845261
118,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,799894
119,4.03,4,3.5,4,+9.8%,4.25,4,761612
120,4,4,4,4,+9%,4,4,769129
121,3.67,3.5,3.75,3.75,0%,3.5,3.75,163304
122,3.48,4,4,3.5,-5.2%,3.5,3.25,349757
123,4.15,4,4,4.25,+13.1%,4,4.25,1049615
124,3.64,3.25,3.75,3.75,-0.8%,3.5,3.75,763327
125,3.84,4,3.75,3.75,+4.6%,4,3.75,1088878
126,3.58,3.25,3.5,3.5,-2.5%,3.5,3.75,729738
127,4.02,4,4.25,4,+9.5%,4,4,842796
128,3.75,3.5,4,3.5,+2.2%,4,3.75,939371
129,3.52,3.75,4,3.5,-4.1%,3.75,3.25,740523
130,3.52,3.5,3.75,3.5,-4.1%,3.5,3.5,103296
131,4.16,4.25,3.75,4.25,+13.4%,4,4.25,764082
132,2.5,2.5,2.5,2.5,-31.9%,2.5,2.5,1032957
133,3.68,3.75,3.5,3.75,+0.3%,3.5,3.75,999030
134,3.63,3.25,3.5,3.75,-1.1%,3.5,3.75,987415
135,4.05,3.25,4,4,+10.4%,4.5,4,676184
136,3.78,4,4,4,+3%,3.5,3.75,382380
137,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,962228
138,3.58,3.5,3.75,3.5,-2.5%,3.75,3.5,962669
139,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,1073862
140,4,4,4,4,+9%,4,4,543241
141,4.03,4,4.5,4,+9.8%,4,4,1043876
142,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,276274
143,3.84,3.75,3.5,3.75,+4.6%,3.75,4,1066185
144,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,1037584
145,4.01,4.25,4,4,+9.3%,3.5,4.25,866974
146,3.93,4,3.75,4,+7.1%,3.75,4,687743
147,4.28,4.25,4,4.25,+16.6%,4,4.5,801446
148,3.83,3.5,3.75,3.75,+4.4%,3.75,4,861986
149,4.64,5,3.75,4.75,+26.4%,4,5,1065845
150,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,968112
151,3.66,3.75,3.75,3.5,-0.3%,4,3.5,778786
152,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,681299
153,3.64,3.75,3.5,3.75,-0.8%,3.75,3.5,836072
154,3.71,3.5,3.5,3.75,+1.1%,3.75,3.75,993759
155,4.04,4,4,4,+10.1%,3.75,4.25,882554
156,4.09,4.25,4,4,+11.4%,4.25,4,848244
157,4.13,4.25,4,4,+12.5%,4,4.25,965760
158,3.56,3.75,3.75,3.5,-3%,4,3.25,705741
159,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,532491
160,2.94,2.75,3,3,-19.9%,2,3.5,795290
161,3.88,4,4,4,+5.7%,3.5,4,456300
162,4.09,4,3.75,4,+11.4%,4,4.25,1040626
163,3.71,3.75,4,3.75,+1.1%,3.5,3.75,522091
164,3.74,3.5,3.25,3.75,+1.9%,3.5,4,1054131
165,4,4,4,4,+9%,4,4,831854
166,4.49,4,3.5,4.5,+22.3%,4.5,4.75,1040708
167,4.05,4,4.5,4,+10.4%,4.5,3.75,953012
168,3.85,3.75,3.75,3.75,+4.9%,3.75,4,413924
169,3.42,3.25,4,3.25,-6.8%,3.75,3.25,108332
170,3.69,3.5,2.5,3.75,+0.5%,3.5,4,972878
171,3.96,3.75,3.75,4,+7.9%,4,4,715055
172,3.65,3.25,4,3.5,-0.5%,3.25,4,1050986
173,2,2,2,2,-45.5%,2,2,716308
174,3.48,3.5,3.75,3.5,-5.2%,3.75,3.25,668510
175,3.77,3.5,3.5,3.75,+2.7%,4,3.75,1035378
176,3.18,4,3.75,3.25,-13.4%,3.75,2.5,750657
177,3.33,4,4,3.25,-9.3%,3.5,3,730846
178,3.88,4,3.75,3.75,+5.7%,3.75,4,926262
179,4.24,4.25,4,4.25,+15.5%,4.25,4.25,253715
180,3.97,4,3.5,4,+8.2%,4,4,990439
181,3.66,3.75,3.25,3.75,-0.3%,3.5,3.75,1037610
182,3.85,4,4,3.75,+4.9%,4,3.75,691982
183,3.43,3.5,3.25,3.5,-6.5%,3.25,3.5,856916
184,3.34,3.5,3.25,3.25,-9%,3.5,3.25,785747
185,4.25,4.25,4.25,4.25,+15.8%,4.25,4.25,807337
186,3.85,3.75,3.75,3.75,+4.9%,3.75,4,796224
187,2.89,3,3,2.75,-21.3%,2.75,3,792312
188,4.28,4.5,4.25,4.25,+16.6%,4.25,4.25,948483
189,3.79,4,4,3.75,+3.3%,3.75,3.75,1010399
190,3.85,3.75,3.75,3.75,+4.9%,3.75,4,983881
191,3.84,3.75,4.25,3.75,+4.6%,4,3.75,681732
192,3.23,3.25,3.5,3.25,-12%,3.5,3,1010699
193,3.75,3.75,3.75,3.75,+2.2%,3.75,3.75,456904
194,3.57,3.5,3.75,3.75,-2.7%,3.5,3.5,657696
195,3.64,3.75,3.75,4,-0.8%,3.5,3.5,739461
196,3.69,3.75,3.75,3.75,+0.5%,3.5,3.75,725840
197,3.81,3.75,3.75,3.75,+3.8%,4,3.75,702003
198,4.11,3.5,3.5,4.25,+12%,3.75,4.5,922631
199,3.74,4.25,3.75,3.75,+1.9%,3.5,3.75,898176
200,4.39,4.5,4.25,4.5,+19.6%,4.5,4.25,962334
201,3.84,4,3.75,3.75,+4.6%,4,3.75,705906
202,3.84,3.75,3.5,3.75,+4.6%,3.75,4,934461
203,3.38,3.25,4,3.25,-7.9%,4,3,464989
204,3.85,3.75,3.75,3.75,+4.9%,3.75,4,761842
205,4,4,4,4,+9%,4,4,758496
206,4.11,4.25,3.75,4,+12%,4,4.25,360535
207,3.93,4.25,3.75,4,+7.1%,3.25,4.25,826209
208,4.04,4,4,4,+10.1%,3.75,4.25,799578
209,3.56,3.75,4,3.5,-3%,3.5,3.5,983707
210,4.29,4,4.25,4.25,+16.9%,4.5,4.25,825469
211,4,4,4,4,+9%,4,4,587586
212,3.86,4,4.25,4,+5.2%,3.75,3.75,845049
213,3.48,3.5,4,3.75,-5.2%,3.5,3.25,681003
214,4.54,4.25,4.75,4.25,+23.7%,4.5,4.75,921996
215,4,4,4,4,+9%,4,4,854467
216,3.89,3.5,3.75,3.75,+6%,4,4,8989
217,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,788738
218,4.16,4,4,4,+13.4%,4.25,4.25,4099
219,3.57,3.5,3.75,3.75,-2.7%,3.5,3.5,811450
220,4.6,4.5,4.75,4.5,+25.3%,4,5,1017776
221,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,867455
222,3.77,3.75,3.75,3.75,+2.7%,4.25,3.5,851407
223,3.97,4.25,4,4,+8.2%,3.75,4,911705
224,3.67,3.75,4,3.75,0%,3.75,3.5,1024634
225,4,4,4,4,+9%,4,4,919877
226,3.25,3.25,3.25,3.25,-11.4%,3.25,3.25,880478
227,3.9,4,4,4,+6.3%,4,3.75,685248
228,3.88,4,3.75,3.75,+5.7%,3.75,4,455136
229,4.19,4.25,4,4,+14.2%,4.25,4.25,800134
230,4,4,4,4,+9%,4,4,822814
231,4.57,4.75,4.5,4.5,+24.5%,4.25,4.75,239266
232,3.59,3,4.25,3.75,-2.2%,3.25,3.75,747617
233,3.56,3.5,3.5,3.5,-3%,3.75,3.5,764123
234,4.4,4.5,5,4.25,+19.9%,5,4,1018424
235,3.71,3.5,3.5,3.75,+1.1%,3.75,3.75,591569
236,3.58,3.5,4,3.75,-2.5%,3.5,3.5,548037
237,4,4,4,4,+9%,4,4,284405
238,4.21,4.25,4.5,4.25,+14.7%,4,4.25,1015684
239,3.54,3.5,3.5,3.5,-3.5%,3.25,3.75,719747
240,3.41,3,3.75,3.5,-7.1%,3.25,3.5,995429
241,3.5,3.5,3.5,3.5,-4.6%,3.5,3.5,800865
242,3.78,3.25,4,3.75,+3%,4,3.75,948639
243,3.71,3.75,4,3.75,+1.1%,3.5,3.75,56472
244,3.57,4,4.25,3.25,-2.7%,4,3.25,685064
