,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.19,4.25,4.25,4.25,+1.7%,4,4.25,1136299
1,4.29,4.5,4.5,4.25,+4.1%,4.25,4.25,697017
2,4.15,4,4,4.25,+0.7%,4,4.25,109040
3,4.16,4,4,4,+1%,4.25,4.25,991681
4,4.18,4.25,4,4.25,+1.5%,4,4.25,26849
5,3.97,3.5,4.25,4,-3.6%,4,4,489997
6,4,4,4,4,-2.9%,4,4,673581
7,4.21,4.25,4.5,4.25,+2.2%,4,4.25,1220307
8,3.53,3.5,4,3.5,-14.3%,3.5,3.5,733753
9,4.5,4.5,4.5,4.5,+9.2%,4.5,4.5,1010783
10,4.21,4,4,4.25,+2.2%,4.25,4.25,1189171
11,4.48,4.25,4.5,4.5,+8.7%,4.5,4.5,1204234
12,3.85,4,4,3.75,-6.6%,4,3.75,886205
13,1.95,1.75,4,1.75,-52.7%,3.25,1,1205184
14,4,4,4,4,-2.9%,4,4,1202198
15,4.34,4.75,4,4.5,+5.3%,4.25,4.25,1199012
16,4.45,4.75,4.5,4.5,+8%,3.75,4.75,553862
17,3.95,3.75,3.5,4,-4.1%,4,4,1202026
18,4,4,4,4,-2.9%,4,4,1173883
19,3.94,3,4.75,3.75,-4.4%,5,3.5,1198703
20,4,4,4,4,-2.9%,4,4,720717
21,4.02,3.75,4,4,-2.4%,3.75,4.25,757498
22,4.29,4.25,4.25,4.25,+4.1%,4,4.5,941808
23,3.25,3.25,3.25,3.25,-21.1%,3.25,3.25,660622
24,4.28,4.25,4.75,4.25,+3.9%,4.25,4.25,614224
25,4.25,4.25,4.25,4.25,+3.2%,4.25,4.25,1024117
26,4.42,4.25,4.5,4.5,+7.3%,4.25,4.5,1009244
27,4.29,4.25,4,4.5,+4.1%,4.25,4.25,1180148
28,3.83,3.75,4,3.75,-7%,4,3.75,1192069
29,4.43,4.5,4.25,4.5,+7.5%,4.25,4.5,66545
30,3.85,3.5,3.75,3.75,-6.6%,4.25,3.75,685942
31,4.23,4,4.25,4.25,+2.7%,4.25,4.25,762032
32,3.68,3.75,3.5,3.75,-10.7%,3.5,3.75,419024
33,4.18,4.25,4,4.25,+1.5%,4,4.25,672577
34,4.6,3.75,4,4.5,+11.7%,4.5,5,979476
35,4.12,4.25,4.5,4,0%,4.25,4,717507
36,4.37,4.25,4.5,4.25,+6.1%,4.25,4.5,1180934
37,4.15,4.5,4,4,+0.7%,4,4.25,1061080
38,4.49,4.5,4.25,4.5,+9%,4.5,4.5,728194
39,4.1,4,4,4,-0.5%,4,4.25,563156
40,3.93,3.75,4.25,4,-4.6%,3.75,4,152802
41,4,4,4,4,-2.9%,4,4,901604
42,4.14,4.25,4.25,4,+0.5%,4,4.25,833893
43,3.9,4,4,4,-5.3%,4,3.75,798054
44,4.14,4.25,4.25,4,+0.5%,4,4.25,500263
45,4.77,4.75,5,4.75,+15.8%,4.75,4.75,532289
46,3.94,3.75,4,4,-4.4%,4.25,3.75,727454
47,4.34,4.25,4,4.25,+5.3%,4.25,4.5,931900
48,3.78,3.75,4.25,3.75,-8.3%,3.75,3.75,1113681
49,4.67,4.5,4,4.5,+13.3%,4.5,5,1026255
50,4.17,3.75,4.75,4.25,+1.2%,4,4.25,525200
51,4,4,4,4,-2.9%,4,4,519542
52,3.83,4,3,3.75,-7%,3.75,4,1086068
53,3.68,3.5,4,3.75,-10.7%,3.5,3.75,1143612
54,3.75,3.75,3.75,3.75,-9%,3.75,3.75,872063
55,4.5,4.5,4.5,4.5,+9.2%,4.5,4.5,689763
56,4.16,4,4,4,+1%,4.25,4.25,822721
57,4.27,4.5,4.5,4.25,+3.6%,3.75,4.5,1146756
58,4.28,4.25,4,4.25,+3.9%,4,4.5,962669
59,3.94,4,4,4,-4.4%,3.75,4,1002275
60,3.95,4,4,3.75,-4.1%,4,4,414386
61,4.29,4.5,4.5,4.25,+4.1%,4.25,4.25,1087572
62,4.25,4.25,4.25,4.25,+3.2%,4.25,4.25,790089
63,3.91,4,3.5,4,-5.1%,3.75,4,657368
64,4.46,3.75,4,4,+8.3%,4.75,4.75,1080883
65,4.04,4,4,4,-1.9%,3.75,4.25,724838
66,4.61,4,4.5,4.5,+11.9%,4.75,4.75,1004166
