,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.89,3.75,4.25,4,+2.1%,4,3.75,513752
1,3.78,4,3.75,3.75,-0.8%,3.75,3.75,934826
2,2.55,2.5,3.75,2.75,-33.1%,3,2,1236539
3,3.22,3.75,3.5,3.25,-15.5%,3.25,3,1219115
4,3.65,3.75,3.75,3.75,-4.2%,3.75,3.5,968112
5,3.58,4,3.75,3.75,-6%,3.75,3.25,1233766
6,3.88,3.75,4,4,+1.8%,4,3.75,1136299
7,4.04,4.25,4.25,4,+6%,4,4,1028282
8,3.85,3.75,3.75,3.75,+1%,3.75,4,1045420
9,4.46,4.5,4,4.25,+17.1%,4.25,4.75,827080
10,3.42,3.5,3.75,3.5,-10.2%,3.5,3.25,1231031
11,4,4,4,4,+5%,4,4,1232801
12,3.68,3.75,3.5,3.75,-3.4%,3.5,3.75,889528
13,4.05,4,3.75,4,+6.3%,4.25,4,731684
14,3.91,3.75,3.75,3.75,+2.6%,4,4,674144
15,3.25,3.25,3.25,3.25,-14.7%,3.25,3.25,764506
16,3.88,4.25,3.5,4,+1.8%,3.5,4,1231407
17,4.05,4,2.75,4,+6.3%,4.5,4,1208271
18,3.03,3,3.5,3,-20.5%,3,3,1226736
19,3.93,4,3.75,4,+3.1%,3.75,4,911705
20,4.1,4,4,4,+7.6%,4,4.25,1215415
21,3.63,3.5,3.75,3.75,-4.7%,3.75,3.5,938772
22,3.62,4,3.75,3.75,-5%,3.5,3.5,1227011
23,3.91,3.75,3.75,3.75,+2.6%,4,4,781226
24,4.18,3.75,4.5,4.25,+9.7%,4.5,4,273285
25,4.65,4.5,4.5,4.75,+22%,4.5,4.75,1186224
26,3.77,3.75,4,3.75,-1%,3.75,3.75,491175
27,3.84,4,3.75,3.75,+0.8%,4,3.75,33351
28,3.8,4,2.5,3.75,-0.3%,3.75,4,942389
29,4.37,4.25,4.5,4.25,+14.7%,4.25,4.5,939818
30,3.46,3.5,3.75,3.5,-9.2%,3.25,3.5,1010699
31,3.99,3.75,4.25,4,+4.7%,4,4,1224708
32,3.93,4,3.75,4,+3.1%,3.75,4,890889
33,3.1,3,3,3,-18.6%,3,3.25,615000
34,3.75,3.75,3.75,3.75,-1.6%,3.75,3.75,1216436
35,3.85,3.75,3.75,3.75,+1%,3.75,4,868209
36,4.01,4,3.5,4,+5.2%,3.75,4.25,1221883
37,3.89,3.75,4.25,4,+2.1%,4,3.75,591341
38,4.05,4.25,3.75,4,+6.3%,3.75,4.25,1191967
39,3.85,3.75,3.75,3.75,+1%,3.75,4,876987
40,3.82,3.5,4.25,3.75,+0.3%,4,3.75,164786
41,3.86,3.75,3.75,4,+1.3%,4,3.75,1226126
42,4.14,3.75,4,4,+8.7%,4.25,4.25,1188367
43,3.64,3.75,3.5,3.75,-4.5%,3.75,3.5,1004588
44,3.5,3.5,3.5,3.5,-8.1%,3.5,3.5,992709
45,3.83,3.5,3.75,3.75,+0.5%,3.75,4,686273
46,4.28,4.25,4,4.25,+12.3%,4,4.5,1185866
47,4.5,4.5,4.5,4.5,+18.1%,4.5,4.5,880317
48,3.96,5,4,4.5,+3.9%,3,4,1222874
49,3.99,3,3.75,4,+4.7%,4,4.25,1222270
50,3.76,4,3.5,3.75,-1.3%,3.75,3.75,95017
51,3.86,3.75,3.75,4,+1.3%,4,3.75,413924
52,4.39,4.25,4,4.5,+15.2%,4.25,4.5,986618
53,3.77,3.75,4,3.75,-1%,3.75,3.75,309315
54,3.65,4,3,3.75,-4.2%,3,4,1216918
55,4,4,4,4,+5%,4,4,364
56,4.33,4,4.25,4.25,+13.6%,4.25,4.5,27564
57,4,4,4,4,+5%,4,4,1025815
58,2.98,3,2.5,2.75,-21.8%,3.25,3,1221172
59,3.97,4,4.5,4,+4.2%,3.75,4,1101100
60,2.79,3,3,2.75,-26.8%,2.75,2.75,1182030
61,3.79,4,4,3.75,-0.5%,3.75,3.75,1183557
62,3.93,4,4.5,4,+3.1%,4,3.75,1221704
63,3.93,3.75,3.25,4,+3.1%,4,4,1212018
64,2.85,2.5,3.25,2.5,-25.2%,3.75,2.5,1133465
65,3.74,3.75,3.5,3.75,-1.8%,3.75,3.75,1183958
66,4.25,4.25,4.25,4.25,+11.5%,4.25,4.25,643956
67,3.74,3.75,3.5,3.75,-1.8%,3.75,3.75,1189140
68,3.5,3.5,3.5,3.5,-8.1%,3.5,3.5,755032
69,4.26,4.5,4,4.25,+11.8%,4.25,4.25,702707
70,3.56,3.5,3.5,3.5,-6.6%,3.75,3.5,56472
71,4.02,4,4.25,4,+5.5%,4,4,695879
72,3.11,3,3.75,3,-18.4%,3.25,3,1217774
73,3.59,3.75,3.75,3.75,-5.8%,3.5,3.5,1207392
74,3.31,3.25,3.25,3.25,-13.1%,3.5,3.25,1005451
75,4.12,4.5,4.25,4.25,+8.1%,4,4,1179583
76,3.65,3.75,3.75,3.75,-4.2%,3.75,3.5,661504
77,3.53,4,4,3.75,-7.3%,3.5,3.25,1217238
78,3.64,4.25,3.5,3.5,-4.5%,3.75,3.5,977348
79,4,4,4,4,+5%,4,4,486373
80,3.59,3,4,3.75,-5.8%,3.75,3.5,1206649
81,3.63,3.75,3.5,3.5,-4.7%,3.5,3.75,1208041
82,4.5,4.75,4,4.5,+18.1%,4.5,4.5,1202451
83,4.05,3.5,4,4,+6.3%,4,4.25,689763
84,3.88,4,4.5,3.75,+1.8%,4,3.75,1117425
85,3.9,4.25,4.25,4,+2.4%,4.25,3.5,736913
86,4.11,3.75,4.5,4,+7.9%,4,4.25,1180934
87,4.15,4.25,4.25,4.25,+8.9%,4.25,4,1192310
88,3.19,3.5,3.25,3.5,-16.3%,2.25,3.5,1185859
89,3.96,3.75,3.75,4,+3.9%,4,4,1184297
90,3.79,4,4,3.75,-0.5%,3.75,3.75,118653
91,3.98,3.75,4,4,+4.5%,4,4,736662
92,4.26,4,4.75,4.25,+11.8%,4.25,4.25,1068999
93,4.32,3.75,3.5,4.25,+13.4%,4.5,4.5,19868
94,3.99,4,3.75,4,+4.7%,4,4,799427
95,3.74,3.5,4,3.75,-1.8%,3.75,3.75,855500
96,3.87,3.75,4,3.75,+1.6%,3.75,4,228702
97,4,4,4,4,+5%,4,4,779746
98,4.72,4.75,4.25,4.75,+23.9%,4.75,4.75,1209087
99,3.99,4.5,4,4,+4.7%,3.75,4,943900
100,3.75,3.75,3.75,3.75,-1.6%,3.75,3.75,815523
101,3.59,3.5,3.5,3.75,-5.8%,3.25,3.75,1148707
102,4.38,3.75,4,4.5,+15%,4,4.75,1203241
103,4.11,4,3.75,4,+7.9%,4.5,4,1202713
104,4.26,4.5,4,4.25,+11.8%,4.25,4.25,793221
105,4.56,4.75,4.5,4.75,+19.7%,4,4.75,1199747
106,1.81,1.5,2.5,2.75,-52.5%,1.5,1.5,1203599
107,4.08,3.75,4,4,+7.1%,4,4.25,747806
108,3.75,3.75,3.75,3.75,-1.6%,3.75,3.75,1202198
109,4.17,4,4.25,4.25,+9.4%,4,4.25,620428
