,beer_karma,beer_marked,join_date,location,sex,user_id,user_name
84,"4,472","3,362","Nov 6, 2007",Virginia,Male,170415,clayrock81
85,"3,053","6,455","Nov 21, 2012",Virginia,Male,704369,boone757
86,930,"3,745","Jun 25, 2013",Wisconsin,Male,738632,sweffin
87,760,"3,336","Nov 10, 2012",Pennsylvania,Male,702797,outoffocus
88,"2,758","2,409","Oct 15, 2011",Maryland,Male,628182,thiswangschung
89,"1,056","4,294","Jun 1, 2014",Arizona,Male,802816,t2grogan
90,644,"2,639","Jan 7, 2010",Pennsylvania,Male,412941,whatname
91,"3,508","3,275","Mar 9, 2007",New York,Male,126309,dar482
92,0,"3,063","Jun 22, 2007",Iowa,Male,144365,kaf
93,723,"3,045","Aug 23, 2012",Pennsylvania,Male,690971,waddellc2
94,"4,703","3,450","Jun 26, 2005",New York,Male,26127,tempest
95,"4,018","3,201","Apr 7, 2008",Pennsylvania,Male,209764,stinkypuss
96,"2,533","4,634","Dec 15, 2012",Illinois,Male,707905,hopheadjeffery
97,"1,095","5,299","Aug 14, 2013",Illinois,Male,748650,jgunther71
98,835,"3,601","Mar 25, 2011",Maryland,Maryland,584801,bigred89
99,"1,214","2,166","Apr 21, 2010",Texas,Male,451108,gtermi
100,0,"3,918","Aug 19, 2006",Pennsylvania,Male,93332,rblwthacoz
101,"4,963","3,808","Nov 14, 2002",Minnesota,Male,1022,feloniousmonk
102,702,"3,160","Dec 2, 2007",Illinois,Male,176419,enelson
103,752,"2,857","Dec 2, 2010",Massachusetts,Male,533177,peihop
104,713,"2,869","Mar 14, 2014",Kansas,Male,788384,hohnbaum
105,0,"3,144","Dec 22, 2007",Pennsylvania,Male,181122,barflyb
106,"2,351","3,196","Mar 26, 2009",Illinois,Male,312660,sweemzander
107,689,"2,768","May 18, 2013",Massachusetts,Male,733123,fettpopps
108,"3,645","2,658","Aug 15, 2007",Rhode Island,Male,153242,jwale73
109,"2,834","3,916","Sep 11, 2004",California,Male,8568,gclarkage
110,"1,143","1,874","Feb 19, 2008",New York,Male,196520,dmangtr
111,749,"1,669","Oct 24, 2007",Ohio,Ohio,167099,brew33
112,756,"3,364","Jan 23, 2012",Kansas,Male,656306,whiskeydeez
113,0,"4,051","Feb 2, 2008",Connecticut,Male,191932,jahmur
114,"3,247","2,974","Jan 10, 2010",Massachusetts,Male,414126,velvetextract
