,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.53,3.5,4,3.5,+3.2%,3.5,3.5,999030
1,3,3,3,3,-12.3%,3,3,1222909
2,3.54,3.75,3.75,3.5,+3.5%,3.5,3.5,720464
3,3.71,3.5,3.5,3.75,+8.5%,3.75,3.75,484016
4,3.5,3.5,3.5,3.5,+2.3%,3.5,3.5,123204
5,3.41,3.5,4,3.5,-0.3%,3,3.5,501418
6,4.07,4.25,4,4,+19%,3.75,4.25,1194208
7,3.75,3.75,3.75,3.75,+9.6%,3.75,3.75,1206521
8,3.5,3.5,3.5,3.5,+2.3%,3.5,3.5,673685
9,3.5,3.5,3.5,3.5,+2.3%,3.5,3.5,1186224
10,3.02,2.75,3,3,-11.7%,2.75,3.25,152599
11,3.06,2.75,3,3,-10.5%,3.75,2.75,1041659
12,3.42,3.5,3.75,3.5,0%,3.5,3.25,295549
13,2.94,3,3,3,-14%,2.75,3,120569
14,3.4,3.5,3.5,3.5,-0.6%,3.5,3.25,875210
15,3.99,4,3.75,4,+16.7%,4,4,714723
16,3.74,3.75,3.5,3.75,+9.4%,3.75,3.75,619119
17,3.53,3.5,4,3.5,+3.2%,3.5,3.5,1162554
18,2.35,2.5,3.25,2.5,-31.3%,2.5,2,1073239
19,3.47,3.5,4,3.5,+1.5%,3.25,3.5,640726
20,3.07,3,2.5,3,-10.2%,3,3.25,1032225
21,3.85,3.75,3.75,3.75,+12.6%,3.75,4,1073936
22,3.53,3.75,3.5,3.5,+3.2%,3.5,3.5,710643
23,2,2,2,2,-41.5%,2,2,792013
24,3.53,4,3.75,3.5,+3.2%,3.75,3.25,1112467
25,2.46,2,3.75,2.25,-28.1%,3.25,2,930237
26,3.52,3.5,3.75,3.5,+2.9%,3.5,3.5,1088878
27,3.5,3.5,3.5,3.5,+2.3%,3.5,3.5,766653
28,2,2,2,2,-41.5%,2,2,716308
29,3.59,3.25,3.75,3.5,+5%,3.5,3.75,1038021
30,3.75,3.75,3.75,3.75,+9.6%,3.75,3.75,1082979
31,2.93,2.75,3,2.75,-14.3%,3,3,1013080
32,3.5,3.5,3.5,3.5,+2.3%,3.5,3.5,276274
33,3.52,3.5,3.75,3.5,+2.9%,3.5,3.5,802013
