,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4,4,4,4,-1.5%,4,4,910969
1,4.54,4.25,4.5,4.5,+11.8%,4.75,4.5,1188179
2,3.77,3.75,4,3.75,-7.1%,3.75,3.75,732548
3,4.21,4,4,4.25,+3.7%,4.25,4.25,530484
4,3.81,2,3,3.75,-6.2%,4.5,4,779692
5,4.03,4,4,4.25,-0.7%,3.5,4.25,1165537
6,3.89,3.5,3.75,3.75,-4.2%,4,4,617300
7,3.78,4,4,4,-6.9%,3.5,3.75,685942
8,3.42,3.5,3.75,3.5,-15.8%,3.5,3.25,949526
9,3.69,3.75,3.75,3.75,-9.1%,3.5,3.75,740194
10,3.37,3.75,3.5,3.5,-17%,3.25,3.25,1192972
11,3.83,3.75,4,3.75,-5.7%,4,3.75,20976
12,4,4,4,4,-1.5%,4,4,1216064
13,5,5,5,5,+23.2%,5,5,1226130
14,3.83,3.5,4,4,-5.7%,3.5,4,663079
15,4.08,4,4.25,4,+0.5%,4.25,4,1050630
16,3.84,4.25,3.75,3.75,-5.4%,3.5,4,902487
17,3.13,2,4,3.25,-22.9%,3.5,3,1200107
18,3.85,3.75,3.75,3.75,-5.2%,3.75,4,1224060
19,3.87,3.75,3.75,3.75,-4.7%,4.25,3.75,750791
20,3.25,3.25,3.25,3.25,-20%,3.25,3.25,1219102
21,3.84,4,4,4,-5.4%,3.75,3.75,457430
22,4.16,4,4,4,+2.5%,4.25,4.25,1208211
23,4,4,4,4,-1.5%,4,4,1215415
24,4.02,3.75,3.75,4,-1%,4.25,4,1218066
25,3.94,4,4,4,-3%,3.75,4,793168
26,3.38,3.5,3.75,3.5,-16.7%,2.5,3.75,910917
27,3.65,3.5,3.25,4,-10.1%,3.75,3.5,1208825
28,4.25,4.25,4.25,4.25,+4.7%,4.25,4.25,855913
29,3.87,4,3,3.75,-4.7%,3.5,4.25,1220307
30,4.13,4.25,4,4,+1.7%,4,4.25,945867
31,4.03,4.25,4,4,-0.7%,4,4,989627
32,3.36,3.5,3,3.25,-17.2%,3.25,3.5,1190859
33,4.24,4.25,4,4.25,+4.4%,4.25,4.25,943900
34,3.47,3.75,3.5,3.5,-14.5%,3.25,3.5,1149199
35,4,4,4,4,-1.5%,4,4,1215669
36,4.04,4,4,4,-0.5%,3.75,4.25,843765
37,3.94,4,4,4,-3%,3.75,4,947934
38,4.02,4.25,4.25,4,-1%,3.5,4.25,553862
39,5,5,5,5,+23.2%,5,5,640208
40,4.34,4,4.5,4.25,+6.9%,4.25,4.5,1213690
41,2.8,3.5,3.5,3,-31%,2.25,2.75,1005451
42,4.25,4.5,4,4.5,+4.7%,4,4.25,1210687
43,4.45,4.25,4,4.5,+9.6%,4.5,4.5,1142757
44,4.5,4.25,4,4.25,+10.8%,4.5,4.75,1171758
45,4.19,4.25,4.25,4.25,+3.2%,4,4.25,317455
46,4.18,4.25,4,4.25,+3%,4,4.25,97842
47,4,4,4,4,-1.5%,4,4,640707
48,4.85,4.75,4.75,4.75,+19.5%,4.75,5,1210733
49,4.85,4.75,4.75,4.75,+19.5%,4.75,5,1210701
50,4,4,4,4,-1.5%,4,4,779746
51,3.7,3.75,3.75,3.5,-8.9%,3.75,3.75,720380
52,3.75,3.75,3.75,3.75,-7.6%,3.75,3.75,687895
53,3.59,3.75,3.5,3.5,-11.6%,3.75,3.5,1197536
54,4.17,4,4.25,4.25,+2.7%,4,4.25,1207392
55,3.94,3.75,4,4,-3%,4.25,3.75,1192024
56,3.76,3.5,4.25,3.75,-7.4%,3.75,3.75,1047740
57,3.91,4,4.25,3.75,-3.7%,3.75,4,636506
58,3.09,3.25,4,3,-23.9%,3,3,827418
59,3.85,3.75,3.75,3.75,-5.2%,3.75,4,1205295
60,3.5,3.5,3.5,3.5,-13.8%,3.5,3.5,749448
61,4.38,4.5,4.5,4.5,+7.9%,4,4.5,1198137
62,3.69,3.75,3.75,3.75,-9.1%,3.5,3.75,993759
63,4.28,4,4.5,4.25,+5.4%,4,4.5,1203479
64,4.29,4.5,4.5,4.25,+5.7%,4.25,4.25,134866
65,4.24,4.25,4,4.25,+4.4%,4.25,4.25,1202198
66,4.46,4.25,5,4.75,+9.9%,4.5,4.25,1060743
67,4.49,4.5,4.25,4.5,+10.6%,4.5,4.5,1198107
68,5,5,5,5,+23.2%,5,5,1186522
69,3.75,3.75,3.75,3.75,-7.6%,3.75,3.75,1194516
70,3.79,3.75,4.5,4,-6.7%,3.5,3.75,781156
71,3.63,3.75,3.75,3.75,-10.6%,3.25,3.75,1195893
72,3.2,3,3,3,-21.2%,3,3.5,1173339
73,3.84,4,3.5,3.75,-5.4%,3.25,4.25,999488
74,3.31,3.5,3.75,3.25,-18.5%,3.25,3.25,981264
75,4.1,4,4,4,+1%,4,4.25,789167
76,3.85,3.25,3.75,3.5,-5.2%,3.75,4.25,763296
77,4.32,4.25,4.5,4.5,+6.4%,4.25,4.25,1199067
78,4.74,4.75,4.5,4.75,+16.7%,4.75,4.75,1183020
79,4.08,4,4.25,4,+0.5%,4.25,4,846562
80,4.52,4.75,4.75,4.5,+11.3%,4,4.75,17455
81,3.96,3.75,3.75,4,-2.5%,4,4,1198502
82,3.4,3.25,3,3.25,-16.3%,3.5,3.5,14451
83,4,4,4,4,-1.5%,4,4,1193317
84,4.18,4,4.25,4,+3%,4.25,4.25,1014511
85,3.95,4,3.5,4,-2.7%,3.5,4.25,1006685
86,3.81,3,3.25,3.75,-6.2%,4,4,1197925
87,3.71,3.5,4.75,3.75,-8.6%,3,4,1194934
88,4.41,4.5,4,4.5,+8.6%,4.25,4.5,1195665
89,4.66,4.75,4.25,4.75,+14.8%,4.5,4.75,1197357
90,4.48,4.75,4.75,4.5,+10.3%,4.25,4.5,780308
91,4.48,4,5,4.5,+10.3%,4.5,4.5,996364
92,4.05,4,4,4.25,-0.2%,4,4,1189812
93,3.93,4,3.75,4,-3.2%,3.75,4,666278
94,4.1,4,4,4,+1%,4,4.25,619331
95,4.09,4,3.75,4,+0.7%,4,4.25,764778
96,4.05,4,4,4.25,-0.2%,4,4,1183503
97,4.1,4,4,4,+1%,4,4.25,1148305
98,4.04,3.75,4,4,-0.5%,4.25,4,1101909
99,3.85,4,4,3.75,-5.2%,4,3.75,1100914
100,2,2,2,2,-50.7%,2,2,1157630
101,3.99,4,3.75,4,-1.7%,4,4,906984
102,4.49,4.5,4.5,4.75,+10.6%,4.25,4.5,41142
103,4.37,4,4,4.25,+7.6%,4.5,4.5,1170852
104,3.93,3.75,4.25,4,-3.2%,3.75,4,989476
105,3.79,4,4,3.75,-6.7%,3.75,3.75,1189137
106,4,4,4,4,-1.5%,4,4,764726
107,4.59,4.5,4.25,4.5,+13.1%,4.5,4.75,805578
108,4.14,4.25,4.25,4,+2%,4,4.25,801702
109,4.27,4.5,4.5,4.25,+5.2%,3.75,4.5,389881
110,4.21,4,5,4.25,+3.7%,4,4.25,406749
111,4.32,4.25,3.75,4.25,+6.4%,4.25,4.5,609249
112,4.13,4,4,4.25,+1.7%,3.5,4.5,1023183
113,3.93,4,3.75,4,-3.2%,3.75,4,804320
114,4.56,4.5,4.5,4.5,+12.3%,4.75,4.5,766746
115,4,4,4,4,-1.5%,4,4,743023
116,4.09,4,4,4.25,+0.7%,3.75,4.25,1139522
117,4.43,4,4.5,4.5,+9.1%,4,4.75,795344
118,3.94,4,4,4,-3%,3.75,4,798319
119,3.89,4.25,4,4,-4.2%,3,4.25,1180874
120,3.68,3.75,3.5,3.75,-9.4%,3.5,3.75,1155922
121,3.93,4,3.75,4,-3.2%,3.75,4,839463
122,5,5,5,5,+23.2%,5,5,817077
123,4.93,5,3.75,5,+21.4%,5,5,1057031
124,4.05,4.25,3.75,4,-0.2%,3.75,4.25,1173220
125,3.84,4,4,4,-5.4%,3.75,3.75,1037716
126,4,4,4,4,-1.5%,4,4,762940
127,4.07,4.25,4.25,4.25,+0.2%,3.5,4.25,1177931
128,3.88,4,3.75,3.75,-4.4%,3.75,4,1090658
129,3.8,4,4,4,-6.4%,4,3.5,807964
130,4.78,5,4,5,+17.7%,4.75,4.75,971932
131,3.73,3.5,3.75,3.75,-8.1%,3.75,3.75,1073239
132,4.21,4.25,4.5,4.25,+3.7%,4,4.25,1076442
133,3,3,3,3,-26.1%,3,3,764845
134,4.1,4,4,4,+1%,4,4.25,640246
135,3.75,3.75,3.75,3.75,-7.6%,3.75,3.75,482597
136,3.5,3.5,3.5,3.5,-13.8%,3.5,3.5,312857
137,4.16,4,4,4,+2.5%,4.25,4.25,1102278
138,4.32,4.5,4.75,5,+6.4%,4.5,3.75,1141043
139,4.25,4.5,4.5,4.25,+4.7%,4.5,4,574982
140,4.19,4.25,4.25,4.25,+3.2%,4,4.25,669147
141,4.16,4,4,4,+2.5%,4.25,4.25,943862
142,4.41,4.5,4,4.5,+8.6%,4.25,4.5,895944
143,4.41,4,4,4.25,+8.6%,4.25,4.75,1070681
144,3.53,3.75,3.5,3.5,-13.1%,3.5,3.5,752670
145,4.43,4.5,4.25,4.5,+9.1%,4.25,4.5,538155
146,4,3.5,3.75,4,-1.5%,4.25,4,1052893
147,4.28,3.75,4,4.5,+5.4%,4,4.5,852308
148,5,5,5,5,+23.2%,5,5,1069757
149,3.72,3.75,3.25,3.75,-8.4%,3.75,3.75,404098
150,3.58,3.5,3.75,3.5,-11.8%,3.75,3.5,1109289
151,3.97,4,3.75,4,-2.2%,3.5,4.25,866444
152,4,4,4,4,-1.5%,4,4,827371
153,3.92,4.25,4,3.75,-3.4%,3.75,4,1168817
154,4,4,4,4,-1.5%,4,4,544594
155,5,5,5,5,+23.2%,5,5,1168595
156,4.65,4.5,4.5,4.75,+14.5%,4.5,4.75,1018905
157,4.3,4,4,4.5,+5.9%,4,4.5,1162554
158,4.21,4,4,4.25,+3.7%,4.25,4.25,598312
159,4.02,4,4.25,4,-1%,4,4,21358
160,4.41,4.5,4,4.5,+8.6%,4.25,4.5,501418
161,3,3,3,3,-26.1%,3,3,528553
162,4.06,4,4,4,0%,4.25,4,804433
163,3.69,3.75,3.75,3.75,-9.1%,3.5,3.75,934430
164,4.44,4.5,4.5,4.5,+9.4%,4.25,4.5,136659
165,4.18,4.25,4,4.25,+3%,4,4.25,743013
166,4.2,4.5,4,4.25,+3.4%,4,4.25,1164235
167,4.02,3.75,3.75,4,-1%,4.25,4,723761
168,4.28,4.25,4.75,4.25,+5.4%,4.25,4.25,350335
169,3.84,4,3.75,3.75,-5.4%,4,3.75,569020
170,4.4,4.5,4.5,4.5,+8.4%,4.5,4.25,761713
171,4.37,4.25,4.5,4.25,+7.6%,4.25,4.5,656573
172,4.21,4,4,4.25,+3.7%,4.25,4.25,1048565
173,3.69,3.75,3.75,3.75,-9.1%,3.5,3.75,1021636
174,4.3,4.25,4,4.25,+5.9%,4.5,4.25,988839
175,4.05,4.5,4,4,-0.2%,4,4,751583
176,4.4,4.25,4.25,4.5,+8.4%,4.25,4.5,1123255
177,3.43,3.5,3.25,3.5,-15.5%,3.25,3.5,867624
178,3.48,3.75,3.75,3.5,-14.3%,3.25,3.5,697302
179,4.19,4.25,4.25,4.25,+3.2%,4,4.25,65347
180,4.23,4,4.25,4.25,+4.2%,4.25,4.25,542573
181,4.08,4,4.25,4,+0.5%,4.25,4,1032603
182,4.06,4,3.5,4.25,0%,3.75,4.25,1015020
183,3.77,3.75,4,3.75,-7.1%,3.75,3.75,14058
184,4.16,4,4,4,+2.5%,4.25,4.25,752164
185,4.42,5,4.5,4.75,+8.9%,3.75,4.5,1120698
186,3.5,3.5,3.5,3.5,-13.8%,3.5,3.5,957463
187,4,4,4,4,-1.5%,4,4,1037669
188,4.04,4.25,4.25,4,-0.5%,4,4,1122119
189,3.81,3.75,3.75,3.75,-6.2%,4,3.75,878671
190,4.01,4.25,3.75,4,-1.2%,4,4,1009901
191,4.26,4,3.75,4.25,+4.9%,4.5,4.25,1102971
192,3.44,3.5,3.5,3.5,-15.3%,3.25,3.5,1139915
193,4.2,4,3.75,4.75,+3.4%,4.25,4,1108675
194,4.35,4.25,4.25,4.25,+7.1%,4.25,4.5,807965
195,2.17,2.25,4,2.5,-46.6%,2.5,1.5,1006231
196,4,4,4,4,-1.5%,4,4,123826
197,4.98,4.75,5,5,+22.7%,5,5,925457
198,4.68,4.5,5,4.75,+15.3%,4.5,4.75,1135355
199,3.86,3.75,4,4,-4.9%,3.5,4,747736
200,4.14,4,4,4,+2%,3.75,4.5,710935
201,4.37,4.5,4.5,4.25,+7.6%,3.75,4.75,654931
202,3.9,4,3.75,4.25,-3.9%,3,4.25,894937
203,3.94,3.75,5,4,-3%,4,3.75,1061385
204,3.71,3.5,3.5,3.75,-8.6%,3.75,3.75,849980
205,4.89,4.5,4.75,4.75,+20.4%,5,5,1050875
206,4.37,4.25,4.5,4.25,+7.6%,4.25,4.5,445106
207,3.9,4,4,4,-3.9%,4,3.75,1114853
208,4.38,4.75,4,4.5,+7.9%,4,4.5,767033
209,4.51,4.5,4,4.5,+11.1%,4.25,4.75,994153
210,3.83,4,4,3.75,-5.7%,3.5,4,1013023
211,5,5,5,5,+23.2%,5,5,1030727
212,3.73,3.75,3.5,4,-8.1%,3.5,3.75,1102925
213,3.75,3.75,3.75,3.75,-7.6%,3.75,3.75,983881
214,4.36,4.5,5,4.25,+7.4%,4,4.5,772586
215,4.01,4.25,4,4,-1.2%,3.5,4.25,962771
216,4.23,4.25,4.25,4.25,+4.2%,3.75,4.5,1088878
217,4.31,4.25,4.5,4.25,+6.2%,4,4.5,1043324
218,4.1,4,4,4,+1%,4,4.25,8989
219,4.62,4.5,4.75,4.5,+13.8%,4.5,4.75,872703
220,3.89,4,3.75,4,-4.2%,4,3.75,960957
221,4.17,4,4.25,4.25,+2.7%,4,4.25,1028282
222,4.08,4,4.5,4.25,+0.5%,4,4,1084039
223,4.1,4.5,4.25,4.25,+1%,3.5,4.25,1107347
224,4.04,3.75,4,4,-0.5%,4.25,4,751708
225,2.5,2.5,2.5,2.5,-38.4%,2.5,2.5,1039917
226,4.71,4.75,5,4.75,+16%,4.5,4.75,877196
227,4.66,4.5,4.5,4.5,+14.8%,4.75,4.75,742158
228,4,4,4,4,-1.5%,4,4,709107
229,4.3,4.25,4,4.25,+5.9%,4.5,4.25,838895
