,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.34,4.25,4,4.25,+1.9%,4.25,4.5,797110
1,4.06,4,4,4,-4.7%,4.25,4,732365
2,4.41,4.25,4.25,4.25,+3.5%,4.5,4.5,798740
3,4.47,4.75,4.5,4.5,+4.9%,4.25,4.5,977888
4,4.21,4.25,4.5,4.25,-1.2%,4,4.25,932174
5,3.84,4,4,4,-9.9%,3.75,3.75,1225112
6,4.54,4.75,4.75,4.5,+6.6%,4.5,4.5,74066
7,4,4,4,4,-6.1%,4,4,1225921
8,4.25,4.25,4.25,4.25,-0.2%,4.25,4.25,885735
9,4.25,4.25,4.25,4.25,-0.2%,4.25,4.25,976628
10,4.34,4.25,4,4.25,+1.9%,4.25,4.5,932046
11,4.02,4,4,4,-5.6%,4.5,3.75,762606
12,4.21,4,4,4.25,-1.2%,4.25,4.25,735109
13,4.75,4.75,4.75,4.75,+11.5%,4.75,4.75,1182030
14,4.94,5,5,5,+16%,4.75,5,971955
15,4.12,4,4,4,-3.3%,4.5,4,1217448
16,4.25,4.25,4.25,4.25,-0.2%,4.25,4.25,1036195
17,4.25,4.25,4.25,4.25,-0.2%,4.25,4.25,1111967
18,4.46,4.25,4.25,4.5,+4.7%,4.5,4.5,663678
19,4,4,4,4,-6.1%,4,4,1210955
20,4.31,4,4,4.25,+1.2%,4.25,4.5,1066881
21,3.96,3.75,3.75,4,-7%,4,4,798319
22,4.24,4.25,4,4.25,-0.5%,4.25,4.25,1043401
23,3.91,3.75,3.75,3.75,-8.2%,4,4,425637
24,4.82,4.75,5,5,+13.1%,4.75,4.75,550214
25,4.21,4,4,4.25,-1.2%,4.25,4.25,177736
26,4.24,4.25,4,4.25,-0.5%,4.25,4.25,1202198
27,4.18,4,4.25,4,-1.9%,4.25,4.25,489777
28,4.45,4.25,4,4.5,+4.5%,4.5,4.5,673923
29,4.41,4.25,4.25,4.25,+3.5%,4.5,4.5,239442
30,4.67,4.5,4.75,4.75,+9.6%,4.5,4.75,1122119
31,4.15,4,4,4.25,-2.6%,4,4.25,1187646
32,4.45,4.25,4.75,4.5,+4.5%,4.75,4.25,569565
33,4.19,4.25,4.25,4.25,-1.6%,4,4.25,736144
34,4.11,4,4.25,4.25,-3.5%,3.75,4.25,972421
35,3.91,3.75,3.75,3.75,-8.2%,4,4,777490
36,4.4,4,4.5,4.25,+3.3%,4.5,4.5,719942
37,4.24,4,4.5,4.25,-0.5%,4.25,4.25,1192531
38,3.81,4,4,3.75,-10.6%,4.25,3.5,1064676
39,4.46,4.25,4.25,4.5,+4.7%,4.5,4.5,232335
40,4.35,4.25,4.25,4.25,+2.1%,4.25,4.5,1175883
41,4.16,4.5,4,4.25,-2.3%,4.25,4,1184399
42,4.66,4.5,4.5,4.5,+9.4%,4.75,4.75,1020310
43,4.33,4,4.25,4.25,+1.6%,4.25,4.5,619733
44,4.09,4.25,4,4,-4%,4.25,4,807964
45,4.52,4.5,4.75,4.5,+6.1%,4.5,4.5,1183316
46,4.05,3.75,3.5,4,-4.9%,4,4.25,419024
47,3.75,3.75,3.75,3.75,-12%,3.75,3.75,736721
48,3.77,3.75,4,3.75,-11.5%,3.75,3.75,1001673
49,4.04,4.25,4.25,4,-5.2%,4,4,993759
