,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.25,3.25,3.25,3.25,-10.5%,3.25,3.25,1236129
1,3.55,3.25,3.75,3.5,-2.2%,3.75,3.5,48493
2,3.11,3,3.75,3,-14.3%,3.25,3,904404
3,3.46,4,4,3.5,-4.7%,3,3.5,1007133
4,3.72,3.5,3.5,3.5,+2.5%,4,3.75,1194317
5,3.85,3.75,3.75,3.75,+6.1%,3.75,4,689719
6,3.75,3.75,3.75,3.75,+3.3%,3.75,3.75,1219428
7,3.83,3.75,3.25,3.5,+5.5%,4,4,1231782
8,3.53,3.5,4.25,3.5,-2.8%,4.25,3,1231482
9,3.53,3.5,4,3.5,-2.8%,3.5,3.5,1192848
10,3.52,3.5,3.75,3.5,-3%,3.5,3.5,737297
11,3.46,3.5,3.75,3.5,-4.7%,3.25,3.5,657368
12,3.25,3.25,3.25,3.25,-10.5%,3.25,3.25,1229478
13,4.45,4,4,4.25,+22.6%,4,5,323160
14,3.81,3.75,4,3.75,+5%,3.5,4,1224164
15,3.5,3.5,3.5,3.5,-3.6%,3.5,3.5,266309
16,2.93,3.25,4,3,-19.3%,2.75,2.75,594437
17,3.9,3.75,3.5,3.75,+7.4%,4,4,802867
18,4,4,4,4,+10.2%,4,4,1222111
19,3.83,3.75,4.25,4,+5.5%,3.75,3.75,1215844
20,3.46,3,2.75,3.25,-4.7%,3.5,3.75,811627
21,5,5,5,5,+37.7%,5,5,1216769
22,4,4,4,4,+10.2%,4,4,1216091
23,5,5,5,5,+37.7%,5,5,640208
24,3.13,3,2.75,3,-13.8%,2.75,3.5,1184335
25,2.95,2.5,3,3,-18.7%,3,3,844
26,3.54,3.75,3.75,3.5,-2.5%,3.5,3.5,131231
27,3.93,4,3.75,4,+8.3%,3.75,4,526
28,3.75,3.75,3.75,3.75,+3.3%,3.75,3.75,1213350
29,3.25,3,3,3.25,-10.5%,3,3.5,1206386
30,3.96,3.75,3,4,+9.1%,3.75,4.25,660860
31,4,4,4,4,+10.2%,4,4,751701
32,3,3,3,3,-17.4%,3,3,1098609
33,3,3,3,3,-17.4%,3,3,403838
34,4.55,4,4.5,4.5,+25.3%,4.5,4.75,1209616
35,3.9,4,5,4,+7.4%,3.75,3.75,663004
36,3.35,3.5,3.5,3.25,-7.7%,3.5,3.25,947934
37,5,5,5,5,+37.7%,5,5,1208578
38,3.79,3.75,3.75,3.75,+4.4%,3.5,4,1208041
39,3.5,3.5,3.5,3.5,-3.6%,3.5,3.5,354197
40,4.3,4.25,4,4.25,+18.5%,4.5,4.25,810901
41,3.65,3.5,3.5,3.75,+0.6%,3.5,3.75,549902
42,3.61,3.75,4,3.75,-0.6%,3.5,3.5,585980
43,3.8,4,4,4,+4.7%,4,3.5,510299
44,3.54,4,3.25,3.5,-2.5%,3.5,3.5,787791
45,3.8,4,4,4,+4.7%,4,3.5,1204664
46,3.44,3.5,3.5,3.5,-5.2%,3.25,3.5,1090952
47,2.99,2.75,3.25,3,-17.6%,3,3,698218
48,4.25,4.25,4.25,4.25,+17.1%,4.25,4.25,545285
49,3.75,3.75,3.75,3.75,+3.3%,3.75,3.75,999410
50,3.75,3.75,3.75,3.75,+3.3%,3.75,3.75,1201502
51,3.98,3.75,4,4,+9.6%,4,4,894237
52,4,4,4,4,+10.2%,4,4,827087
53,3.75,3.75,3.75,3.75,+3.3%,3.75,3.75,820845
54,3.71,3.75,4,3.75,+2.2%,3.5,3.75,982613
55,2.88,2.75,3,3,-20.7%,3,2.75,1019625
56,3.67,3.5,3.75,3.75,+1.1%,3.5,3.75,700694
57,3.59,3.75,3.5,3.5,-1.1%,3.75,3.5,1201914
58,4.41,4.25,4.25,4.25,+21.5%,4.5,4.5,1200571
59,3.95,3.5,3.75,3.75,+8.8%,4.25,4,553862
60,3.56,3.5,3.5,3.5,-1.9%,3.75,3.5,806869
61,4.79,5,5,4.75,+32%,4.75,4.75,1199715
62,3.58,3,4.25,3.5,-1.4%,4.25,3.25,1199411
63,3.36,3.25,3.5,3,-7.4%,3,3.75,1198253
64,4.25,4.25,4.25,4.25,+17.1%,4.25,4.25,780649
65,3.34,3.5,3.5,3.5,-8%,3.25,3.25,683063
66,1.78,3.75,3.5,2.25,-51%,1,1.25,1051922
67,3.59,3.5,4,3.5,-1.1%,3.75,3.5,1196533
68,3.65,3.75,3.75,3.75,+0.6%,3.75,3.5,1195243
69,4.06,3.75,3.75,4,+11.8%,4,4.25,831986
70,4.77,4.5,4.75,4.75,+31.4%,4.5,5,1149351
71,3.39,3,3.25,3.25,-6.6%,3.5,3.5,1192933
72,3.59,3.5,4,3.5,-1.1%,3.75,3.5,1194594
73,4.55,4.5,4.5,4.75,+25.3%,4.5,4.5,1193842
74,3.85,3.75,4,3.75,+6.1%,3.25,4.25,1193659
75,3.84,4,4,4,+5.8%,3.75,3.75,822032
76,4.6,4.5,4.5,4.5,+26.7%,4.5,4.75,691318
77,4.63,4.25,4.75,4.5,+27.5%,4.25,5,1192300
78,3.73,3.5,3.75,3.75,+2.8%,3.75,3.75,1189140
79,4.4,4.25,4.25,4.5,+21.2%,4.25,4.5,141862
80,2.8,3,2.25,3,-22.9%,2.75,2.75,972762
81,3.79,3.5,3.75,3.75,+4.4%,4,3.75,1189126
82,3.79,4,4,3.75,+4.4%,3.75,3.75,1181016
83,3,3,3,3,-17.4%,3,3,792013
84,3.28,3.25,3,3.25,-9.6%,3,3.5,419024
85,3.49,3.5,3.25,3.5,-3.9%,3.5,3.5,1186931
86,3.91,3.75,4.5,4,+7.7%,4,3.75,386921
87,3.67,3.5,3.75,3.75,+1.1%,3.5,3.75,1109289
88,4.44,4.75,3.75,4,+22.3%,4.75,4.5,1185445
89,4,4,4,4,+10.2%,4,4,1171758
90,3.71,3.75,3.75,3.75,+2.2%,4,3.5,934240
91,4.37,4,4.25,4.25,+20.4%,4,4.75,899426
92,3.99,4.25,3.75,4,+9.9%,3.5,4.25,1125588
93,3.79,4,4,3.75,+4.4%,3.75,3.75,972842
94,4.24,4.75,4.5,4.75,+16.8%,3.5,4.25,1087463
95,3.85,4,3.75,4,+6.1%,4.25,3.5,1103844
96,3.54,3.75,3.75,3.5,-2.5%,3.5,3.5,1082865
97,3.27,3.25,3.5,3.25,-9.9%,3.25,3.25,778537
98,3.6,3.5,3.5,3.5,-0.8%,3.5,3.75,790443
99,4.25,4.25,4.25,4.25,+17.1%,4.25,4.25,765797
100,4,4,4,4,+10.2%,4,4,508945
