,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.17,3.5,4.25,4,+3%,4,4.5,1235185
1,4,4,4,4,-1.2%,4,4,689431
2,3.94,4,4,4,-2.7%,3.75,4,180659
3,4.04,4,4,4,-0.2%,3.75,4.25,123826
4,3.75,4.25,3.75,4,-7.4%,3.75,3.5,912648
5,3.81,4,4.5,4,-5.9%,3.5,3.75,1231484
6,4.13,3.75,4,4.25,+2%,4,4.25,1079612
7,4.18,4.25,4,4.25,+3.2%,4,4.25,1216064
8,3.84,3.75,4.25,3.75,-5.2%,4,3.75,950649
9,4.1,4,3.75,4.25,+1.2%,4.25,4,413924
10,3.98,4,4.25,4,-1.7%,4.25,3.75,1088878
11,4.5,4.5,4.5,4.5,+11.1%,4.5,4.5,1082117
12,4,4,4,4,-1.2%,4,4,731684
13,3.82,3.75,4,4,-5.7%,3.75,3.75,1228633
14,4.17,4,4.25,4.25,+3%,4,4.25,313402
15,4.03,4.25,4,4,-0.5%,4,4,921264
16,3.57,3.5,3.75,3.75,-11.9%,3.5,3.5,1228279
17,3.7,3.75,3.75,3.5,-8.6%,3.75,3.75,755032
18,3.89,3.75,4.25,4,-4%,4,3.75,1216450
19,4,4,4,4,-1.2%,4,4,779746
20,4.48,4.25,4.5,4.5,+10.6%,4.5,4.5,819173
21,4.09,4,3.75,4,+1%,4,4.25,1209935
22,3.37,3,3.75,3,-16.8%,3.5,3.5,1224585
23,4,4,4,4,-1.2%,4,4,1223794
24,4.15,4,4,4.25,+2.5%,4,4.25,1173220
25,4.13,4.25,4,4,+2%,4,4.25,594437
26,3,3,3,3,-25.9%,3,3,1222398
27,3.94,4,4,4,-2.7%,3.75,4,802867
28,4.03,4.25,4,4,-0.5%,4,4,1171132
29,4.37,4.25,4.5,4.25,+7.9%,4.25,4.5,172660
30,4.15,4,4,4.25,+2.5%,4,4.25,674493
31,3.59,3.5,4,3.5,-11.4%,3.75,3.5,1217987
32,5,5,5,5,+23.5%,5,5,1113707
33,4.06,4,4,4,+0.2%,4.25,4,1192995
34,4.06,4.25,4.5,4,+0.2%,4,4,1220307
35,3.67,3.75,4,3.75,-9.4%,3.75,3.5,1220838
36,3.76,4,3.5,3.75,-7.2%,3.75,3.75,457762
