,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.01,3.5,3.25,4,+2%,4,4.25,128778
1,3.98,4.5,3.75,4,+1.3%,3.75,4,450794
2,3.11,3.25,3.5,3.25,-20.9%,3,3,1230458
3,3.93,4,3.75,4,0%,3.75,4,638668
4,2.23,2,2.75,2,-43.3%,2.75,2,443500
5,3.74,3.75,3.5,3.75,-4.8%,3.75,3.75,696364
6,4.9,4.75,4.75,5,+24.7%,4.75,5,123397
7,4.31,4,4,4.25,+9.7%,4.25,4.5,5708
8,3.49,3.5,3.25,3.5,-11.2%,3.5,3.5,654191
9,4.16,4.25,3.75,4.25,+5.9%,4,4.25,1228561
10,3.84,4,4,4,-2.3%,3.75,3.75,1200567
11,3.88,4.25,4.25,4,-1.3%,3.75,3.75,1881
12,2,2,2,2,-49.1%,2,2,1113636
13,4.06,3.75,3.75,4,+3.3%,4,4.25,863701
14,4.13,4.25,4,4,+5.1%,4,4.25,601648
15,4.59,4.75,4.75,4.75,+16.8%,4.5,4.5,1225241
16,4.66,4.75,4.25,4.75,+18.6%,4.5,4.75,1020960
17,3.5,3.5,3.5,3.5,-10.9%,3.5,3.5,1182030
18,3,3,3,3,-23.7%,3,3,776165
19,4.2,4,3.75,4.25,+6.9%,4.25,4.25,1162554
20,4.16,4,4,4,+5.9%,4.25,4.25,1171914
21,4.25,4.25,4.25,4.25,+8.1%,4.25,4.25,1121439
22,3.81,3.75,3.75,3.75,-3.1%,4,3.75,1178465
23,3.94,4.25,3.5,4,+0.3%,3.75,4,811627
24,3.29,3.75,3,3.25,-16.3%,3.25,3.25,1215948
25,4,4,4,4,+1.8%,4,4,119720
26,4.16,4,4,4,+5.9%,4.25,4.25,662793
27,3.8,4,3.5,3.75,-3.3%,3.5,4,1179583
28,3.83,3.75,4,3.75,-2.5%,4,3.75,1213798
29,4.25,4.25,4.25,4.25,+8.1%,4.25,4.25,1183503
30,2.37,2,3.5,2.5,-39.7%,2.75,2,794157
31,3.89,4,3.75,4,-1%,4,3.75,773282
32,3.9,4,3.75,3.75,-0.8%,4.25,3.75,2240
33,3.84,4,3.75,3.75,-2.3%,4,3.75,544594
