,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.59,4.5,4.25,4.5,+8.8%,4.5,4.75,1231342
1,4.35,4.25,4.25,4.25,+3.1%,4.25,4.5,749641
2,4.19,4.25,4.25,4.25,-0.7%,4,4.25,1043324
3,4.29,4.25,4.25,4.25,+1.7%,4,4.5,799034
4,4.55,4.75,4.25,4.5,+7.8%,4.25,4.75,553862
5,4.02,4,4.25,4,-4.7%,4,4,262075
6,4.24,4.25,4,4.25,+0.5%,4.25,4.25,611522
7,4.15,4,4,4.25,-1.7%,4,4.25,226326
8,4.26,4,4,4,+0.9%,4.25,4.5,1187997
9,4.93,5,4.75,5,+16.8%,4.75,5,1013736
10,4.24,4,4.25,4,+0.5%,4.5,4.25,772016
11,4.03,4.25,4,4,-4.5%,4,4,970902
12,4.2,4.5,4,4.25,-0.5%,4,4.25,1220343
13,4.56,4.25,4.25,4.5,+8.1%,4.5,4.75,905834
14,4.28,4.5,4.25,4.25,+1.4%,4.25,4.25,1216064
15,2.45,2.5,3,2.5,-41.9%,3,2,1229499
16,4.41,4.25,4.25,4.25,+4.5%,4.5,4.5,839604
17,4.26,4.5,4,4.25,+0.9%,4.25,4.25,943900
18,4.12,3.75,4.5,4.25,-2.4%,4.25,4,1221425
19,4.47,4.75,4.5,4.5,+5.9%,4.25,4.5,974455
20,4.08,3.75,4,4,-3.3%,4,4.25,902206
21,4.28,4.25,4,4.25,+1.4%,4,4.5,472811
22,4.6,4.5,4.5,4.5,+9%,4.5,4.75,1227999
23,4.11,4.25,4.5,4.25,-2.6%,4,4,814461
24,4.2,3.75,4.25,4.25,-0.5%,4.25,4.25,478737
25,4.5,4.5,4.5,4.5,+6.6%,4.5,4.5,1189140
26,4.22,4.5,4.25,4.25,0%,4,4.25,1216899
27,4.32,4,4.25,4.5,+2.4%,4,4.5,86436
28,4.35,4.25,4.25,4.25,+3.1%,4.25,4.5,698218
29,4.36,4.25,4.5,4.5,+3.3%,4,4.5,75426
30,4.25,4.25,4.25,4.25,+0.7%,4.25,4.25,779189
31,4.16,4.25,3.75,4.25,-1.4%,4,4.25,660619
32,4.59,4.5,4.25,4.5,+8.8%,4.5,4.75,796224
33,4.77,4.75,5,4.75,+13%,4.75,4.75,1137115
34,4.25,4.25,4.25,4.25,+0.7%,4.25,4.25,123204
35,4,4,4,4,-5.2%,4,4,1024460
36,4.18,4.25,4,4.25,-0.9%,4,4.25,1101859
37,4.04,4.5,4,4.25,-4.3%,3.75,4,1108038
38,4.51,5,4.75,4.5,+6.9%,4.25,4.5,698175
39,4.68,4.5,5,4.75,+10.9%,4.5,4.75,836463
40,4.06,4,4,4,-3.8%,4.25,4,839059
41,4.29,4.25,4.25,4.25,+1.7%,4,4.5,1020398
42,3.85,4,4,3.75,-8.8%,4,3.75,736279
43,4.42,4.25,4.25,4.5,+4.7%,4.75,4.25,660642
44,4.32,4,4.75,4.25,+2.4%,4.5,4.25,904917
45,4.25,4.25,4.25,4.25,+0.7%,4.25,4.25,756672
46,4.29,4.5,4.5,4.25,+1.7%,4.25,4.25,972171
47,4.18,4,4.5,4.25,-0.9%,4,4.25,887507
