,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.08,3.25,3.25,3,+2.7%,2.75,3.25,1231882
1,2.51,2,2,2.25,-16.3%,2.25,3,1233137
2,3,3,3,3,0%,3,3,1219428
3,3,3,3,3,0%,3,3,819173
4,2.89,2.75,3,2.75,-3.7%,3.25,2.75,1225656
5,2.8,2.75,2.5,2.75,-6.7%,3,2.75,733310
6,3.75,3.75,3.75,3.75,+25%,3.75,3.75,1182030
7,4.5,4.5,4.5,4.5,+50%,4.5,4.5,1222909
8,3.54,3.75,2.75,3.5,+18%,3.75,3.5,1222157
9,1.23,1.5,1.5,1.25,-59%,1,1.25,1220307
10,3.75,3.75,3.75,3.75,+25%,3.75,3.75,620560
11,3.74,3.75,3.5,3.75,+24.7%,3.75,3.75,993898
12,3.8,3.5,4,3.75,+26.7%,4,3.75,1217103
13,2.5,2.5,2.5,2.5,-16.7%,2.5,2.5,1219102
14,3.35,3.25,3.25,3.25,+11.7%,3.25,3.5,1211693
15,3.32,3.25,3.5,3.5,+10.7%,3.25,3.25,1179583
16,3.71,3.5,3.5,3.75,+23.7%,3.75,3.75,722217
17,2.82,3,4,3,-6%,2,3,1214620
18,2.58,3,3,2.5,-14%,2.5,2.5,683845
19,3.29,3,3.25,3.25,+9.7%,3.5,3.25,413924
20,2.91,2.75,3.5,3,-3%,3,2.75,1194443
21,3.16,3.25,2.75,3.25,+5.3%,3,3.25,660642
22,2.89,2.5,2.75,2.75,-3.7%,3,3,825680
23,3.09,2,3.75,3,+3%,4,2.75,1101054
24,3.18,3,4,3,+6%,3.5,3,683529
25,4.1,4,4,4,+36.7%,4,4.25,1203052
26,3.12,2.75,2.75,3,+4%,3.25,3.25,174905
27,4.5,4.5,4.5,4.5,+50%,4.5,4.5,1213888
28,3.25,3.25,3.25,3.25,+8.3%,3.25,3.25,1156914
29,3.87,3.75,4,3.75,+29%,3.75,4,591360
30,3.61,3.75,3.25,3.5,+20.3%,3.5,3.75,1006685
31,3.75,3.5,4,3.5,+25%,4,3.75,1101859
32,3.5,3.5,3.5,3.5,+16.7%,3.5,3.5,1194424
33,3.35,3.25,3.25,3.25,+11.7%,3.25,3.5,839463
34,3.77,3.5,3.5,3.75,+25.7%,4,3.75,114970
35,2.3,2,3,2,-23.3%,3,2,1181016
36,2.7,2.5,3.75,2.5,-10%,3,2.5,676997
37,2.43,2.25,2.75,2.5,-19%,2.25,2.5,9248
38,4.9,5,3.25,5,+63.3%,5,5,1209959
39,2.81,2.75,3,2.75,-6.3%,2.5,3,977348
40,3.4,3,3.5,3.25,+13.3%,3.5,3.5,1189140
41,2.92,2.75,3,3,-2.7%,2.75,3,662955
42,5,5,5,5,+66.7%,5,5,771737
43,3.17,3.25,3.5,3.25,+5.7%,3.25,3,663678
44,2.71,2.5,2.5,2.75,-9.7%,2.75,2.75,1202662
45,4,4,4,4,+33.3%,4,4,1201550
46,4.24,4.25,4,4.25,+41.3%,4.25,4.25,1200304
47,2.95,3.25,3.75,3,-1.7%,3.75,2.25,1199411
48,2.74,2.5,3,2.75,-8.7%,2.75,2.75,1191860
49,2.28,2,2.5,2.25,-24%,2,2.5,1194594
50,4.7,4.25,4,4.75,+56.7%,4.5,5,1193134
51,1.58,1,2.25,2,-47.3%,2.25,1,1180148
52,2.62,2.5,2.75,2.5,-12.7%,2.5,2.75,842944
53,2.22,1,2.75,2.25,-26%,2.5,2.25,679489
54,3.62,3,4,3.5,+20.7%,4.5,3.25,1191461
55,3.15,2.75,3,3.25,+5%,3.5,3,1189126
56,3,3,3,3,0%,3,3,1186730
