,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,4.16,3.75,4.5,4.25,+65.7%,4,4.25,1219115
1,2.92,3,2.75,2.75,+16.3%,2.5,3.25,1231737
2,2.34,2.25,3,2.25,-6.8%,2,2.5,1228039
3,2.27,2.25,2.5,2.25,-9.6%,2.25,2.25,1216064
4,2.5,3,4,2.5,-0.4%,2.75,2,783464
5,3.7,3,3,3.5,+47.4%,3,4.5,1219621
6,2.35,2.5,3.25,2.5,-6.4%,2.5,2,213734
7,2.35,2.75,2.25,2.5,-6.4%,2.25,2.25,1213985
8,2.82,2.75,3,3,+12.4%,2.75,2.75,492136
9,1,1,1,1,-60.2%,1,1,1182030
10,2.96,5,5,3.5,+17.9%,2.75,2,1222095
11,2.3,2.5,2,2.25,-8.4%,2,2.5,257900
12,2.87,3,3.25,2.75,+14.3%,3,2.75,1206790
13,2.27,2.25,2.75,2,-9.6%,3.25,1.75,1217948
14,2.46,2.5,2.75,2.5,-2%,2.25,2.5,1174393
15,1.05,1.5,1,1,-58.2%,1,1,1220307
16,1.93,1.75,2.25,2,-23.1%,1.75,2,1191860
17,2.37,2.75,2.5,2.5,-5.6%,2.25,2.25,893544
18,3.37,3.5,3,3,+34.3%,3.5,3.5,1217774
19,2.06,1.75,1.75,2,-17.9%,2,2.25,1215699
20,5,5,5,5,+99.2%,5,5,640208
21,3.9,3.75,3.75,4,+55.4%,3.75,4,609249
22,5,5,5,5,+99.2%,5,5,1213402
23,3.01,4,3.5,4,+19.9%,2.5,2.5,965878
24,2.5,2.5,2.5,2.5,-0.4%,2.5,2.5,489777
25,3.32,3.25,3.75,3.25,+32.3%,3,3.5,664801
26,2.45,2.75,2.25,2.5,-2.4%,2.25,2.5,768153
27,4.06,4,3.5,4.25,+61.8%,3.75,4.25,862757
28,3.56,3.5,3.5,3.5,+41.8%,3.75,3.5,695286
29,3.21,3,3.25,3.25,+27.9%,2.75,3.5,692655
30,2.21,2,3,2.25,-12%,2,2.25,37950
31,1.82,1.75,1.25,1.75,-27.5%,1.75,2,1203260
32,5,5,5,5,+99.2%,5,5,1200914
33,1.5,1.5,1.5,1.5,-40.2%,1.5,1.5,765198
34,3.96,5,4.25,5,+57.8%,2.5,4,1193158
35,1.79,1.75,1.75,1.75,-28.7%,1.5,2,854929
36,2.98,3,3,3,+18.7%,2.5,3.25,1192024
37,4.37,4.75,4.5,4.5,+74.1%,4.25,4.25,1050875
38,3.16,3,3,3,+25.9%,3.25,3.25,583847
39,3.05,3.5,2.5,3.25,+21.5%,2.5,3.25,36925
