,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,5.60,810,https://www.beeradvocate.com/beer/profile/105/810/,Mickey's,105,Miller Brewing Co.,"1,305",2.51
1,8.10,718,https://www.beeradvocate.com/beer/profile/257/718/,Steel Reserve 211 (High Gravity),257,Steel Brewing Company,"1,256",2.39
2,5.90,3350,https://www.beeradvocate.com/beer/profile/105/3350/,Olde English 800,105,Miller Brewing Co.,"1,071",2.08
3,5.61,1334,https://www.beeradvocate.com/beer/profile/447/1334/,Colt 45 Malt Liquor,447,Pabst Brewing Company,897,2.22
4,8.00,82948,https://www.beeradvocate.com/beer/profile/29/82948/,Bud Light Lime-A-Rita,29,Anheuser-Busch,720,2.12
5,7.30,3829,https://www.beeradvocate.com/beer/profile/433/3829/,Molson XXX,433,Molson Coors Canada,566,2.49
6,6.00,66,https://www.beeradvocate.com/beer/profile/29/66/,King Cobra Premium Malt Liquor,29,Anheuser-Busch,546,2.06
7,8.00,91814,https://www.beeradvocate.com/beer/profile/29/91814/,Bud Light Lime Straw-Ber-Rita,29,Anheuser-Busch,456,2.27
8,8.10,25007,https://www.beeradvocate.com/beer/profile/29/25007/,Hurricane High Gravity Malt Liquor,29,Anheuser-Busch,351,2.44
9,8.00,73223,https://www.beeradvocate.com/beer/profile/29/73223/,Natty Daddy (8%),29,Anheuser-Busch,292,2.46
10,5.90,2186,https://www.beeradvocate.com/beer/profile/29/2186/,Hurricane Malt Liquor,29,Anheuser-Busch,241,1.99
11,8.20,798,https://www.beeradvocate.com/beer/profile/289/798/,St. Ides High Gravity Malt Liquor,289,Saint Ides Brewing Company,202,2.16
12,5.60,809,https://www.beeradvocate.com/beer/profile/105/809/,Magnum,105,Miller Brewing Co.,200,1.99
13,5.90,3160,https://www.beeradvocate.com/beer/profile/106/3160/,Schlitz O.M.L. (Malt Liquor),106,JOS. Schlitz Brewing Co. (Pabst),196,2.62
14,8.00,110748,https://www.beeradvocate.com/beer/profile/29/110748/,Bud Light Lime Mang-o-Rita,29,Anheuser-Busch,192,2.48
15,8.00,77013,https://www.beeradvocate.com/beer/profile/355/77013/,Red Horse Beer,355,San Miguel Brewery Inc.,156,2.72
16,8.00,4546,https://www.beeradvocate.com/beer/profile/105/4546/,Olde English 800 High Gravity,105,Miller Brewing Co.,153,2.17
17,8.00,110749,https://www.beeradvocate.com/beer/profile/29/110749/,Bud Light Lime Raz-Ber-Rita,29,Anheuser-Busch,147,2.54
18,8.00,83745,https://www.beeradvocate.com/beer/profile/105/83745/,Icehouse Edge,105,Miller Brewing Co.,145,2.39
19,7.00,7357,https://www.beeradvocate.com/beer/profile/3081/7357/,Haywards 5000 Super Premium Beer,3081,Shaw Wallace & Company Ltd.,139,2.72
20,8.00,63623,https://www.beeradvocate.com/beer/profile/302/63623/,Dog Bite High Gravity Lager,302,Genesee Brewing Co. / Dundee Brewing Co.,135,2.21
21,6.90,23940,https://www.beeradvocate.com/beer/profile/355/23940/,Red Horse Beer: Extra Strong,355,San Miguel Brewery Inc.,124,2.58
22,8.50,42303,https://www.beeradvocate.com/beer/profile/106/42303/,Schlitz High Gravity V.S.L Very Smooth Lager,106,JOS. Schlitz Brewing Co. (Pabst),107,2.7
23,7.10,6158,https://www.beeradvocate.com/beer/profile/478/6158/,Labatt Max Ice,478,Labatt Brewing Company Ltd.,99,2.47
24,5.86,9317,https://www.beeradvocate.com/beer/profile/447/9317/,Country Club Malt Liquor,447,Pabst Brewing Company,98,2.37
25,8.00,104856,https://www.beeradvocate.com/beer/profile/29/104856/,Bud Light Lime Cran-Brrr-Rita,29,Anheuser-Busch,98,2.36
26,8.10,27218,https://www.beeradvocate.com/beer/profile/257/27218/,Steel Reserve 211 Triple Export,257,Steel Brewing Company,87,2.49
27,10.50,34487,https://www.beeradvocate.com/beer/profile/881/34487/,Camo Black Ice,881,Camo Brewing Company,75,1.93
28,8.20,3963,https://www.beeradvocate.com/beer/profile/106/3963/,Schlitz Bull Ice I.M.L.,106,JOS. Schlitz Brewing Co. (Pabst),74,2.28
29,7.00,74145,https://www.beeradvocate.com/beer/profile/26946/74145/,Big Hurt Beer,26946,Big Hurt Brewing Company,74,2.59
30,8.00,30784,https://www.beeradvocate.com/beer/profile/2650/30784/,Old Monk 10000,2650,Mohan Breweries & Distilleries Ltd,71,2.47
31,5.61,4544,https://www.beeradvocate.com/beer/profile/447/4544/,Colt 45 Double Malt Liquor,447,Pabst Brewing Company,71,2.64
32,8.50,52945,https://www.beeradvocate.com/beer/profile/447/52945/,Colt 45 High Gravity Lager,447,Pabst Brewing Company,71,2.71
33,5.90,7113,https://www.beeradvocate.com/beer/profile/782/7113/,Crazy Stallion,782,"City Brewing Company, LLC",68,2.47
34,10.00,20705,https://www.beeradvocate.com/beer/profile/1422/20705/,Evil Eye,1422,Melanie Brewing Company,68,1.57
35,8.50,2789,https://www.beeradvocate.com/beer/profile/881/2789/,Camo High Gravity Lager,881,Camo Brewing Company,67,1.88
36,8.00,131539,https://www.beeradvocate.com/beer/profile/29/131539/,Bud Light Lime Apple-Ahhh-Rita,29,Anheuser-Busch,66,2.6
37,10.60,9970,https://www.beeradvocate.com/beer/profile/881/9970/,Camo Silver Ice,881,Camo Brewing Company,66,2.11
38,8.00,159265,https://www.beeradvocate.com/beer/profile/29/159265/,Bud Light Lime Lemon-Ade-Rita,29,Anheuser-Busch,63,2.79
39,7.30,1723,https://www.beeradvocate.com/beer/profile/47051/1723/,Rainier Ale,47051,Rainier Brewing Co.,62,2.31
40,12.00,54660,https://www.beeradvocate.com/beer/profile/21678/54660/,Stack High Gravity Lager,21678,United Brands Company,58,2.13
41,6.00,3378,https://www.beeradvocate.com/beer/profile/433/3378/,Molson Brador,433,Molson Coors Canada,57,2.89
42,5.90,4619,https://www.beeradvocate.com/beer/profile/106/4619/,Schlitz Red Bull X. L. Xtra Long Malt Liquor,106,JOS. Schlitz Brewing Co. (Pabst),46,2.47
43,8.00,117449,https://www.beeradvocate.com/beer/profile/447/117449/,Colt 45,447,Pabst Brewing Company,40,1.96
44,11.00,45298,https://www.beeradvocate.com/beer/profile/435/45298/,Axe Head Malt Liquor,435,Minhas Craft Brewery,40,2.04
45,6.20,45719,https://www.beeradvocate.com/beer/profile/435/45719/,Clear Creek Ice,435,Minhas Craft Brewery,37,2.19
46,7.50,3962,https://www.beeradvocate.com/beer/profile/447/3962/,Big Bear Premium Malt Liquor,447,Pabst Brewing Company,36,2.41
47,5.00,291019,https://www.beeradvocate.com/beer/profile/105/291019/,Zima,105,Miller Brewing Co.,32,2.7
48,8.00,217098,https://www.beeradvocate.com/beer/profile/29/217098/,Bud Light Lime Water-Melon-Rita,29,Anheuser-Busch,30,2.64
49,8.00,179480,https://www.beeradvocate.com/beer/profile/29/179480/,Bud Light Mixxtail Hurricane,29,Anheuser-Busch,28,2.68
50,6.50,39966,https://www.beeradvocate.com/beer/profile/1602/39966/,Yankee Jim Ice Bock,1602,Big Hole Brewing Company,28,2.28
51,12.20,57931,https://www.beeradvocate.com/beer/profile/881/57931/,Camo Black Extra,881,Camo Brewing Company,28,2.31
52,8.30,43639,https://www.beeradvocate.com/beer/profile/12351/43639/,Ionizer Lager,12351,Lightning Brewery,27,3.42
53,10.00,191310,https://www.beeradvocate.com/beer/profile/782/191310/,Earthquake High Gravity Lager ( 10% ),782,"City Brewing Company, LLC",26,2.2
54,10.20,32690,https://www.beeradvocate.com/beer/profile/782/32690/,Pit Bull,782,"City Brewing Company, LLC",25,1.42
55,5.90,91605,https://www.beeradvocate.com/beer/profile/22426/91605/,Bush Crack,22426,Bahamian Brewery Beverage & Co. Ltd.,25,2.84
56,8.00,179484,https://www.beeradvocate.com/beer/profile/29/179484/,Bud Light Mixxtail Long Island,29,Anheuser-Busch,24,2.51
57,10.00,50748,https://www.beeradvocate.com/beer/profile/20481/50748/,Four O Street Legal Malt Liquor,20481,Copper Mountain Beverage Company,24,1.88
58,7.00,83059,https://www.beeradvocate.com/beer/profile/29/83059/,Budweiser Shot,29,Anheuser-Busch,24,2.3
59, ? ,5804,https://www.beeradvocate.com/beer/profile/447/5804/,Silver Thunder,447,Pabst Brewing Company,24,2.29
60,6.50,129007,https://www.beeradvocate.com/beer/profile/28663/129007/,Pro Pig Brass Monkey,28663,Prohibition Pig,23,3.78
