,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,5.2,607,https://www.beeradvocate.com/beer/profile/192/607/,Fat Tire Amber Ale,192,New Belgium Brewing,"8,882",3.6
1,7.5,15881,https://www.beeradvocate.com/beer/profile/694/15881/,Nugget Nectar,694,Tröegs Brewing Company,"8,651",4.32
2,8.1,35732,https://www.beeradvocate.com/beer/profile/2743/35732/,Hop Head Red Ale,2743,Green Flash Brewing Co.,"3,421",3.97
3,5.8,794,https://www.beeradvocate.com/beer/profile/287/794/,Amber Ale,287,Bell's Brewery - Eccentric Café & General Store,"3,185",3.84
4,6,6322,https://www.beeradvocate.com/beer/profile/694/6322/,Hopback Amber Ale,694,Tröegs Brewing Company,"3,119",3.97
5,6.2,98495,https://www.beeradvocate.com/beer/profile/140/98495/,Flipside Red IPA,140,Sierra Nevada Brewing Co.,"2,933",3.79
6,6.75,3711,https://www.beeradvocate.com/beer/profile/220/3711/,Censored,220,Lagunitas Brewing Company,"2,744",3.72
7,8.8,35397,https://www.beeradvocate.com/beer/profile/220/35397/,Lucky 13 Mondo Large Red Ale,220,Lagunitas Brewing Company,"2,738",4.11
8,8,1792,https://www.beeradvocate.com/beer/profile/73/1792/,Nosferatu,73,Great Lakes Brewing Co.,"2,661",4.07
9,6.8,1655,https://www.beeradvocate.com/beer/profile/610/1655/,Red Rocket Ale,610,Bear Republic Brewing Co.,"2,615",4.05
10,7.2,54522,https://www.beeradvocate.com/beer/profile/20681/54522/,Zoe,20681,Maine Beer Company,"2,507",4.19
11,5.3,1173,https://www.beeradvocate.com/beer/profile/132/1173/,Santa's Private Reserve Ale,132,Rogue Ales,"2,364",3.74
12,5.4,410,https://www.beeradvocate.com/beer/profile/112/410/,Ruedrich's Red Seal Ale,112,North Coast Brewing Co.,"2,107",3.9
13,9.2,1490,https://www.beeradvocate.com/beer/profile/30/1490/,Hog Heaven: Imperial Red IPA,30,Avery Brewing Company,"2,104",3.96
