,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,5.90,90,https://www.beeradvocate.com/beer/profile/147/90/,Smoked Porter,147,Stone Brewing,"4,202",4
1,5.90,36707,https://www.beeradvocate.com/beer/profile/147/36707/,Smoked Porter - Chipotle Peppers,147,Stone Brewing,"1,284",3.78
2,7.00,7697,https://www.beeradvocate.com/beer/profile/1471/7697/,Dark Horse Fore Smoked Stout,1471,Dark Horse Brewing Company,"1,120",3.92
3,13.00,79538,https://www.beeradvocate.com/beer/profile/16866/79538/,Smoking Wood - Bourbon Barrel-Aged,16866,The Bruery,643,4.1
4,6.00,7675,https://www.beeradvocate.com/beer/profile/3268/7675/,Smoked Porter,3268,O'Fallon Brewery,521,3.86
5,8.90,71483,https://www.beeradvocate.com/beer/profile/24300/71483/,Ashtray Heart,24300,Evil Twin Brewing,490,3.77
6,6.50,37300,https://www.beeradvocate.com/beer/profile/15711/37300/,Norwegian Wood,15711,HaandBryggeriet,348,3.94
7,6.60,86286,https://www.beeradvocate.com/beer/profile/24018/86286/,Gotlandsdricka,24018,Jester King Brewery,300,3.62
8,5.50,86117,https://www.beeradvocate.com/beer/profile/24300/86117/,The Cowboy,24300,Evil Twin Brewing,277,3.73
9,11.00,47232,https://www.beeradvocate.com/beer/profile/7730/47232/,Sunturnbrew,7730,Nøgne Ø - Det Kompromissløse Bryggeri A/S,244,3.81
10,7.79,47050,https://www.beeradvocate.com/beer/profile/335/47050/,Charkoota Rye,335,New Holland Brewing Company,240,3.55
11,5.50,225610,https://www.beeradvocate.com/beer/profile/35/225610/,Samuel Adams Bonfire Blonde,35,Boston Beer Company (Samuel Adams),225,3.41
12,7.50,63522,https://www.beeradvocate.com/beer/profile/22511/63522/,Holger Danske (with Kissmeyer),22511,Hill Farmstead Brewery,212,4.13
13,6.00,41420,https://www.beeradvocate.com/beer/profile/26/41420/,Hank On Rye,26,3 Floyds Brewing Co.,192,3.72
14,4.00,75608,https://www.beeradvocate.com/beer/profile/23495/75608/,Grodziskie,23495,Professor Fritz Briem,168,3.75
15,6.20,63898,https://www.beeradvocate.com/beer/profile/22618/63898/,The Big Smoke,22618,8 Wired Brewing Co.,153,3.84
16,8.30,92941,https://www.beeradvocate.com/beer/profile/24018/92941/,Viking Metal,24018,Jester King Brewery,135,4.01
17,8.40,46426,https://www.beeradvocate.com/beer/profile/11031/46426/,"Bloed, Zweet & Tranen",11031,Brouwerij De Molen,134,3.84
18,6.80,37507,https://www.beeradvocate.com/beer/profile/10485/37507/,Smokestack Heritage Porter,10485,East End Brewing Company,127,4.04
19,4.50,67396,https://www.beeradvocate.com/beer/profile/22408/67396/,LA-31 Boucanèe,22408,Bayou Teche Brewery,124,3.3
20,5.00,304490,https://www.beeradvocate.com/beer/profile/35/304490/,Samuel Adams Smoked Lager,35,Boston Beer Company (Samuel Adams),121,3.68
21,8.20,57357,https://www.beeradvocate.com/beer/profile/11031/57357/,Rook & Vuur,11031,Brouwerij De Molen,107,3.61
22, ? ,239356,https://www.beeradvocate.com/beer/profile/590/239356/,Thumbprint Smoke On The Porter,590,New Glarus Brewing Company,107,3.94
23,5.40,3571,https://www.beeradvocate.com/beer/profile/1141/3571/,Charbonniere,1141,Brasserie Dieu du Ciel!,104,3.72
24,6.50,55841,https://www.beeradvocate.com/beer/profile/15711/55841/,Hesjeøl,15711,HaandBryggeriet,99,3.89
25,5.50,98224,https://www.beeradvocate.com/beer/profile/31840/98224/,Smoking Mirror Porter,31840,Quest Brewing Co.,89,3.71
26,6.00,140372,https://www.beeradvocate.com/beer/profile/637/140372/,Triomfbier Vooruit,637,Brasserie Dupont sprl,88,3.87
27,8.00,66112,https://www.beeradvocate.com/beer/profile/20417/66112/,White Birch Tavern Ale,20417,White Birch Brewing,84,3.77
28,8.00,62632,https://www.beeradvocate.com/beer/profile/15711/62632/,Røyk Uten Ild (Smoke Without Fire),15711,HaandBryggeriet,75,3.96
29,6.40,54370,https://www.beeradvocate.com/beer/profile/21006/54370/,Simple Malt Double Porter,21006,Brasseurs Illimités,72,3.65
30,8.80,65832,https://www.beeradvocate.com/beer/profile/13014/65832/,Mole Smoke,13014,Surly Brewing Company,69,4.09
31,6.40,3344,https://www.beeradvocate.com/beer/profile/197/3344/,Adelscott,197,Brasserie Fischer / Fischer Biere d' Alsace,68,2.63
32,5.90,49036,https://www.beeradvocate.com/beer/profile/894/49036/,Nils Oscar Rökporter,894,Nils Oscar,68,3.97
33,5.00,203576,https://www.beeradvocate.com/beer/profile/37192/203576/,Anachronism,37192,Kent Falls Brewing Company,67,3.97
34,7.00,69677,https://www.beeradvocate.com/beer/profile/23246/69677/,Rex Attitude,23246,Yeastie Boys,64,3.38
35,5.70,52379,https://www.beeradvocate.com/beer/profile/19544/52379/,Up In Smoke Smoked Porter,19544,Fat Head's Brewery & Saloon,64,3.86
36,7.00,60628,https://www.beeradvocate.com/beer/profile/4707/60628/,Smoked Porter,4707,Choc Beer Co. / Pete's Place,62,3.98
37,6.50,59892,https://www.beeradvocate.com/beer/profile/23145/59892/,Hogwash!,23145,Fullsteam Brewery,60,3.9
38,5.30,88457,https://www.beeradvocate.com/beer/profile/13029/88457/,Beadeca's Well,13029,Thornbridge Brewery,58,3.91
39,7.00,124602,https://www.beeradvocate.com/beer/profile/35258/124602/,Burn The Ships,35258,The Able Ebenezer Brewing Company,58,3.77
40,9.00,89723,https://www.beeradvocate.com/beer/profile/24791/89723/,Colossal Two,24791,Port City Brewing,55,3.99
41,6.50,40813,https://www.beeradvocate.com/beer/profile/16790/40813/,Bravoure,16790,Brouwerij De Dochter van de Korenaar,53,3.76
42,5.80,56742,https://www.beeradvocate.com/beer/profile/345/56742/,Smokin' Oats,345,Victory Brewing Company - Downingtown,53,3.92
43,3.20,98898,https://www.beeradvocate.com/beer/profile/31678/98898/,15 Feet,31678,Off Color Brewing,49,3.97
44,6.20,109536,https://www.beeradvocate.com/beer/profile/28994/109536/,The Bellowsman,28994,Societe Brewing Co.,49,3.71
45,3.20,132865,https://www.beeradvocate.com/beer/profile/383/132865/,Grodziskie,383,Live Oak Brewing Company,46,3.5
46,4.50,71880,https://www.beeradvocate.com/beer/profile/1432/71880/,Hogwash,1432,Jackie O's Pub & Brewery,46,3.53
47,3.80,90363,https://www.beeradvocate.com/beer/profile/20417/90363/,White Birch First Sparrow,20417,White Birch Brewing,44,3.68
48,7.50,69697,https://www.beeradvocate.com/beer/profile/68/69697/,Backyard Ale,68,Flying Dog Brewery,42,3.58
49,4.00,78149,https://www.beeradvocate.com/beer/profile/3655/78149/,Piwo Grodziskie,3655,Schlossbrauerei Au-Hallertau,42,3.56
50,8.50,44898,https://www.beeradvocate.com/beer/profile/16589/44898/,Smoked Porter,16589,Spring House Brewing Company,41,3.91
51,5.60,63696,https://www.beeradvocate.com/beer/profile/19832/63696/,Black Cabin Smoked Ale,19832,Crown Valley Brewing & Distilling Co.,39,3.11
52,5.00,51587,https://www.beeradvocate.com/beer/profile/17271/51587/,Wild Fire Wheat,17271,Bootlegger's Brewery,38,3.54
53,5.40,79061,https://www.beeradvocate.com/beer/profile/22928/79061/,Frau Blucher,22928,Barrier Brewing Company,37,3.82
54,5.70,166539,https://www.beeradvocate.com/beer/profile/26/166539/,Rock Forest,26,3 Floyds Brewing Co.,34,3.74
55,4.80,115100,https://www.beeradvocate.com/beer/profile/14154/115100/,Viking Afternoon,14154,Furthermore Beer,34,3.47
56,12.00,199717,https://www.beeradvocate.com/beer/profile/2210/199717/,Imperial Smoked Walker's Reserve,2210,Firestone Walker Brewing Co.,33,4.08
57,6.30,99292,https://www.beeradvocate.com/beer/profile/32715/99292/,Ond Smoked Porter,32715,Bevog Brewery,32,4.01
58,6.00,103917,https://www.beeradvocate.com/beer/profile/2958/103917/,Biere Ambree Parfumee Au Tarry Suchong,2958,BFM (Brasserie des Franches-Montagnes),32,4.03
59,10.00,161561,https://www.beeradvocate.com/beer/profile/31678/161561/,Class War,31678,Off Color Brewing,31,4.06
60, ? ,100926,https://www.beeradvocate.com/beer/profile/383/100926/,Smoaktoberfest,383,Live Oak Brewing Company,31,3.72
61,5.50,163255,https://www.beeradvocate.com/beer/profile/35844/163255/,Smoked Honey,35844,Royal City Brewing Co.,28,3.48
