,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,9.00,34,https://www.beeradvocate.com/beer/profile/22/34/,La Fin Du Monde,22,Unibroue,"10,213",4.32
1,9.50,1003,https://www.beeradvocate.com/beer/profile/345/1003/,Golden Monkey,345,Victory Brewing Company - Downingtown,"5,781",3.72
2,9.50,646,https://www.beeradvocate.com/beer/profile/208/646/,Westmalle Trappist Tripel,208,Brouwerij Westmalle,"4,623",4.3
3,8.00,1346,https://www.beeradvocate.com/beer/profile/215/1346/,Chimay Tripel (White),215,Bières de Chimay,"4,467",4.13
4,8.40,656,https://www.beeradvocate.com/beer/profile/202/656/,Tripel Karmeliet,202,Brouwerij Bosteels,"4,221",4.28
5,11.00,16909,https://www.beeradvocate.com/beer/profile/4/16909/,Curieux (Bourbon Barrel-Aged Tripel),4,Allagash Brewing Company,"3,815",4.28
6,8.00,722,https://www.beeradvocate.com/beer/profile/259/722/,St. Bernardus Tripel,259,Brouwerij St. Bernardus NV,"3,216",4.24
7,8.50,1054,https://www.beeradvocate.com/beer/profile/192/1054/,Trippel Belgian Style Ale,192,New Belgium Brewing,"3,096",3.81
8,9.00,448,https://www.beeradvocate.com/beer/profile/4/448/,Tripel Ale,4,Allagash Brewing Company,"2,850",4.14
9,9.30,6073,https://www.beeradvocate.com/beer/profile/392/6073/,Merry Monks,392,Weyerbacher Brewing Co.,"2,401",3.88
10,10.00,2566,https://www.beeradvocate.com/beer/profile/222/2566/,Maredsous 10 - Triple,222,Brouwerij Duvel Moortgat NV,"1,610",3.91
11,9.20,39754,https://www.beeradvocate.com/beer/profile/423/39754/,Long Strange Tripel,423,Boulevard Brewing Co.,"1,551",4.16
12,8.10,42878,https://www.beeradvocate.com/beer/profile/16866/42878/,Trade Winds,16866,The Bruery,"1,143",3.92
13,10.00,53773,https://www.beeradvocate.com/beer/profile/35/53773/,Samuel Adams New World Tripel (Barrel Room Collection),35,Boston Beer Company (Samuel Adams),"1,035",3.91
14,8.00,658,https://www.beeradvocate.com/beer/profile/184/658/,La Trappe Tripel (Koningshoeven / Dominus),184,Bierbrouwerij De Koningshoeven B.V.,"1,005",3.96
15,9.00,5423,https://www.beeradvocate.com/beer/profile/1534/5423/,Gouden Carolus Tripel,1534,Brouwerij Het Anker,981,4.13
16,7.50,139,https://www.beeradvocate.com/beer/profile/41/139/,Agnus Dei (Abbey Pale Ale),41,Brouwerij Corsendonk,980,3.97
17,9.50,17207,https://www.beeradvocate.com/beer/profile/1471/17207/,Dark Horse Sapient Trip Ale,1471,Dark Horse Brewing Company,885,3.67
18,10.00,1116,https://www.beeradvocate.com/beer/profile/201/1116/,De Dolle Dulle Teve (Mad Bitch),201,Brouwerij De Dolle Brouwers,862,4.15
19,8.10,23720,https://www.beeradvocate.com/beer/profile/458/23720/,Devil's Backbone,458,Real Ale Brewing Company,822,3.85
20,8.00,2948,https://www.beeradvocate.com/beer/profile/922/2948/,Trappist Achel 8° Blond,922,Brouwerij der St. Benedictusabdij de Achelse,769,4.06
21,9.00,110146,https://www.beeradvocate.com/beer/profile/1146/110146/,The Ogden,1146,Goose Island Beer Co.,747,3.86
22,9.50,48387,https://www.beeradvocate.com/beer/profile/339/48387/,Exit 4 American Trippel,339,Flying Fish Brewing Company,736,3.81
23,8.30,88572,https://www.beeradvocate.com/beer/profile/158/88572/,Orabelle Belgian-Style Ale,158,Great Divide Brewing Company,736,3.87
24,9.50,1614,https://www.beeradvocate.com/beer/profile/196/1614/,Affligem Tripel,196,Brouwerij De Smedt / Brouwerij Affligem,732,3.97
25,10.00,17498,https://www.beeradvocate.com/beer/profile/193/17498/,Brother David's Triple Abbey Style Ale,193,Anderson Valley Brewing Company,684,3.49
26,9.00,1672,https://www.beeradvocate.com/beer/profile/48/1672/,Bornem Triple,48,Brouwerij Van Steenberge N.V.,658,3.64
27,10.00,20889,https://www.beeradvocate.com/beer/profile/877/20889/,Tripel Horse,877,River Horse Brewing Co.,656,3.71
28,9.00,6157,https://www.beeradvocate.com/beer/profile/335/6157/,Black Tulip Belgian-Style Tripel Ale,335,New Holland Brewing Company,649,3.91
29,11.00,40828,https://www.beeradvocate.com/beer/profile/12959/40828/,Golden Delicious,12959,Captain Lawrence Brewing Co.,627,3.9
30,8.50,7456,https://www.beeradvocate.com/beer/profile/2874/7456/,St. Feuillien Triple,2874,Brasserie St. Feuillien,623,3.96
31,9.70,34175,https://www.beeradvocate.com/beer/profile/2743/34175/,Trippel,2743,Green Flash Brewing Co.,594,3.75
32,10.00,5426,https://www.beeradvocate.com/beer/profile/2085/5426/,Dragonmead Final Absolution Trippel,2085,Dragonmead Microbrewery,573,4.07
33,8.00,103135,https://www.beeradvocate.com/beer/profile/694/103135/,LaGrave,694,Tröegs Brewing Company,572,3.93
34,11.00,37578,https://www.beeradvocate.com/beer/profile/863/37578/,Damnation Batch 23 (Oak Aged),863,Russian River Brewing Company,571,4.26
35,7.50,1854,https://www.beeradvocate.com/beer/profile/259/1854/,Watou Tripel,259,Brouwerij St. Bernardus NV,561,4.05
36,9.00,209097,https://www.beeradvocate.com/beer/profile/64/209097/,Beer To Drink Music To,64,Dogfish Head Craft Brewery,552,3.89
37,9.00,47909,https://www.beeradvocate.com/beer/profile/268/47909/,Straffe Hendrik Bruges Tripel Bier 9°,268,Huisbrouwerij De Halve Maan,545,3.96
38,8.50,74900,https://www.beeradvocate.com/beer/profile/16333/74900/,Velvet Rooster,16333,Tallgrass Brewing Company,519,3.77
39,9.00,77228,https://www.beeradvocate.com/beer/profile/24903/77228/,The Tide And Its Takers,24903,Anchorage Brewing Company,517,4.15
