,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,5.00,572,https://www.beeradvocate.com/beer/profile/113/572/,Taddy Porter,113,Samuel Smith Old Brewery (Tadcaster),"3,135",4.17
1,5.40,221,https://www.beeradvocate.com/beer/profile/71/221/,Fuller's London Porter,71,Fuller Smith & Turner PLC,"2,711",4.19
2,6.50,116648,https://www.beeradvocate.com/beer/profile/2681/116648/,Death By Coconut,2681,Oskar Blues Grill & Brew,"1,941",4.17
3,6.00,875,https://www.beeradvocate.com/beer/profile/323/875/,Old Engine Oil Black Ale,323,Harviestoun Brewery Ltd.,"1,784",4.14
4,6.80,1251,https://www.beeradvocate.com/beer/profile/418/1251/,Black Jack Porter,418,Left Hand Brewing Company,"1,400",3.73
5,6.00,1262,https://www.beeradvocate.com/beer/profile/423/1262/,Bully! Porter,423,Boulevard Brewing Co.,"1,156",3.78
6,6.80,55861,https://www.beeradvocate.com/beer/profile/22072/55861/,Eugene,22072,Revolution Brewing,"1,103",4
7,5.45,2684,https://www.beeradvocate.com/beer/profile/35/2684/,Samuel Adams Honey Porter,35,Boston Beer Company (Samuel Adams),914,3.67
8,5.80,26788,https://www.beeradvocate.com/beer/profile/11036/26788/,People's Porter,11036,Foothills Brewing Company - Downtown Brewpub,873,3.86
9,7.00,13086,https://www.beeradvocate.com/beer/profile/450/13086/,General Washington's Tavern Porter,450,Yards Brewing Co.,795,3.83
10,5.50,41839,https://www.beeradvocate.com/beer/profile/16105/41839/,Mayflower Porter,16105,Mayflower Brewing Company,753,4.17
11,6.00,20897,https://www.beeradvocate.com/beer/profile/5062/20897/,Coffee Porter,5062,Meantime Brewing Company Limited,617,3.78
12,5.10,838,https://www.beeradvocate.com/beer/profile/296/838/,St. Peter's Old-Style Porter,296,St. Peter's Brewery Co Ltd,615,3.85
13,7.00,63971,https://www.beeradvocate.com/beer/profile/2216/63971/,Zwet.Be,2216,Brouwerij 3 Fonteinen,539,3.86
14,6.00,20907,https://www.beeradvocate.com/beer/profile/7944/20907/,Santa's Butt,7944,Ridgeway Brewing,477,3.4
15,6.50,25548,https://www.beeradvocate.com/beer/profile/5062/25548/,London Porter,5062,Meantime Brewing Company Limited,460,4
16,7.00,4017,https://www.beeradvocate.com/beer/profile/35571/4017/,Arcadia London Porter,35571,Arcadia Brewing Company,447,3.91
17,5.20,70540,https://www.beeradvocate.com/beer/profile/13667/70540/,Boxcarr Pumpkin Porter,13667,Starr Hill Brewery,441,3.34
18,6.50,734,https://www.beeradvocate.com/beer/profile/266/734/,Uniontown Porter,266,Mad River Brewing Company,379,3.89
19,6.00,28151,https://www.beeradvocate.com/beer/profile/11599/28151/,Green Man Porter,11599,Green Man Brewery,359,3.85
20,9.00,77058,https://www.beeradvocate.com/beer/profile/323/77058/,Old Engine Oil Engineer's Reserve Blackest Ale,323,Harviestoun Brewery Ltd.,333,4.23
21,5.23,54,https://www.beeradvocate.com/beer/profile/18134/54/,Redhook Blackhook Porter,18134,Redhook Ale Brewery,323,3.53
22,9.15,39060,https://www.beeradvocate.com/beer/profile/9629/39060/,Short's Publican Porter (Imperial London Porter),9629,Short's Brewing Company,312,4.21
23,5.70,21688,https://www.beeradvocate.com/beer/profile/9020/21688/,Sly Rye Porter,9020,Yazoo Brewing Company,308,3.82
24,4.20,193,https://www.beeradvocate.com/beer/profile/62/193/,Geary's London Porter,62,D.L. Geary Brewing Company,304,3.72
25,5.20,86601,https://www.beeradvocate.com/beer/profile/99/86601/,Saranac 4059' Porter,99,Matt Brewing Company / Saranac Brewery,302,3.58
